Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_albus	NA	4850502	60	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_bombysepticus_str._Wang	Bacillus_bombysepticus_str._Wang	577697	0	112	0	0	0	0	0	0	0	0	0
Bacillus_cereus	Bacillus_cereus	5945594	62	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_AH1272	Bacillus_cereus_AH1272	5789437	17	86	0	0	0	0	0	0	0	0	0
Bacillus_cereus_BDRD-Cer4	Bacillus_cereus	5561755	60	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_Rock3-44	Bacillus_cereus_Rock3-44	4999763	41	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_cereus_Rock3-44	4999540	8	12	12	232	0	0	0	0	0	0	0
Bacillus_cytotoxicus	Bacillus_cytotoxicus	4049043	194	0	0	0	0	0	0	0	0	0	0
Bacillus_luti	Bacillus_luti	5202661	131	150	0	0	0	0	0	0	0	0	0
Bacillus_mycoides	Bacillus_mycoides	5281758	167	0	0	0	0	0	0	0	0	0	0
Bacillus_nitratireducens	Bacillus_nitratireducens	5056843	116	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides	Bacillus_pseudomycoides	5841329	168	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides_DSM_12442	Bacillus_pseudomycoides_DSM_12442	5782428	86	0	0	0	0	0	0	0	0	0	0
Bacillus_sp._ABP14	Bacillus_sp._ABP14	5141307	60	0	0	0	0	0	0	0	0	0	0
Bacillus_sp._FDAARGOS_235	Bacillus_sp._FDAARGOS_235	5287275	59	0	0	0	0	0	0	0	0	0	0
Bacillus_sp._HBCD-sjtu	Bacillus_sp._HBCD-sjtu	5230461	40	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis	Bacillus_thuringiensis	5776733	78	84	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_andalousiensis	Bacillus_thuringiensis_serovar_andalousiensis	6039891	51	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_indiana	Bacillus_thuringiensis_serovar_indiana	5429575	6	14	93	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	6488922	8	94	0	0	0	0	0	0	0	0	0
Bacillus_wiedmannii	Bacillus_wiedmannii	5239429	60	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	Bartonella_bacilliformis	1443315	95	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	Bartonella_henselae	1963713	83	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	Bartonella_quintana_RM-11	1587612	34	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella	Bordetella_parapertussis	4773918	1399	176	0	0	0	0	0	0	0	0	0
Bordetella_avium_197N	Bordetella_avium_197N	3731940	201	114	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	5877798	876	82	0	0	0	0	0	0	0	0	0
Bordetella_bronchiseptica	Bordetella_bronchiseptica	5080864	432	72	0	0	0	0	0	0	0	0	0
Bordetella_flabilis	Bordetella_flabilis	5834327	1280	120	0	0	0	0	0	0	0	0	0
Bordetella_genomosp._13	Bordetella_genomosp._13	5379377	1320	88	144	0	0	0	0	0	0	0	0
Bordetella_genomosp._6	Bordetella_genomosp._6	5162650	645	0	0	0	0	0	0	0	0	0	0
Bordetella_genomosp._8	Bordetella_genomosp._8	6166297	1239	0	0	0	0	0	0	0	0	0	0
Bordetella_genomosp._9	Bordetella_genomosp._9	4586415	851	100	0	0	0	0	0	0	0	0	0
Bordetella_hinzii	Bordetella_hinzii	4911439	1190	348	0	0	0	0	0	0	0	0	0
Bordetella_holmesii	Bordetella_holmesii	3696443	270	0	0	0	0	0	0	0	0	0	0
Bordetella_parapertussis	Bordetella_parapertussis	4773798	49	76	0	0	0	0	0	0	0	0	0
