Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	0	0	0	0	0	0	2	1	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	0	2	0	1	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	2	0	0
Bartonella_henselae	0	0	0	0	0	1	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	5	3	1	0	1	1	4	2	1	3	2	4
Bordetella_bronchiseptica	3	0	2	1	2	1	0	0	1	4	0	0
Bordetella_genomosp._13	3	8	5	14	3	4	5	6	6	5	1	3
Bordetella_pertussis	0	0	0	0	4	0	0	4	0	0	0	1
Bordetella_pertussis_137	0	0	0	0	0	0	1	0	0	0	0	0
Bordetella_pertussis_18323	0	0	0	0	0	1	0	0	0	0	0	0
Bordetella_petrii	7	5	1	4	2	0	6	3	5	5	0	4
Bordetella_trematum	1	1	3	5	2	0	4	1	2	0	1	0
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	62	96	158	219	246	234	260	231	213	222	97	163
Burkholderia_cepacia_ATCC_25416	49	93	117	130	112	120	98	81	97	44	35	61
Burkholderia_cepacia_JBK9	21	82	99	124	156	118	111	129	101	66	51	79
Burkholderia_gladioli	103	256	375	445	440	416	451	393	328	275	162	289
Burkholderia_gladioli_BSR3	23	50	47	77	68	82	95	98	79	59	47	67
Burkholderia_gladioli_pv._gladioli	42	174	182	228	249	270	309	311	293	232	133	254
Burkholderia_mallei	0	1	8	4	4	3	3	7	5	8	1	4
Burkholderia_mallei_NCTC_10229	0	0	0	0	0	1	2	0	0	0	1	0
Burkholderia_mallei_NCTC_10247	0	3	0	0	4	2	0	3	6	1	5	3
Burkholderia_multivorans	180	319	454	527	596	555	503	485	454	344	236	372
Burkholderia_multivorans_ATCC_17616	59	110	177	189	174	184	163	175	147	115	54	120
Burkholderia_multivorans_ATCC_BAA-247	57	107	168	203	181	149	160	142	155	96	66	107
Burkholderia_pseudomallei	80	124	153	171	156	181	166	162	133	142	49	133
Burkholderia_pseudomallei_1106b	0	1	3	4	3	9	1	2	5	3	2	0
Burkholderia_pseudomallei_1710a	0	0	0	0	0	1	0	1	0	3	0	0
Burkholderia_pseudomallei_1710b	0	0	0	0	0	4	1	1	2	4	0	7
Burkholderia_pseudomallei_7894	1	2	9	7	5	6	9	3	10	8	4	4
Burkholderia_pseudomallei_B03	0	0	0	0	0	2	2	5	4	0	1	3
Burkholderia_pseudomallei_MSHR1153	0	5	6	6	6	2	3	2	3	3	0	4
Burkholderia_pseudomallei_MSHR2543	0	4	4	0	6	6	2	5	7	4	1	4
Burkholderia_pseudomallei_MSHR346	3	11	10	4	6	6	9	12	3	2	3	13
Burkholderia_pseudomallei_MSHR435	0	1	0	3	2	2	3	9	3	3	0	6
Burkholderia_pseudomallei_NCTC_13179	3	1	6	6	5	12	5	2	12	4	0	5
Burkholderia_pseudomallei_Pasteur_52237	0	1	1	1	5	1	1	5	3	5	5	4
Campylobacter_coli	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_fetus	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_gracilis	0	0	0	0	0	0	0	0	0	0	0	0
Campylobacter_showae	0	1	0	0	0	0	0	0	0	0	0	0
Canine_morbillivirus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_caviae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_felis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_muridarum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pecorum	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_pneumoniae_AR39	0	0	0	0	0	0	0	1	0	1	0	0
Chlamydia_psittaci	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_suis	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia_trachomatis	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_amycolatum	0	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium_bovis	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_crudilactis	0	0	0	0	0	0	0	0	0	0	1	0
Corynebacterium_diphtheriae	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_jeikeium	0	0	0	0	1	2	0	0	2	0	0	0
Corynebacterium_jeikeium_K411	3	0	0	0	0	0	1	0	0	0	0	0
Corynebacterium_kroppenstedtii	0	0	1	1	0	1	1	0	0	0	0	0
Corynebacterium_kroppenstedtii_DSM_44385	0	0	2	4	0	4	0	0	0	0	0	0
Corynebacterium_maris	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_maris_DSM_45190	0	0	0	3	0	0	0	0	0	2	0	0
Corynebacterium_matruchotii	5	2	2	0	0	0	0	1	0	1	0	0
Corynebacterium_minutissimum	0	0	4	0	0	0	0	0	0	0	0	0
Corynebacterium_pseudotuberculosis	1	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_renale	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_segmentosum	1	1	0	0	1	2	0	0	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_stationis	0	0	0	0	0	0	0	0	0	0	0	0
Corynebacterium_striatum	0	2	0	0	0	0	0	0	0	0	0	0
Corynebacterium_urealyticum	2	0	1	0	0	0	0	0	0	0	0	0
Corynebacterium_ureicelerivorans	4	8	4	2	1	0	1	4	0	1	0	0
Corynebacterium_xerosis	0	0	0	0	0	0	0	0	0	0	0	0
Cowpox_virus	0	0	0	0	0	0	0	0	0	0	0	0
Coxiella_burnetii	0	0	0	1	0	0	0	0	0	0	0	0
Coxiella_burnetii_Dugway_5J108-111	0	0	0	0	1	0	0	0	0	0	0	0
Cryptosporidium	0	0	0	0	0	0	0	0	0	0	0	0
Cryptosporidium_parvum	0	0	0	0	0	0	0	0	0	0	0	0
Deltaretrovirus	0	0	0	0	0	0	0	0	0	0	0	0
Ehrlichia_canis	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_avium	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0	0	0	0	1	0	0	0	0
Enterococcus_cecorum	13	11	0	1	0	3	0	0	1	0	0	0
Enterococcus_durans	0	0	0	0	0	0	0	0	1	0	0	0
Enterococcus_faecalis	0	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_faecium	0	0	0	0	1	0	3	3	0	0	0	0
Enterococcus_hirae	1	0	0	0	1	0	0	0	0	0	0	0
Enterococcus_hirae_ATCC_9790	1	0	0	0	0	0	0	0	0	0	0	0
Enterococcus_mundtii	0	0	0	0	0	0	0	0	0	0	0	0
Enterovirus_B	0	0	0	0	0	0	0	0	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0	0	0	0	0	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0	0	2	0	0	0	0	0	1
Erythroparvovirus	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli	4	0	0	0	1	3	1	1	3	1	0	1
Escherichia_coli_O111	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia_coli_O26	0	0	0	0	0	0	0	0	0	0	0	0
Francisella_tularensis	0	0	0	0	0	0	0	0	1	0	0	0
Francisella_tularensis_subsp._novicida	0	0	0	0	0	0	0	0	0	1	0	0
Francisella_tularensis_subsp._novicida_PA10-7858	0	0	0	0	0	0	0	1	0	0	0	0
Fusobacterium	7	0	0	0	0	0	2	0	0	0	0	0
Fusobacterium_mortiferum_ATCC_9817	3	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp._nucleatum_ChDC_F316	0	0	0	0	0	0	0	0	0	0	1	0
Fusobacterium_nucleatum_subsp._polymorphum	2	0	0	1	0	0	0	0	0	0	0	0
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	0	0	0	0	1	0	0	0	0	0	0	0
Fusobacterium_pseudoperiodonticum	3	0	0	0	0	0	1	0	0	0	0	0
Goatpox_virus	0	0	0	0	0	0	0	0	0	0	0	0
