Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_group	1	0	0	0	0	0	0	0	0	0	0	0
Bacillus_mycoides	1	0	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides_DSM_12442	0	0	0	1	0	1	0	0	0	0	0	0
Bacillus_thuringiensis_IBL_4222	0	0	0	0	0	1	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_chinensis_CT-43	0	0	0	0	0	0	0	0	0	1	0	0
Bacillus_thuringiensis_serovar_galleriae	1	0	0	0	0	0	0	0	0	0	0	0
Bacillus_wiedmannii	0	0	0	0	0	1	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella	5	18	17	28	40	41	42	45	49	37	15	27
Bordetella_avium_197N	1	5	1	2	3	5	2	1	2	0	0	1
Bordetella_bronchialis	3	5	8	14	8	13	19	21	13	10	3	3
Bordetella_bronchiseptica	1	3	3	5	4	5	3	6	8	7	0	1
Bordetella_flabilis	0	6	4	14	4	11	11	12	5	5	7	3
Bordetella_genomosp._13	1	7	11	10	16	17	16	32	16	11	1	11
Bordetella_genomosp._6	0	4	2	1	6	3	11	5	4	5	3	1
Bordetella_genomosp._8	1	2	5	4	8	9	16	6	14	7	2	4
Bordetella_genomosp._9	3	3	5	4	15	5	16	19	12	10	2	8
Bordetella_hinzii	1	4	6	13	14	20	25	14	25	4	9	3
Bordetella_holmesii	1	3	3	2	2	2	5	3	6	5	4	0
Bordetella_parapertussis	0	0	2	2	0	4	0	1	2	1	0	1
Bordetella_pertussis	0	2	1	2	4	9	2	10	3	7	2	0
Bordetella_pertussis_137	0	0	0	0	1	0	2	3	1	0	0	0
Bordetella_pertussis_18323	0	0	0	1	0	0	1	0	1	4	0	1
Bordetella_petrii	1	5	4	14	6	8	12	15	17	20	3	8
Bordetella_pseudohinzii	2	7	1	3	2	6	8	8	3	1	0	1
Bordetella_sp._H567	3	6	5	9	6	12	8	12	12	7	5	8
Bordetella_sp._HZ20	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_sp._N	2	2	3	4	10	5	9	9	6	5	6	4
Bordetella_trematum	0	1	3	4	7	8	11	10	4	5	0	3
Borrelia	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_coriaceae_ATCC_43381	0	0	0	0	0	1	0	0	0	0	0	0
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_miyamotoi	0	0	0	0	0	0	1	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliaceae	0	3	0	0	2	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Brucella	6	10	16	14	17	25	28	28	21	15	3	4
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus_bv._6_str._870	0	1	0	0	0	0	0	0	0	1	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_inopinata	0	2	0	0	0	0	0	1	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	0	0	0	1	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_pinnipedialis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._09RB8471	0	1	2	0	0	0	3	0	2	0	0	0
Brucella_sp._09RB8910	0	0	0	1	1	1	2	0	0	0	0	0
Brucella_sp._10RB9215	1	1	0	0	2	0	1	1	0	0	0	0
Brucella_sp._141012304	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_sp._2280	0	1	0	0	0	1	0	0	0	0	0	1
Brucella_sp._BO2	0	0	0	2	0	0	0	0	0	1	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_vulpis	0	0	0	0	0	0	0	0	0	0	0	0
Brucellaceae	0	0	0	0	0	0	0	2	0	0	0	0
Burkholderia_cepacia	4	6	16	28	20	26	40	26	32	38	11	27
Burkholderia_cepacia_ATCC_25416	0	1	4	4	5	8	2	4	5	3	2	3
Burkholderia_cepacia_JBK9	1	2	2	10	1	5	9	15	6	3	1	1
Burkholderia_gladioli	9	14	19	23	28	35	31	46	28	23	4	10
Burkholderia_gladioli_BSR3	0	0	3	4	6	4	8	11	11	9	1	3
Burkholderia_gladioli_pv._gladioli	4	13	12	20	17	33	25	40	38	25	7	13
Burkholderia_mallei	0	0	4	1	0	6	1	2	0	2	0	0
Burkholderia_mallei_NCTC_10229	0	0	0	0	0	0	0	0	0	2	0	0
