Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	3	3	3	3	Off	Off
Actinobacillus_pleuropneumoniae	3	3	4	4	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	1	1	2	2	Off	Off
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	27	27	27	27	Off	Off
Bordetella_bronchiseptica	14	14	21	21	Off	Off
Bordetella_genomosp._13	63	63	63	63	Off	Off
Bordetella_pertussis	9	9	134	134	Off	Off
Bordetella_pertussis_137	1	1	2	2	Off	Off
Bordetella_pertussis_18323	1	1	2	2	Off	Off
Bordetella_petrii	42	42	42	42	Off	Off
Bordetella_trematum	20	20	28	28	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_suis	0	0	0	0	na	na
Burkholderia_cepacia	2201	2201	3582	3582	Off	Off
Burkholderia_cepacia_ATCC_25416	1037	1037	5137	5137	Off	Off
Burkholderia_cepacia_JBK9	1137	1137	1271	1271	Off	Off
Burkholderia_gladioli	3933	3933	18431	18431	Off	Off
Burkholderia_gladioli_BSR3	792	792	1281	1281	Off	Off
Burkholderia_gladioli_pv._gladioli	2677	2677	8307	8307	Off	Off
Burkholderia_mallei	48	48	269	269	Off	Off
Burkholderia_mallei_NCTC_10229	4	4	16	16	Off	Off
Burkholderia_mallei_NCTC_10247	27	27	141	141	Off	Off
Burkholderia_multivorans	5025	5025	16489	16489	Off	Off
Burkholderia_multivorans_ATCC_17616	1667	1667	6465	6465	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	1591	1591	4854	4854	Off	Off
Burkholderia_pseudomallei	1650	1650	10478	10478	Off	Off
Burkholderia_pseudomallei_1106b	33	33	92	92	Off	Off
Burkholderia_pseudomallei_1710a	5	5	21	21	Off	Off
Burkholderia_pseudomallei_1710b	19	19	80	80	Off	Off
Burkholderia_pseudomallei_7894	68	68	304	304	Off	Off
Burkholderia_pseudomallei_B03	17	17	27	27	Off	Off
Burkholderia_pseudomallei_MSHR1153	40	40	72	72	Off	Off
Burkholderia_pseudomallei_MSHR2543	43	43	91	91	Off	Off
Burkholderia_pseudomallei_MSHR346	82	82	158	158	Off	Off
Burkholderia_pseudomallei_MSHR435	32	32	73	73	Off	Off
Burkholderia_pseudomallei_NCTC_13179	61	61	115	115	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	32	32	85	85	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	0	0	0	0	na	na
Campylobacter_showae	1	1	2	2	Off	Off
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_pneumoniae_AR39	2	2	3	3	Off	Off
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_suis	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	0	0	0	0	na	na
Corynebacterium_amycolatum	1	1	1	1	Off	Off
Corynebacterium_bovis	0	0	0	0	na	na
Corynebacterium_crudilactis	1	1	1	1	Off	Off
Corynebacterium_diphtheriae	0	0	0	0	na	na
Corynebacterium_jeikeium	5	5	5	5	Off	Off
Corynebacterium_jeikeium_K411	4	4	7	7	Off	Off
Corynebacterium_kroppenstedtii	4	4	4	4	Off	Off
Corynebacterium_kroppenstedtii_DSM_44385	10	10	28	28	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_maris_DSM_45190	5	5	5	5	Off	Off
Corynebacterium_matruchotii	11	11	15	15	Off	Off
Corynebacterium_minutissimum	4	4	16	16	Off	Off
Corynebacterium_pseudotuberculosis	1	1	1	1	Off	Off
Corynebacterium_renale	0	0	0	0	na	na
Corynebacterium_segmentosum	5	5	5	5	Off	Off
Corynebacterium_sphenisci	0	0	0	0	na	na
Corynebacterium_stationis	0	0	0	0	na	na
Corynebacterium_striatum	2	2	2	2	Off	Off
Corynebacterium_urealyticum	3	3	3	3	Off	Off
Corynebacterium_ureicelerivorans	25	25	27	27	Off	Off
Corynebacterium_xerosis	0	0	0	0	na	na
Cowpox_virus	0	0	0	0	na	na
Coxiella_burnetii	1	1	2	2	Off	Off
Coxiella_burnetii_Dugway_5J108-111	1	1	2	2	Off	Off
Cryptosporidium	0	0	0	0	na	na
Cryptosporidium_parvum	0	0	0	0	na	na
Deltaretrovirus	0	0	0	0	na	na
Ehrlichia_canis	0	0	0	0	na	na
Enterococcus_avium	0	0	0	0	na	na
Enterococcus_casseliflavus	1	1	2	2	Off	Off
Enterococcus_cecorum	29	29	84	84	Off	Off
Enterococcus_durans	1	1	4	4	Off	Off
Enterococcus_faecalis	0	0	0	0	na	na
Enterococcus_faecium	7	7	10	10	Off	Off
Enterococcus_hirae	2	2	2	2	Off	Off
Enterococcus_hirae_ATCC_9790	1	1	7	7	Off	Off
Enterococcus_mundtii	0	0	0	0	na	na
Enterovirus_B	0	0	0	0	na	na
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0	na	na
Equine_rhinitis_A_virus	0	0	0	0	na	na
Erysipelothrix_rhusiopathiae	3	3	3	3	Off	Off
Erythroparvovirus	0	0	0	0	na	na
Escherichia_coli	15	15	104	104	Off	Off
Escherichia_coli_O111	0	0	0	0	na	na
Escherichia_coli_O157:H7	0	0	0	0	na	na
Escherichia_coli_O26	0	0	0	0	na	na
Francisella_tularensis	1	1	3	3	Off	Off
Francisella_tularensis_subsp._novicida	1	1	1	1	Off	Off
Francisella_tularensis_subsp._novicida_PA10-7858	1	1	1	1	Off	Off
Fusobacterium	9	9	69	69	Off	Off
Fusobacterium_mortiferum_ATCC_9817	3	3	3	3	Off	Off
Fusobacterium_nucleatum	0	0	0	0	na	na
Fusobacterium_nucleatum_subsp._nucleatum_ChDC_F316	1	1	1	1	Off	Off
Fusobacterium_nucleatum_subsp._polymorphum	3	3	5	5	Off	Off
Fusobacterium_nucleatum_subsp._vincentii_ChDC_F8	1	1	1	1	Off	Off
Fusobacterium_pseudoperiodonticum	4	4	11	11	Off	Off
Goatpox_virus	0	0	0	0	na	na
Haemophilus_influenzae	9	9	87	87	Off	Off
Haemophilus_influenzae_CGSHiCZ412602	1	1	2	2	Off	Off
Haemophilus_influenzae_KR494	1	1	2	2	Off	Off
Haemophilus_influenzae_R2866	1	1	10	10	Off	Off
Helicobacter_cinaedi	0	0	0	0	na	na
Helicobacter_pylori	0	0	0	0	na	na
Hepatitis_B_virus	0	0	0	0	na	na
Hepatitis_E_virus	0	0	0	0	na	na
Hepatitis_delta_virus	0	0	0	0	na	na
Human_adenovirus_1	0	0	0	0	na	na
Human_adenovirus_2	0	0	0	0	na	na
Human_adenovirus_35	0	0	0	0	na	na
Human_adenovirus_5	0	0	0	0	na	na
Human_adenovirus_54	0	0	0	0	na	na
Human_adenovirus_7	0	0	0	0	na	na
Human_alphaherpesvirus_1	0	0	0	0	na	na
Human_alphaherpesvirus_2	0	0	0	0	na	na
Human_alphaherpesvirus_3	0	0	0	0	na	na
Human_gammaherpesvirus_4	0	0	0	0	na	na
Human_herpesvirus_4_type_2	0	0	0	0	na	na
Human_mastadenovirus_C	0	0	0	0	na	na
JC_polyomavirus	0	0	0	0	na	na
Klebsiella_aerogenes	4	4	8	8	Off	Off
Klebsiella_aerogenes_EA1509E	2	2	4	4	Off	Off
Klebsiella_michiganensis	1	1	5	5	Off	Off
Klebsiella_michiganensis_HKOPL1	1	1	5	5	Off	Off
Klebsiella_oxytoca	2	2	2	2	Off	Off
Klebsiella_pneumoniae	17	17	92	92	Off	Off
Klebsiella_pneumoniae_subsp._pneumoniae	3	3	63	63	Off	Off
Klebsiella_pneumoniae_subsp._pneumoniae_PittNDM01	2	2	52	52	Off	Off
Klebsiella_pneumoniae_subsp._rhinoscleromatis	1	1	3	3	Off	Off
Legionella_anisa	10	10	23	23	Off	Off
Legionella_lansingensis	6	6	6	6	Off	Off
Legionella_pneumophila	18	18	59	59	Off	Off
Legionella_pneumophila_subsp._fraseri	7	7	11	11	Off	Off
Legionella_pneumophila_subsp._pneumophila	8	8	27	27	Off	Off
Legionella_pneumophila_subsp._pneumophila_str._Philadelphia_1	6	6	16	16	Off	Off
Leptospira_alexanderi	0	0	0	0	na	na
Leptospira_alstonii	0	0	0	0	na	na
Leptospira_biflexa	0	0	0	0	na	na
Leptospira_borgpetersenii	0	0	0	0	na	na
Leptospira_broomii	0	0	0	0	na	na
Leptospira_fainei	0	0	0	0	na	na
Leptospira_inadai	0	0	0	0	na	na
Leptospira_interrogans	0	0	0	0	na	na
Leptospira_interrogans_serovar_Manilae	2	2	5	5	Off	Off
Leptospira_kirschneri	0	0	0	0	na	na
Leptospira_kmetyi	0	0	0	0	na	na
Leptospira_licerasiae	0	0	0	0	na	na
Leptospira_noguchii	1	1	1	1	Off	Off
Leptospira_santarosai	6	6	6	6	Off	Off
Leptospira_weilii	1	1	2	2	Off	Off
Leptospira_wolffii	0	0	0	0	na	na
Listeria_monocytogenes	0	0	0	0	na	na
Listeria_monocytogenes_HCC23	4	4	19	19	Off	Off
Lumpy_skin_disease_virus	0	0	0	0	na	na
Lymphocryptovirus	0	0	0	0	na	na
Mannheimia_haemolytica	3	3	4	4	Off	Off
Measles_morbillivirus	0	0	0	0	na	na
Methanobrevibacter_oralis	0	0	0	0	na	na
Moraxella_catarrhalis	0	0	0	0	na	na
Moraxella_catarrhalis_BBH18	1	1	4	4	Off	Off
Morbillivirus	0	0	0	0	na	na
Mycobacterium_avium	24	24	204	204	Off	Off
Mycobacterium_avium_subsp._avium	1	1	1	1	Off	Off
Mycobacterium_avium_subsp._hominissuis	9	9	18	18	Off	Off
Mycobacterium_avium_subsp._paratuberculosis	3	3	6	6	Off	Off
Mycobacterium_canettii	1	1	1	1	Off	Off
Mycobacterium_colombiense	0	0	0	0	na	na
Mycobacterium_colombiense_CECT_3035	5	5	5	5	Off	Off
Mycobacterium_intracellulare	13	13	20	20	Off	Off
Mycobacterium_intracellulare_subsp._yongonense	5	5	14	14	Off	Off
Mycobacterium_kansasii	9	9	14	14	Off	Off
Mycobacterium_leprae	0	0	0	0	na	na
Mycobacterium_marseillense	7	7	7	7	Off	Off
Mycobacterium_sp._JS623	3	3	3	3	Off	Off
Mycobacterium_sp._YC-RL4	19	19	19	19	Off	Off
Mycobacterium_tuberculosis	4	4	17	17	Off	Off
Mycobacterium_tuberculosis_KZN_1435	12	12	77	77	Off	Off
Mycobacterium_tuberculosis_complex	27	27	192	192	Off	Off
Mycobacterium_tuberculosis_variant_africanum	0	0	0	0	na	na
Mycobacterium_tuberculosis_variant_bovis	0	0	0	0	na	na
Mycobacteroides_abscessus	2	2	15	15	Off	Off
Mycobacteroides_abscessus_subsp._bolletii_50594	1	1	1	1	Off	Off
Mycoplasma_haemocanis	0	0	0	0	na	na
Mycoplasma_haemofelis	0	0	0	0	na	na
Mycoplasma_mycoides	0	0	0	0	na	na
Mycoplasma_ovipneumoniae	0	0	0	0	na	na
Mycoplasma_pneumoniae	0	0	0	0	na	na
Neisseria_elongata	0	0	0	0	na	na
Neisseria_elongata_subsp._glycolytica	3	3	3	3	Off	Off
Neisseria_gonorrhoeae	2	2	7	7	Off	Off
Neisseria_gonorrhoeae_NG-k51.05	3	3	38	38	Off	Off
Neisseria_meningitidis	5	5	19	19	Off	Off
Neisseria_meningitidis_8013	1	1	4	4	Off	Off
Neisseria_mucosa	1	1	1	1	Off	Off
Neisseria_sicca	1	1	1	1	Off	Off
Neisseria_subflava	3	3	3	3	Off	Off
Neisseria_weaveri	2	2	2	2	Off	Off
