Node	NumberOfAssignedReads
African_swine_fever_virus	0
Aspergillus_fumigatus	0
BK_virus_strain_AS	0
BK_virus_strain_GS	0
BK_virus_variant_RF	0
Bacillus_anthracis	0
Bacillus_cereus	2
Bacillus_cereus_AH676	1
Bacillus_cereus_Rock3-44	4
Bacillus_cereus_group	13
Bacillus_cytotoxicus	8
Bacillus_luti	2
Bacillus_mobilis	1
Bacillus_mycoides	11
Bacillus_pseudomycoides	21
Bacillus_pseudomycoides_DSM_12442	6
Bacillus_thuringiensis	3
Bacillus_thuringiensis_IBL_4222	4
Bacillus_thuringiensis_serovar_indiana	1
Bacillus_thuringiensis_serovar_israelensis	1
Bacillus_toyonensis_BCT-7112	1
Bacillus_wiedmannii	1
Bartonella_bacilliformis	1
Bartonella_henselae	1
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella	224
Bordetella_avium_197N	10
Bordetella_bronchialis	93
Bordetella_bronchiseptica	67
Bordetella_flabilis	53
Bordetella_genomosp._13	69
Bordetella_genomosp._6	26
Bordetella_genomosp._8	58
Bordetella_genomosp._9	45
Bordetella_hinzii	81
Bordetella_holmesii	23
Bordetella_parapertussis	10
Bordetella_pertussis	26
Bordetella_pertussis_18323	7
Bordetella_petrii	70
Bordetella_pseudohinzii	35
Bordetella_sp._H567	82
Bordetella_sp._HZ20	0
Bordetella_sp._N	52
Bordetella_trematum	45
Borrelia	0
Borrelia_crocidurae	1
Borrelia_crocidurae_DOU	1
Borrelia_recurrentis	0
Borrelia_recurrentis_A1	1
Borreliaceae	5
Borreliella	1
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Brucella	148
Brucella_abortus	2
Brucella_canis	0
Brucella_inopinata	4
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_pinnipedialis	0
Brucella_sp._09RB8471	2
Brucella_sp._09RB8910	8
Brucella_sp._10RB9215	2
Brucella_sp._141012304	0
Brucella_sp._2280	2
Brucella_sp._BO2	4
Brucella_suis	0
Brucella_vulpis	0
Brucellaceae	1
Burkholderia_cepacia	136
Burkholderia_cepacia_ATCC_25416	42
Burkholderia_cepacia_JBK9	44
Burkholderia_gladioli	159
Burkholderia_gladioli_BSR3	46
Burkholderia_gladioli_pv._gladioli	116
Burkholderia_mallei	8
Burkholderia_mallei_NCTC_10229	1
Burkholderia_mallei_NCTC_10247	1
Burkholderia_multivorans	181
Burkholderia_multivorans_ATCC_17616	56
Burkholderia_multivorans_ATCC_BAA-247	55
Burkholderia_pseudomallei	171
Burkholderia_pseudomallei_1106b	6
Burkholderia_pseudomallei_1710a	2
Burkholderia_pseudomallei_1710b	3
Burkholderia_pseudomallei_7894	7
Burkholderia_pseudomallei_B03	4
Burkholderia_pseudomallei_MSHR1153	5
Burkholderia_pseudomallei_MSHR2543	5
Burkholderia_pseudomallei_MSHR346	10
Burkholderia_pseudomallei_MSHR435	14
Burkholderia_pseudomallei_NCTC_13179	5
Burkholderia_pseudomallei_Pasteur_52237	3
Burkholderia_sp._OLGA172	0
Campylobacter_coli	1
Campylobacter_gracilis	4
Campylobacter_showae	2
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_trachomatis	0
Clostridium	186
Clostridium_acetobutylicum	2
Clostridium_baratii	6
Clostridium_baratii_str._Sullivan	29
Clostridium_beijerinckii	4
Clostridium_beijerinckii_NRRL_B-598	9
Clostridium_bornimense	6
Clostridium_botulinum	20
Clostridium_botulinum_202F	10
Clostridium_botulinum_B1_str._Okra	1
Clostridium_botulinum_BKT015925	4
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	5
Clostridium_botulinum_E3_str._Alaska_E43	0
Clostridium_botulinum_Prevot_594	2
Clostridium_butyricum	45
Clostridium_cadaveris	2
Clostridium_carboxidivorans_P7	3
Clostridium_cellulovorans_743B	2
Clostridium_chauvoei	24
Clostridium_cochlearium	2
Clostridium_diolis	1
Clostridium_drakei	3
Clostridium_estertheticum	0
Clostridium_estertheticum_subsp._estertheticum	15
Clostridium_formicaceticum	2
Clostridium_gasigenes	20
Clostridium_intestinale	8
Clostridium_isatidis	15
Clostridium_kluyveri	4
Clostridium_ljungdahlii_DSM_13528	1
Clostridium_novyi	0
Clostridium_pasteurianum	2
Clostridium_perfringens	414
Clostridium_perfringens_ATCC_13124	21
Clostridium_perfringens_F262	28
Clostridium_perfringens_str._13	51
Clostridium_saccharobutylicum	13
Clostridium_saccharoperbutylacetonicum	8
Clostridium_septicum	27
Clostridium_sp._BNL1100	2
Clostridium_sp._C1	2
Clostridium_sp._C5S11	4
Clostridium_sp._DL-VIII	3
Clostridium_sp._JN-1	2
Clostridium_sp._M62/1	5
Clostridium_sp._MF28	1
Clostridium_sp._SY8519	8
Clostridium_sporogenes	4
Clostridium_taeniosporum	14
Clostridium_tetani	5
Clostridium_tetani_12124569	2
Clostridium_tetani_E88	4
Coccidioides_immitis	0
Coccidioides_posadasii	0
Corynebacterium_ammoniagenes	1
Corynebacterium_crudilactis	2
Corynebacterium_diphtheriae	4
Corynebacterium_diphtheriae_HC03	1
Corynebacterium_diphtheriae_HC04	4
Corynebacterium_glutamicum	4
Corynebacterium_glutamicum_SCgG2	1
Corynebacterium_glutamicum_ZL-6	1
Corynebacterium_glyciniphilum	0
Corynebacterium_glyciniphilum_AJ_3170	30
Corynebacterium_jeikeium	15
Corynebacterium_jeikeium_K411	14
Corynebacterium_kroppenstedtii	13
Corynebacterium_kroppenstedtii_DSM_44385	10
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	32
Corynebacterium_matruchotii	9
Corynebacterium_segmentosum	12
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	96
Corynebacterium_stationis	9
Corynebacterium_urealyticum	13
Corynebacterium_ureicelerivorans	15
Corynebacterium_variabile	0
Corynebacterium_variabile_DSM_44702	39
Corynebacterium_xerosis	38
Cowpox-Vaccinia_virus	0
Cowpox_virus	0
Coxiella_burnetii	26
Coxiella_burnetii_Dugway_5J108-111	6
Coxiella_burnetii_str._Schperling	7
Cryptococcus_gattii_species_complex	0
Cryptococcus_neoformans	0
Cynomolgus_Epstein-Barr_Virus_A4	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0
Ehrlichia_canis	0
Enterobius_vermicularis	49
Enterococcus_avium	2
Enterococcus_casseliflavus	8
Enterococcus_cecorum	0
Enterococcus_durans	4
Enterococcus_faecalis	1
Enterococcus_faecalis_R712	1
Enterococcus_faecium	8
Enterococcus_hirae	1
Enterococcus_mundtii	1
Epstein-barr_virus_strain_ag876	0
Epstein-barr_virus_strain_p3hr-1	0
Erysipelothrix_rhusiopathiae	0
Erysipelothrix_rhusiopathiae_str._Fujisawa	2
Escherichia_coli	50
Escherichia_coli_E110019	3
Escherichia_coli_NCCP15648	4
Escherichia_coli_O111	0
Escherichia_coli_O121_str._RM8352	2
Escherichia_coli_O145:NM	1
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Escherichia_coli_O7:K1_str._CE10	6
Francisella_tularensis	1
Francisella_tularensis_subsp._novicida	3
Fusobacterium	5
Fusobacterium_gonidiaformans_ATCC_25563	1
Fusobacterium_mortiferum_ATCC_9817	1
Fusobacterium_necrophorum	13
Fusobacterium_necrophorum_subsp._necrophorum	4
Fusobacterium_nucleatum	2
Fusobacterium_nucleatum_subsp._polymorphum	1
Fusobacterium_nucleatum_subsp._vincentii	1
Fusobacterium_pseudoperiodonticum	1
Fusobacterium_ulcerans_ATCC_49185	2
Haemophilus_influenzae	9
Haemophilus_influenzae_2019	1
Haemophilus_influenzae_R2846	2
Haemophilus_influenzae_Rd_KW20	0
Haemophilus_influenzae_biotype_aegyptius	1
Haemophilus_parainfluenzae	1
Helicobacter_cinaedi	5
Helicobacter_pylori	15
Helicobacter_pylori_OK113	1
Helicobacter_pylori_PeCan4	1
Helicobacter_pylori_Shi112	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Herpes_simplex_virus_unknown_type	0
Histoplasma_capsulatum	0
Human_adenovirus_1	0
Human_adenovirus_11	0
Human_adenovirus_11+34	0
Human_adenovirus_11a	0
Human_adenovirus_11p	0
Human_adenovirus_12	0
Human_adenovirus_14	0
Human_adenovirus_14a	0
Human_adenovirus_14p	0
