Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
African_swine_fever_virus	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
BK_virus_strain_AS	0	0	0	0	na	na
BK_virus_strain_GS	0	0	0	0	na	na
BK_virus_variant_RF	0	0	0	0	na	na
Bacillus_albus	2	2	3	3	Off	Off
Bacillus_anthracis	5	5	5	5	Off	Off
Bacillus_cereus	8	8	15	15	Off	Off
Bacillus_cereus_AH1272	1	1	1	1	Off	Off
Bacillus_cereus_AH1273	3	3	3	3	Off	Off
Bacillus_cereus_BDRD-ST196	1	1	1	1	Off	Off
Bacillus_cereus_Rock3-28	3	3	3	3	Off	Off
Bacillus_cereus_Rock3-44	9	9	9	9	Off	Off
Bacillus_cereus_group	47	47	173	173	Off	Off
Bacillus_cytotoxicus	18	18	32	32	Off	Off
Bacillus_luti	5	5	5	5	Off	Off
Bacillus_mycoides	45	45	104	104	Off	Off
Bacillus_nitratireducens	4	4	4	4	Off	Off
Bacillus_pacificus	1	1	1	1	Off	Off
Bacillus_paranthracis	1	1	1	1	Off	Off
Bacillus_pseudomycoides	58	58	76	76	Off	Off
Bacillus_pseudomycoides_DSM_12442	11	11	43	43	Off	Off
Bacillus_sp._ABP14	2	2	2	2	Off	Off
Bacillus_sp._JAS24-2	1	1	6	6	Off	Off
Bacillus_thuringiensis	10	10	12	12	Off	Off
Bacillus_thuringiensis_serovar_chinensis_CT-43	1	1	1	1	Off	Off
Bacillus_thuringiensis_serovar_israelensis	1	1	1	1	Off	Off
Bacillus_wiedmannii	7	7	9	9	Off	Off
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	8	8	14	14	Off	Off
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella	301	301	4138	4138	Off	Off
Bordetella_avium_197N	5	5	5	5	Off	Off
Bordetella_bronchialis	90	90	95	95	Off	Off
Bordetella_bronchiseptica	83	83	143	143	Off	Off
Bordetella_flabilis	90	90	90	90	Off	Off
Bordetella_genomosp._13	126	126	127	127	Off	Off
Bordetella_genomosp._6	47	47	47	47	Off	Off
Bordetella_genomosp._8	101	101	102	102	Off	Off
Bordetella_genomosp._9	81	81	87	87	Off	Off
Bordetella_hinzii	104	104	135	135	Off	Off
Bordetella_holmesii	33	33	67	67	Off	Off
Bordetella_parapertussis	17	17	28	28	Off	Off
Bordetella_pertussis	25	25	333	333	Off	Off
Bordetella_pertussis_137	3	3	31	31	Off	Off
Bordetella_pertussis_18323	1	1	2	2	Off	Off
Bordetella_petrii	102	102	104	104	Off	Off
Bordetella_pseudohinzii	43	43	43	43	Off	Off
Bordetella_sp._H567	107	107	108	108	Off	Off
Bordetella_sp._HZ20	0	0	0	0	na	na
Bordetella_sp._N	45	45	45	45	Off	Off
Bordetella_trematum	60	60	92	92	Off	Off
Borrelia	7	7	21	21	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_crocidurae_DOU	6	6	6	6	Off	Off
Borrelia_miyamotoi_FR64b	1	1	9	9	Off	Off
Borrelia_recurrentis	0	0	0	0	na	na
Borreliaceae	8	8	24	24	Off	Off
Borreliella	1	1	5	5	Off	Off
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Brucella	317	317	1099	1099	Off	Off
Brucella_abortus	3	3	9	9	Off	Off
Brucella_abortus_bv._6_str._870	2	2	2	2	Off	Off
Brucella_canis	0	0	0	0	na	na
Brucella_inopinata	7	7	7	7	Off	Off
Brucella_melitensis	1	1	3	3	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	7	7	8	8	Off	Off
Brucella_pinnipedialis	0	0	0	0	na	na
Brucella_sp._09RB8471	11	11	11	11	Off	Off
Brucella_sp._09RB8910	5	5	6	6	Off	Off
Brucella_sp._10RB9215	12	12	13	13	Off	Off
Brucella_sp._141012304	0	0	0	0	na	na
Brucella_sp._2280	3	3	3	3	Off	Off
Brucella_sp._BO2	8	8	11	11	Off	Off
Brucella_suis	2	2	4	4	Off	Off
Brucella_suis_019	1	1	1	1	Off	Off
Brucella_vulpis	0	0	0	0	na	na
Brucellaceae	3	3	13	13	Off	Off
Burkholderia_cepacia	191	191	302	302	Off	Off
Burkholderia_cepacia_ATCC_25416	62	62	271	271	Off	Off
Burkholderia_cepacia_JBK9	49	49	60	60	Off	Off
Burkholderia_gladioli	233	233	703	703	Off	Off
Burkholderia_gladioli_BSR3	43	43	71	71	Off	Off
Burkholderia_gladioli_pv._gladioli	148	148	406	406	Off	Off
Burkholderia_mallei	0	0	0	0	na	na
Burkholderia_mallei_NCTC_10229	2	2	2	2	Off	Off
Burkholderia_mallei_NCTC_10247	1	1	2	2	Off	Off
Burkholderia_multivorans	266	266	690	690	Off	Off
Burkholderia_multivorans_ATCC_17616	89	89	325	325	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	99	99	260	260	Off	Off
Burkholderia_pseudomallei	119	119	638	638	Off	Off
Burkholderia_pseudomallei_1106b	8	8	15	15	Off	Off
Burkholderia_pseudomallei_1710b	1	1	3	3	Off	Off
Burkholderia_pseudomallei_7894	5	5	28	28	Off	Off
Burkholderia_pseudomallei_B03	9	9	17	17	Off	Off
Burkholderia_pseudomallei_MSHR1153	2	2	3	3	Off	Off
Burkholderia_pseudomallei_MSHR2543	5	5	6	6	Off	Off
Burkholderia_pseudomallei_MSHR346	6	6	16	16	Off	Off
Burkholderia_pseudomallei_MSHR435	2	2	3	3	Off	Off
Burkholderia_pseudomallei_NCTC_13179	6	6	9	9	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	4	4	10	10	Off	Off
Burkholderia_sp._OLGA172	0	0	0	0	na	na
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_coli_76339	2	2	2	2	Off	Off
Campylobacter_gracilis	8	8	10	10	Off	Off
Campylobacter_showae	4	4	4	4	Off	Off
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	1	1	1	1	Off	Off
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Clostridium	164	164	525	525	Off	Off
Clostridium_aceticum	20	20	21	21	Off	Off
Clostridium_acetobutylicum	1	1	1	1	Off	Off
Clostridium_argentinense	2	2	2	2	Off	Off
Clostridium_baratii	6	6	6	6	Off	Off
Clostridium_baratii_str._Sullivan	17	17	29	29	Off	Off
Clostridium_beijerinckii	3	3	7	7	Off	Off
Clostridium_beijerinckii_NRRL_B-598	8	8	8	8	Off	Off
Clostridium_bornimense	7	7	7	7	Off	Off
Clostridium_botulinum	7	7	11	11	Off	Off
Clostridium_botulinum_202F	1	1	1	1	Off	Off
Clostridium_botulinum_A3_str._Loch_Maree	2	2	6	6	Off	Off
Clostridium_botulinum_B1_str._Okra	1	1	1	1	Off	Off
Clostridium_botulinum_BKT015925	1	1	1	1	Off	Off
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	2	2	2	2	Off	Off
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0	na	na
Clostridium_botulinum_Prevot_594	6	6	6	6	Off	Off
Clostridium_butyricum	26	26	120	120	Off	Off
Clostridium_cadaveris	6	6	6	6	Off	Off
Clostridium_chauvoei	15	15	24	24	Off	Off
Clostridium_cochlearium	5	5	5	5	Off	Off
Clostridium_diolis	1	1	1	1	Off	Off
Clostridium_drakei	1	1	1	1	Off	Off
Clostridium_estertheticum	0	0	0	0	na	na
Clostridium_estertheticum_subsp._estertheticum	43	43	43	43	Off	Off
Clostridium_formicaceticum	9	9	9	9	Off	Off
Clostridium_gasigenes	5	5	5	5	Off	Off
Clostridium_intestinale	9	9	12	12	Off	Off
Clostridium_isatidis	4	4	4	4	Off	Off
Clostridium_kluyveri	2	2	2	2	Off	Off
Clostridium_ljungdahlii_DSM_13528	1	1	1	1	Off	Off
Clostridium_novyi	0	0	0	0	na	na
Clostridium_novyi_NT	2	2	2	2	Off	Off
Clostridium_pasteurianum_BC1	3	3	3	3	Off	Off
Clostridium_perfringens	107	107	680	680	Off	Off
Clostridium_perfringens_ATCC_13124	18	18	136	136	Off	Off
Clostridium_perfringens_F262	5	5	20	20	Off	Off
Clostridium_perfringens_str._13	10	10	73	73	Off	Off
Clostridium_saccharobutylicum	5	5	5	5	Off	Off
Clostridium_saccharoperbutylacetonicum	3	3	3	3	Off	Off
Clostridium_scatologenes	2	2	2	2	Off	Off
Clostridium_septicum	30	30	40	40	Off	Off
Clostridium_sp._AWRP	1	1	1	1	Off	Off
Clostridium_sp._BNL1100	3	3	3	3	Off	Off
Clostridium_sp._C1	2	2	2	2	Off	Off
Clostridium_sp._C5S11	3	3	3	3	Off	Off
Clostridium_sp._DL-VIII	8	8	8	8	Off	Off
Clostridium_sp._JN-1	2	2	2	2	Off	Off
Clostridium_sp._JN-9	3	3	3	3	Off	Off
Clostridium_sp._M62/1	1	1	1	1	Off	Off
Clostridium_sp._SY8519	14	14	14	14	Off	Off
Clostridium_sporogenes	1	1	1	1	Off	Off
Clostridium_taeniosporum	5	5	5	5	Off	Off
Clostridium_tetani	0	0	0	0	na	na
Clostridium_tetani_12124569	6	6	16	16	Off	Off
Clostridium_tetani_E88	0	0	0	0	na	na
Clostridium_tyrobutyricum	1	1	4	4	Off	Off
Coccidioides_immitis	0	0	0	0	na	na
Coccidioides_posadasii	0	0	0	0	na	na
Corynebacterium_ammoniagenes	1	1	1	1	Off	Off
Corynebacterium_crudilactis	3	3	3	3	Off	Off
Corynebacterium_diphtheriae	11	11	26	26	Off	Off
Corynebacterium_diphtheriae_HC03	1	1	1	1	Off	Off
Corynebacterium_diphtheriae_HC04	1	1	1	1	Off	Off
Corynebacterium_glutamicum	10	10	50	50	Off	Off
Corynebacterium_glutamicum_MB001	1	1	1	1	Off	Off
Corynebacterium_glutamicum_R	1	1	1	1	Off	Off
Corynebacterium_glutamicum_SCgG2	2	2	2	2	Off	Off
Corynebacterium_glyciniphilum	0	0	0	0	na	na
