Node	NumberOfAssignedReads
African_swine_fever_virus	0
Aspergillus_fumigatus	0
BK_virus_strain_AS	0
BK_virus_strain_GS	0
BK_virus_variant_RF	0
Bacillus_anthracis	0
Bacillus_cereus_Rock3-29	1
Bacillus_cereus_group	1
Bacillus_cytotoxicus	1
Bacillus_mycoides	3
Bacillus_thuringiensis	1
Bacillus_wiedmannii	1
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Bartonella_quintana_RM-11	2
Blastomyces_dermatitidis	0
Bordetella	29
Bordetella_avium_197N	9
Bordetella_bronchialis	11
Bordetella_bronchiseptica	10
Bordetella_flabilis	21
Bordetella_genomosp._13	20
Bordetella_genomosp._6	3
Bordetella_genomosp._8	6
Bordetella_genomosp._9	18
Bordetella_hinzii	9
Bordetella_holmesii	5
Bordetella_parapertussis	2
Bordetella_pertussis	4
Bordetella_petrii	12
Bordetella_pseudohinzii	13
Bordetella_sp._H567	12
Bordetella_sp._HZ20	0
Bordetella_sp._N	19
Bordetella_trematum	8
Borrelia	0
Borrelia_crocidurae	1
Borrelia_recurrentis	0
Borrelia_venezuelensis	1
Borreliaceae	0
Borreliella_afzelii	0
Borreliella_bissettii_DN127	1
Borreliella_burgdorferi	0
Borreliella_garinii	0
Borreliella_valaisiana	1
Brucella	82
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_pinnipedialis	0
Brucella_sp._09RB8471	0
Brucella_sp._09RB8910	1
Brucella_sp._10RB9215	8
Brucella_sp._141012304	0
Brucella_sp._2280	1
Brucella_suis	0
Brucella_vulpis	0
Brucellaceae	1
Burkholderia_cepacia	3191
Burkholderia_cepacia_ATCC_25416	1614
Burkholderia_cepacia_JBK9	1586
Burkholderia_gladioli	1253
Burkholderia_gladioli_BSR3	312
Burkholderia_gladioli_pv._gladioli	798
Burkholderia_mallei	27
Burkholderia_mallei_NCTC_10229	3
Burkholderia_mallei_NCTC_10247	13
Burkholderia_multivorans	7418
Burkholderia_multivorans_ATCC_17616	2308
Burkholderia_multivorans_ATCC_BAA-247	2260
Burkholderia_pseudomallei	2043
Burkholderia_pseudomallei_1106b	25
Burkholderia_pseudomallei_1710a	5
Burkholderia_pseudomallei_1710b	4
Burkholderia_pseudomallei_7894	93
Burkholderia_pseudomallei_B03	17
Burkholderia_pseudomallei_MSHR1153	25
Burkholderia_pseudomallei_MSHR2543	33
Burkholderia_pseudomallei_MSHR346	176
Burkholderia_pseudomallei_MSHR435	30
Burkholderia_pseudomallei_NCTC_13179	29
Burkholderia_pseudomallei_Pasteur_52237	9
Burkholderia_sp._OLGA172	0
Campylobacter_coli	0
Campylobacter_coli_RM1875	1
Campylobacter_gracilis	0
Campylobacter_showae	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	1
Chlamydia_psittaci	0
Chlamydia_trachomatis	0
Clostridium	10
Clostridium_aceticum	1
Clostridium_acetobutylicum	1
Clostridium_argentinense	1
Clostridium_botulinum	0
Clostridium_botulinum_BKT015925	0
Clostridium_botulinum_E3_str._Alaska_E43	0
Clostridium_butyricum	1
Clostridium_carboxidivorans_P7	2
Clostridium_chauvoei	2
Clostridium_cochlearium	0
Clostridium_estertheticum	0
Clostridium_novyi	0
Clostridium_novyi_NT	1
Clostridium_pasteurianum	1
Clostridium_perfringens	3
Clostridium_saccharobutylicum	2
Clostridium_saccharoperbutylacetonicum	8
Clostridium_septicum	1
Clostridium_sp._BNL1100	1
Clostridium_sp._C1	1
Clostridium_sp._C5S11	5
Clostridium_sp._DL-VIII	4
Clostridium_sp._JN-1	1
Clostridium_sp._M62/1	4
Clostridium_sporogenes	0
Clostridium_tetani	1
Clostridium_tetani_E88	0
Coccidioides_immitis	0
Coccidioides_posadasii	0
Corynebacterium_ammoniagenes	1
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	0
Corynebacterium_glutamicum	3
Corynebacterium_glyciniphilum	0
Corynebacterium_jeikeium	1
Corynebacterium_jeikeium_K411	3
Corynebacterium_kroppenstedtii	7
Corynebacterium_kroppenstedtii_DSM_44385	2
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	3
Corynebacterium_matruchotii	2
Corynebacterium_segmentosum	18
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	1
Corynebacterium_stationis	0
Corynebacterium_urealyticum	1
Corynebacterium_ureicelerivorans	7
Corynebacterium_variabile	0
Corynebacterium_variabile_DSM_44702	1
Corynebacterium_xerosis	2
Cowpox-Vaccinia_virus	0
Cowpox_virus	0
Coxiella_burnetii	0
Cryptococcus_gattii_species_complex	0
Cryptococcus_neoformans	0
Cynomolgus_Epstein-Barr_Virus_A4	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0
Ehrlichia_canis	0
Enterobius_vermicularis	25
Enterococcus_avium	1
Enterococcus_casseliflavus	2
Enterococcus_cecorum	13
Enterococcus_durans	1
Enterococcus_faecalis	1
Enterococcus_faecium	4
Enterococcus_hirae	1
Enterococcus_mundtii	1
Epstein-barr_virus_strain_ag876	0
Epstein-barr_virus_strain_p3hr-1	0
Erysipelothrix_rhusiopathiae	1
Escherichia_coli	11
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	2
Fusobacterium_hwasookii_ChDC_F206	2
Fusobacterium_necrophorum_subsp._necrophorum	1
Fusobacterium_nucleatum	0
Fusobacterium_nucleatum_subsp._vincentii	1
Fusobacterium_varium_ATCC_27725	1
Haemophilus_influenzae	2
Haemophilus_influenzae_F3047	1
Haemophilus_influenzae_KR494	1
Haemophilus_influenzae_Rd_KW20	0
Haemophilus_parainfluenzae	9
Haemophilus_parainfluenzae_T3T1	1
Helicobacter_cinaedi	0
Helicobacter_pylori	7
Helicobacter_pylori_PeCan4	2
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Herpes_simplex_virus_unknown_type	0
Histoplasma_capsulatum	0
Human_adenovirus_1	0
Human_adenovirus_11	0
Human_adenovirus_11+34	0
Human_adenovirus_11a	0
Human_adenovirus_11p	0
Human_adenovirus_12	0
Human_adenovirus_14	0
Human_adenovirus_14a	0
Human_adenovirus_14p	0
Human_adenovirus_14p1	0
Human_adenovirus_15	0
Human_adenovirus_15/H9	0
Human_adenovirus_16	0
Human_adenovirus_16p	0
Human_adenovirus_17	0
Human_adenovirus_18	0
Human_adenovirus_19	0
Human_adenovirus_19C	0
Human_adenovirus_19a	0
Human_adenovirus_19p	0
Human_adenovirus_1_strain_Adenoid_71	0
Human_adenovirus_2	0
Human_adenovirus_20	0
Human_adenovirus_21	0
Human_adenovirus_21a	0
Human_adenovirus_22	0
Human_adenovirus_22H8	0
Human_adenovirus_23	0
Human_adenovirus_24	0
Human_adenovirus_25	0
Human_adenovirus_26	0
Human_adenovirus_27	0
Human_adenovirus_28	0
Human_adenovirus_29	0
Human_adenovirus_3+11p	0
Human_adenovirus_3+7	0
Human_adenovirus_30	0
Human_adenovirus_31	0
Human_adenovirus_32	0
Human_adenovirus_33	0
Human_adenovirus_34	0
Human_adenovirus_34a	0
Human_adenovirus_35	0
Human_adenovirus_35+11	0
Human_adenovirus_36	0
Human_adenovirus_38	0
Human_adenovirus_38H44	0
Human_adenovirus_39	0
Human_adenovirus_3p	0
Human_adenovirus_40	0
Human_adenovirus_41	0
Human_adenovirus_41_Wisconsin	0
Human_adenovirus_42	0
Human_adenovirus_43	0
Human_adenovirus_44	0
Human_adenovirus_45	0
Human_adenovirus_46	0
Human_adenovirus_47	0
Human_adenovirus_48	0
Human_adenovirus_49	0
Human_adenovirus_4a	0
Human_adenovirus_4p	0
Human_adenovirus_5	0
Human_adenovirus_50	0
Human_adenovirus_50_prototype_strain_Wan	0
Human_adenovirus_51	0
Human_adenovirus_52	0
Human_adenovirus_53	0
Human_adenovirus_54	0
Human_adenovirus_55	0
Human_adenovirus_56	0
Human_adenovirus_57	0
Human_adenovirus_58	0
Human_adenovirus_59_MSJ-2011	0
Human_adenovirus_6	0
Human_adenovirus_60	0
Human_adenovirus_60a	0
Human_adenovirus_61	0
Human_adenovirus_62	0
Human_adenovirus_63	0
Human_adenovirus_64	0
Human_adenovirus_65	0
Human_adenovirus_66	0
Human_adenovirus_67	0
Human_adenovirus_68	0
Human_adenovirus_69	0
