Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
African_swine_fever_virus	0	0	0	0	na	na
Aspergillus_fumigatus	0	0	0	0	na	na
BK_virus_strain_AS	0	0	0	0	na	na
BK_virus_strain_GS	0	0	0	0	na	na
BK_virus_variant_RF	0	0	0	0	na	na
Bacillus_anthracis	0	0	0	0	na	na
Bacillus_cereus_group	1	1	19	19	Off	Off
Bacillus_luti	1	1	1	1	Off	Off
Bacillus_mycoides	2	2	2	2	Off	Off
Bacillus_thuringiensis	1	1	3	3	Off	Off
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	2	2	5	5	Off	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella	16	16	213	213	Off	Off
Bordetella_avium_197N	1	1	1	1	Off	Off
Bordetella_bronchialis	7	7	7	7	Off	Off
Bordetella_bronchiseptica	6	6	6	6	Off	Off
Bordetella_flabilis	14	14	14	14	Off	Off
Bordetella_genomosp._13	15	15	15	15	Off	Off
Bordetella_genomosp._6	4	4	4	4	Off	Off
Bordetella_genomosp._8	8	8	9	9	Off	Off
Bordetella_genomosp._9	5	5	5	5	Off	Off
Bordetella_hinzii	15	15	19	19	Off	Off
Bordetella_holmesii	4	4	8	8	Off	Off
Bordetella_parapertussis	1	1	1	1	Off	Off
Bordetella_pertussis	1	1	9	9	Off	Off
Bordetella_pertussis_137	1	1	9	9	Off	Off
Bordetella_petrii	13	13	13	13	Off	Off
Bordetella_pseudohinzii	12	12	12	12	Off	Off
Bordetella_sp._H567	5	5	5	5	Off	Off
Bordetella_sp._HZ20	0	0	0	0	na	na
Bordetella_sp._N	10	10	10	10	Off	Off
Bordetella_trematum	5	5	6	6	Off	Off
Borrelia	0	0	0	0	na	na
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliaceae	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Borreliella_valaisiana	1	1	2	2	Off	Off
Brucella	34	34	146	146	Off	Off
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_pinnipedialis	0	0	0	0	na	na
Brucella_sp._09RB8471	1	1	2	2	Off	Off
Brucella_sp._09RB8910	0	0	0	0	na	na
Brucella_sp._10RB9215	2	2	2	2	Off	Off
Brucella_sp._141012304	0	0	0	0	na	na
Brucella_sp._2280	1	1	2	2	Off	Off
Brucella_suis	0	0	0	0	na	na
Brucella_vulpis	0	0	0	0	na	na
Brucellaceae	0	0	0	0	na	na
Burkholderia_cepacia	1970	1970	3461	3461	Off	Off
Burkholderia_cepacia_ATCC_25416	1033	1033	5087	5087	Off	Off
Burkholderia_cepacia_JBK9	945	945	1068	1068	Off	Off
Burkholderia_gladioli	767	767	3382	3382	Off	Off
Burkholderia_gladioli_BSR3	203	203	316	316	Off	Off
Burkholderia_gladioli_pv._gladioli	511	511	1582	1582	Off	Off
Burkholderia_mallei	28	28	223	223	Off	Off
Burkholderia_mallei_NCTC_10229	8	8	37	37	Off	Off
Burkholderia_mallei_NCTC_10247	5	5	24	24	Off	Off
Burkholderia_multivorans	4690	4690	16452	16452	Off	Off
Burkholderia_multivorans_ATCC_17616	1477	1477	6052	6052	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	1510	1510	4835	4835	Off	Off
Burkholderia_pseudomallei	1380	1380	6809	6809	Off	Off
Burkholderia_pseudomallei_1106b	17	17	57	57	Off	Off
Burkholderia_pseudomallei_1710a	4	4	9	9	Off	Off
Burkholderia_pseudomallei_1710b	5	5	9	9	Off	Off
Burkholderia_pseudomallei_7894	64	64	295	295	Off	Off
Burkholderia_pseudomallei_B03	11	11	26	26	Off	Off
Burkholderia_pseudomallei_MSHR1153	26	26	65	65	Off	Off
Burkholderia_pseudomallei_MSHR2543	21	21	46	46	Off	Off
Burkholderia_pseudomallei_MSHR346	133	133	239	239	Off	Off
Burkholderia_pseudomallei_MSHR435	16	16	32	32	Off	Off
Burkholderia_pseudomallei_NCTC_13179	15	15	22	22	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	5	5	7	7	Off	Off
Burkholderia_sp._OLGA172	0	0	0	0	na	na
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_coli_RM4661	2	2	2	2	Off	Off
Campylobacter_gracilis	0	0	0	0	na	na
Campylobacter_showae	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Clostridium	19	19	48	48	Off	Off
Clostridium_acetobutylicum_EA_2018	1	1	2	2	Off	Off
Clostridium_botulinum	1	1	3	3	Off	Off
Clostridium_botulinum_BKT015925	0	0	0	0	na	na
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0	na	na
Clostridium_botulinum_Prevot_594	1	1	1	1	Off	Off
Clostridium_butyricum	0	0	0	0	na	na
Clostridium_cadaveris	2	2	2	2	Off	Off
Clostridium_chauvoei	0	0	0	0	na	na
Clostridium_cochlearium	0	0	0	0	na	na
Clostridium_estertheticum	0	0	0	0	na	na
Clostridium_formicaceticum	1	1	1	1	Off	Off
Clostridium_intestinale	2	2	2	2	Off	Off
Clostridium_novyi	0	0	0	0	na	na
Clostridium_pasteurianum_BC1	1	1	1	1	Off	Off
Clostridium_perfringens	1	1	1	1	Off	Off
Clostridium_septicum	0	0	0	0	na	na
Clostridium_sp._BNL1100	0	0	0	0	na	na
Clostridium_sp._MF28	1	1	1	1	Off	Off
Clostridium_sp._SY8519	4	4	4	4	Off	Off
Clostridium_sporogenes	1	1	1	1	Off	Off
Clostridium_tetani	2	2	2	2	Off	Off
Clostridium_tetani_E88	0	0	0	0	na	na
Clostridium_tyrobutyricum	1	1	1	1	Off	Off
Coccidioides_immitis	0	0	0	0	na	na
Coccidioides_posadasii	0	0	0	0	na	na
Corynebacterium_ammoniagenes	0	0	0	0	na	na
Corynebacterium_crudilactis	0	0	0	0	na	na
Corynebacterium_diphtheriae	0	0	0	0	na	na
Corynebacterium_diphtheriae_NCTC_13129	1	1	3	3	Off	Off
Corynebacterium_glutamicum	10	10	136	136	Off	Off
Corynebacterium_glutamicum_ZL-6	1	1	5	5	Off	Off
Corynebacterium_glyciniphilum	0	0	0	0	na	na
Corynebacterium_glyciniphilum_AJ_3170	1	1	1	1	Off	Off
Corynebacterium_jeikeium	1	1	1	1	Off	Off
Corynebacterium_jeikeium_K411	1	1	2	2	Off	Off
Corynebacterium_kroppenstedtii	0	0	0	0	na	na
Corynebacterium_kroppenstedtii_DSM_44385	2	2	5	5	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_matruchotii	11	11	16	16	Off	Off
Corynebacterium_segmentosum	1	1	1	1	Off	Off
Corynebacterium_sphenisci	0	0	0	0	na	na
Corynebacterium_stationis	1	1	1	1	Off	Off
Corynebacterium_urealyticum	0	0	0	0	na	na
Corynebacterium_ureicelerivorans	9	9	10	10	Off	Off
Corynebacterium_variabile	0	0	0	0	na	na
Corynebacterium_variabile_DSM_44702	1	1	1	1	Off	Off
Corynebacterium_xerosis	0	0	0	0	na	na
Cowpox-Vaccinia_virus	0	0	0	0	na	na
Cowpox_virus	0	0	0	0	na	na
Coxiella_burnetii	0	0	0	0	na	na
Coxiella_burnetii_str._Schperling	1	1	1	1	Off	Off
Cryptococcus_gattii_species_complex	0	0	0	0	na	na
Cryptococcus_neoformans	0	0	0	0	na	na
Cynomolgus_Epstein-Barr_Virus_A4	0	0	0	0	na	na
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0	0	0	0	na	na
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0	0	0	0	na	na
Ehrlichia_canis	0	0	0	0	na	na
Enterobius_vermicularis	30	30	32	32	Off	Off
Enterococcus_avium	0	0	0	0	na	na
Enterococcus_casseliflavus	1	1	4	4	Off	Off
Enterococcus_cecorum	20	20	40	40	Off	Off
Enterococcus_durans	1	1	2	2	Off	Off
Enterococcus_faecalis	5	5	193	193	Off	Off
Enterococcus_faecalis_R712	1	1	4	4	Off	Off
Enterococcus_faecium	4	4	5	5	Off	Off
Enterococcus_hirae	0	0	0	0	na	na
Enterococcus_mundtii	0	0	0	0	na	na
Epstein-barr_virus_strain_ag876	0	0	0	0	na	na
Epstein-barr_virus_strain_p3hr-1	0	0	0	0	na	na
Erysipelothrix_rhusiopathiae	2	2	4	4	Off	Off
Escherichia_coli	4	4	5	5	Off	Off
Escherichia_coli_FAP1	1	1	9	9	Off	Off
Escherichia_coli_O111	0	0	0	0	na	na
Escherichia_coli_O157:H7	0	0	0	0	na	na
Escherichia_coli_O26	0	0	0	0	na	na
Francisella_tularensis	3	3	16	16	Off	Off
Fusobacterium	7	7	70	70	Off	Off
Fusobacterium_gastrosuis	1	1	1	1	Off	Off
Fusobacterium_hwasookii_ChDC_F206	1	1	2	2	Off	Off
Fusobacterium_nucleatum	0	0	0	0	na	na
Fusobacterium_nucleatum_subsp._polymorphum	1	1	1	1	Off	Off
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	1	1	3	3	Off	Off
Fusobacterium_pseudoperiodonticum	5	5	9	9	Off	Off
Haemophilus_influenzae	3	3	18	18	Off	Off
Haemophilus_influenzae_CGSHiCZ412602	1	1	3	3	Off	Off
Haemophilus_influenzae_KR494	1	1	10	10	Off	Off
Haemophilus_influenzae_R2866	1	1	2	2	Off	Off
Haemophilus_influenzae_Rd_KW20	0	0	0	0	na	na
Haemophilus_parainfluenzae	14	14	15	15	Off	Off
Haemophilus_parainfluenzae_T3T1	4	4	8	8	Off	Off
Helicobacter_cinaedi	0	0	0	0	na	na
Helicobacter_pylori	3	3	18	18	Off	Off
Hepatitis_B_virus	0	0	0	0	na	na
