Taxon	Mean	GeometricMean	Median	StandardDev
African_swine_fever_virus	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
BK_virus_strain_AS	0	0	0	0
BK_virus_strain_GS	0	0	0	0
BK_virus_variant_RF	0	0	0	0
Bacillus_anthracis	59.666666666666664	59.66479747515951	60.0	0.5773502691896258
Bacillus_cereus_Rock1-3	38.0	37.99999999999999	38.0	0.0
Bacillus_cereus_Rock4-18	60.0	59.999999999999986	60.0	0.0
Bacillus_cereus_group	39.5	39.050186259788745	40.0	6.757711644237764
Bacillus_pseudomycoides	63.705882352941174	63.47050170147677	60.0	5.828429311169015
Bacillus_pseudomycoides_DSM_12442	61.714285714285715	60.21619637940265	60.0	15.162610655977483
Bacillus_sp._ABP14	37.0	36.99999999999999	37.0	0.0
Bacillus_thuringiensis	49.0	48.99999999999999	49.0	0.0
Bacillus_thuringiensis_HD-771	60.0	59.999999999999986	60.0	0.0
Bacillus_thuringiensis_serovar_andalousiensis	60.0	59.999999999999986	60.0	0.0
Bacillus_thuringiensis_serovar_galleriae	55.25	54.551839787792105	60.0	9.5
Bacillus_wiedmannii	44.0	43.99999999999999	44.0	0.0
Bartonella_bacilliformis	60.0	59.999999999999986	60.0	0.0
Bartonella_henselae	65.6	63.82137401343712	70.0	17.21336689901194
Bartonella_quintana	65.66666666666667	64.58971989395644	67.0	12.53262409340784
Blastomyces_dermatitidis	0	0	0	0
Bordetella	58.54640522875817	57.17285472403678	60.0	12.745782723864082
Bordetella_avium_197N	52.75	51.548945137883074	55.5	11.187143241821992
Bordetella_bronchialis	59.460076045627375	58.025351735904145	60.0	13.250281690578932
Bordetella_bronchiseptica	58.85	57.83282968585184	60.0	11.457989989138362
Bordetella_flabilis	57.089005235602095	55.379822541915736	60.0	14.41408063610659
Bordetella_genomosp._13	59.844290657439444	57.979761152412145	60.0	15.4811705835653
Bordetella_genomosp._6	58.885714285714286	57.448591365120286	60.0	13.422394068342655
Bordetella_genomosp._8	58.02040816326531	56.67615533078484	60.0	12.477339781758014
Bordetella_genomosp._9	58.35757575757576	56.50579550166576	60.0	14.934797929974316
Bordetella_hinzii	57.575	56.27118533447275	60.0	12.267716140198331
Bordetella_holmesii	55.955555555555556	54.78103981595452	60.0	11.445434888984334
Bordetella_parapertussis	59.21739130434783	58.52121863755544	60.0	9.084573110445739
Bordetella_pertussis	62.53086419753087	60.013665046591306	60.0	18.875967802839337
Bordetella_pertussis_137	54.93333333333333	54.61017222255315	58.0	5.981718179666474
Bordetella_pertussis_18323	53.92857142857143	53.47356476772411	55.0	6.988609256544491
Bordetella_petrii	57.2	55.07343739547631	60.0	15.991231363452917
Bordetella_pseudohinzii	58.86607142857142	57.28506095451673	60.0	13.47837476215461
Bordetella_sp._H567	56.50520833333333	54.86065797677092	60.0	13.999625049516533
Bordetella_sp._HZ20	0	0	0	0
Bordetella_sp._N	57.72847682119205	56.31663983031106	60.0	12.52088057331136
Bordetella_trematum	58.22115384615385	56.724251753629055	60.0	13.391749909776703
Borrelia	46.5	45.63727279274821	42.5	10.847426730181986
Borrelia_anserina_BA2	60.0	59.999999999999986	60.0	0.0
Borrelia_crocidurae	0	0	0	0
Borrelia_hermsii	60.0	59.999999999999986	60.0	0.0
Borrelia_hermsii_HS1	66.0	65.99999999999997	66.0	0.0
Borrelia_miyamotoi	42.0	42.00000000000001	42.0	0.0
Borrelia_miyamotoi_FR64b	60.0	59.999999999999986	60.0	0.0
Borrelia_recurrentis	0	0	0	0
Borreliaceae	60.1	59.387078516226886	60.0	9.073159439920707
Borreliella	47.0	46.99999999999999	47.0	0.0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_burgdorferi_JD1	49.0	48.99999999999999	49.0	0.0
Borreliella_garinii	0	0	0	0
Brucella	55.155378486055774	53.996218843690656	60.0	11.008894629170333
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_inopinata	64.8	60.700135240449875	60.0	26.975915183733804
Brucella_melitensis	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	60.0	59.999999999999986	60.0	0.0
Brucella_microti	0	0	0	0
Brucella_microti_CCM_4915	67.0	66.63332499583073	67.0	9.899494936611665
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	75.0	74.99999999999997	75.0	0.0
Brucella_pinnipedialis	0	0	0	0
Brucella_sp._09RB8471	73.4	70.38865492505298	89.0	21.927152117865194
Brucella_sp._09RB8910	53.666666666666664	52.088606328358274	44.0	16.74315780649915
Brucella_sp._10RB9215	62.833333333333336	62.15207222328427	60.0	9.814954576223638
Brucella_sp._141012304	0	0	0	0
Brucella_sp._2280	36.0	36.0	36.0	0.0
Brucella_sp._BO2	70.66666666666667	69.18789367999402	60.0	18.475208614068027
Brucella_suis	0	0	0	0
Brucella_vulpis	0	0	0	0
Brucellaceae	57.2	55.96150740660751	59.0	13.21741275741966
Burkholderia_cepacia	57.58543417366947	56.14661013796529	60.0	13.100587972234937
Burkholderia_cepacia_ATCC_25416	58.29365079365079	56.447528915875026	60.0	15.00883337788382
Burkholderia_cepacia_JBK9	57.49726775956284	55.99884563462081	60.0	13.515914232814227
Burkholderia_gladioli	58.77547495682211	57.31003197311894	60.0	13.200923459387187
Burkholderia_gladioli_BSR3	59.37593984962406	57.97541555083937	60.0	12.850304502794343
Burkholderia_gladioli_pv._gladioli	59.34678899082568	58.018449021988	60.0	12.645001401444206
Burkholderia_mallei	56.23809523809524	55.38603075629497	60.0	10.024493812182051
Burkholderia_mallei_NCTC_10247	67.33333333333333	66.58434282807289	60.0	12.701705922171767
Burkholderia_multivorans	57.73809523809524	56.00760223178492	60.0	14.370842771469528
Burkholderia_multivorans_ATCC_17616	59.644999999999996	58.20383978293853	60.0	13.13283410609803
Burkholderia_multivorans_ATCC_BAA-247	58.41379310344827	56.813938638457174	60.0	13.776961353720832
Burkholderia_pseudomallei	58.68989547038328	57.14193800578642	60.0	13.564840490823446
Burkholderia_pseudomallei_1106b	72.41666666666667	69.86988481711994	70.0	19.965690268026997
Burkholderia_pseudomallei_1710a	68.10344827586206	64.56284077721965	60.0	21.96156517253691
Burkholderia_pseudomallei_1710b	54.0	49.05062101688793	39.0	30.4138126514911
Burkholderia_pseudomallei_7894	56.8	56.03808786197663	60.0	10.425929215182693
Burkholderia_pseudomallei_B03	52.7	51.8328549634749	60.0	9.240652313144013
Burkholderia_pseudomallei_MSHR1153	57.77777777777778	57.01701296249923	60.0	8.700255424092123
Burkholderia_pseudomallei_MSHR2543	63.714285714285715	63.10269208768799	60.0	9.690446940402795
Burkholderia_pseudomallei_MSHR346	58.5	56.2705358497756	60.0	17.82788078637877
Burkholderia_pseudomallei_MSHR435	55.666666666666664	55.071873264815764	60.0	8.06225774829855
Burkholderia_pseudomallei_NCTC_13179	61.388888888888886	60.06761479046916	60.0	12.816069365719278
Burkholderia_pseudomallei_Pasteur_52237	60.0	59.999999999999986	60.0	0.0
Burkholderia_sp._OLGA172	0	0	0	0
Campylobacter_coli	44.0	43.99999999999999	44.0	0.0
Campylobacter_coli_RM1875	43.0	43.0	43.0	0.0
Campylobacter_gracilis	53.333333333333336	52.95522502989093	55.0	7.637626158259733
Campylobacter_showae	48.5	48.07879880399688	45.0	7.724420150837645
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	50.0	49.99999999999999	50.0	0.0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pecorum_P787	46.0	46.0	46.0	0.0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Clostridium	58.16666666666667	56.85785028668871	60.0	12.700030714208687
Clostridium_aceticum	36.0	36.0	36.0	0.0
Clostridium_beijerinckii_NRRL_B-598	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum	49.166666666666664	48.47075811438681	48.5	9.064583093924764
Clostridium_botulinum_A	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum_B1_str._Okra	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum_BKT015925	74.0	74.00000000000003	74.0	0.0
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0
Clostridium_botulinum_Prevot_594	54.5	53.75855930835715	59.0	9.71253485622231
Clostridium_butyricum	57.75	57.61107536425125	60.0	4.5
Clostridium_cadaveris	38.333333333333336	38.130667436607126	36.0	4.932882862316248
Clostridium_carboxidivorans_P7	47.0	46.99999999999999	47.0	0.0
Clostridium_chauvoei	44.0	43.99999999999999	44.0	0.0
Clostridium_cochlearium	43.0	43.0	43.0	0.0
Clostridium_diolis	60.0	59.999999999999986	60.0	0.0
Clostridium_estertheticum	0	0	0	0
Clostridium_estertheticum_subsp._estertheticum	44.0	43.99999999999999	44.0	0.0
Clostridium_formicaceticum	64.0	63.874877690685246	64.0	5.656854249492381
Clostridium_gasigenes	55.0	55.000000000000014	55.0	0.0
Clostridium_intestinale	54.75	54.49631621480022	55.0	6.075908711186061
Clostridium_isatidis	43.0	42.95346318982906	43.0	2.8284271247461903
Clostridium_ljungdahlii_DSM_13528	60.0	59.999999999999986	60.0	0.0
Clostridium_novyi	0	0	0	0
Clostridium_novyi_NT	85.0	85.00000000000001	85.0	0.0
Clostridium_pasteurianum_BC1	91.0	88.84281085028927	100.0	21.007935008784973
Clostridium_perfringens	76.0	69.53320523398892	73.0	30.491802176978652
Clostridium_perfringens_ATCC_13124	61.0	60.079010463279204	60.0	12.30176139149729
Clostridium_septicum	0	0	0	0
Clostridium_sp._AWRP	60.0	59.999999999999986	60.0	0.0
Clostridium_sp._BNL1100	62.666666666666664	62.51018500682669	60.0	5.507570547286102
Clostridium_sp._C1	60.0	59.999999999999986	60.0	0.0
Clostridium_sp._C5S11	56.666666666666664	53.97163576691879	68.0	19.629909152447276
Clostridium_sp._DL-VIII	45.5	45.47526800360827	45.5	2.1213203435596424
Clostridium_sp._JN-1	63.5	63.40346993658942	63.5	4.949747468305833
Clostridium_sp._JN-9	60.0	59.999999999999986	60.0	0.0
Clostridium_sp._M62/1	60.0	59.999999999999986	60.0	0.0
Clostridium_sp._SY8519	55.5	52.72385795811278	52.0	19.31690599301185
Clostridium_sporogenes	60.0	59.999999999999986	60.0	0.0
Clostridium_tetani	0	0	0	0
Clostridium_tetani_12124569	53.0	52.535702146254785	53.0	9.899494936611665
Clostridium_tetani_E88	0	0	0	0
Clostridium_tyrobutyricum	56.0	55.52347088285846	60.0	8.0
Coccidioides_immitis	0	0	0	0
Coccidioides_posadasii	0	0	0	0
Corynebacterium_ammoniagenes	67.83333333333333	64.28254986064283	55.0	25.28570083400234
Corynebacterium_crudilactis	66.33333333333333	66.22307437924363	69.0	4.618802153517006
Corynebacterium_diphtheriae	87.8	87.626585776634	89.0	6.220932405998316
Corynebacterium_diphtheriae_HC03	60.0	59.999999999999986	60.0	0.0
Corynebacterium_diphtheriae_HC04	58.0	57.999999999999986	58.0	0.0
Corynebacterium_glutamicum	53.0	51.50234171277701	53.5	13.027443560203427
Corynebacterium_glutamicum_R	55.625	55.323007793303695	60.0	6.06953752062591
Corynebacterium_glutamicum_SCgG1	60.0	59.999999999999986	60.0	0.0
Corynebacterium_glyciniphilum	0	0	0	0
Corynebacterium_glyciniphilum_AJ_3170	60.166666666666664	55.7800638539167	59.0	24.232331343742835
Corynebacterium_jeikeium	59.12903225806451	56.937658180518554	60.0	17.10700039064685
Corynebacterium_jeikeium_K411	55.25	53.37784522130578	60.0	14.540049638094805
Corynebacterium_kroppenstedtii	56.75	55.1670861840189	60.0	14.017845768876187
Corynebacterium_kroppenstedtii_DSM_44385	50.875	47.9044317915833	41.5	21.536928418748243
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	56.77272727272727	55.66594163145852	60.0	10.99919252284685
Corynebacterium_matruchotii	51.8125	50.7132585312894	56.0	10.584383150031307
Corynebacterium_segmentosum	47.2	46.08338669444127	45.0	10.658330075579382
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	59.65862708719852	58.40327553057959	60.0	12.369706624563833
Corynebacterium_stationis	60.0	59.999999999999986	60.0	0.0
Corynebacterium_urealyticum	55.32258064516129	53.35592383061367	60.0	15.862717498953732
Corynebacterium_ureicelerivorans	57.91891891891892	56.48739876846659	60.0	13.081748053380789
Corynebacterium_variabile	0	0	0	0
Corynebacterium_variabile_DSM_44702	58.37647058823529	57.01106591843092	60.0	12.521387864834503
Corynebacterium_xerosis	59.278688524590166	58.23286051598098	60.0	11.350748362133297
Cowpox-Vaccinia_virus	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	60.31578947368421	59.582488313177095	60.0	10.301308609314036
Coxiella_burnetii_Dugway_5J108-111	75.4	70.88912214382422	77.0	27.19007171744863
Coxiella_burnetii_str._Schperling	48.25	46.07927212375922	47.0	16.580611166861935
Cryptococcus_gattii_species_complex	0	0	0	0
Cryptococcus_neoformans	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0	0	0	0
Ehrlichia_canis	0	0	0	0
Ehrlichia_canis_str._Jake	45.0	44.99999999999999	45.0	0.0
Enterobius_vermicularis	62.68181818181818	61.340745379438445	60.0	13.953945227518538
Enterococcus_avium	60.0	59.999999999999986	60.0	0.0
Enterococcus_casseliflavus	50.0	49.18333050943176	50.0	10.392304845413264
Enterococcus_cecorum	55.333333333333336	52.88619224795984	43.0	21.361959960016154
Enterococcus_durans	78.5	76.28892449104262	78.5	26.16295090390226
Enterococcus_faecalis	55.333333333333336	54.91446760554319	60.0	8.082903768654761
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_hirae_ATCC_9790	39.8	39.758141607016604	39.0	2.0493901531919194
Enterococcus_mundtii	42.0	42.00000000000001	42.0	0.0
Epstein-barr_virus_strain_ag876	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	0	0	0	0
Erysipelothrix_rhusiopathiae	73.0	72.99999999999999	73.0	0.0
Escherichia_coli	51.05084745762712	49.6734086886573	53.0	11.772884873086555
Escherichia_coli_CFT073	49.0	48.99999999999999	49.0	0.0
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O121_str._RM8352	45.0	44.99999999999999	45.0	0.0
Escherichia_coli_O139	48.0	48.00000000000001	48.0	0.0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O25:NM	60.0	59.999999999999986	60.0	0.0
Escherichia_coli_O26	0	0	0	0
Escherichia_coli_O45:H2	61.0	60.99180272790762	61.0	1.4142135623730951
Francisella_tularensis	0	0	0	0
Francisella_tularensis_subsp._tularensis	60.0	59.999999999999986	60.0	0.0
Fusobacterium	52.23076923076923	50.156123359585436	58.0	14.928461888586325
Fusobacterium_canifelinum	49.77777777777778	48.19013908553914	47.0	13.67276286799579
Fusobacterium_gonidiaformans_ATCC_25563	35.0	34.99999999999999	35.0	0.0
Fusobacterium_hwasookii	53.333333333333336	52.29321531755985	55.0	12.583057392117915
Fusobacterium_hwasookii_ChDC_F174	108.0	108.00000000000003	108.0	0.0
Fusobacterium_necrophorum	43.0	43.0	43.0	0.0
Fusobacterium_necrophorum_subsp._funduliforme	51.0	51.0	51.0	0.0
Fusobacterium_necrophorum_subsp._necrophorum	60.0	59.999999999999986	60.0	0.0
Fusobacterium_nucleatum	55.63636363636363	54.387703328227595	56.0	12.792753630651436
Fusobacterium_nucleatum_subsp._animalis	50.4	49.82884828761925	50.0	8.561541917201598
Fusobacterium_nucleatum_subsp._animalis_7_1	41.333333333333336	40.90638964580472	37.0	7.505553499465135
Fusobacterium_nucleatum_subsp._nucleatum	95.5	95.43584232352124	95.5	4.949747468305833
Fusobacterium_nucleatum_subsp._nucleatum_ATCC_23726	53.0	53.00000000000001	53.0	0.0
Fusobacterium_nucleatum_subsp._polymorphum	68.75	66.46803402618774	66.0	20.516253719104437
Fusobacterium_nucleatum_subsp._polymorphum_ATCC_10953	44.0	43.758664950407876	45.0	5.5677643628300215
