Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
African_swine_fever_virus	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0
Bacillus_anthracis	NA	0	0	0	0	0
Bacillus_cereus_Rock3-28	Bacillus_cereus_Rock3-28	1	2	2	2	6041497
Bacillus_cereus_group	Bacillus_pseudomycoides	1	1	1	1	5841497
Bacillus_mycoides	Bacillus_mycoides	1	1	1	1	5674808
Bacillus_pacificus	Bacillus_pacificus	0	0	2	2	5252926
Bacillus_pseudomycoides	NA	1	1	1	1	2726042
Bartonella_bacilliformis	Bartonella_bacilliformis	0	0	2	2	1443410
Bartonella_henselae	Bartonella_henselae	1	1	1	1	1963796
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella	Bordetella_parapertussis	0.826	22	27	41	4773923
Bordetella_avium_197N	Bordetella_avium_197N	1	5	5	5	3732255
Bordetella_bronchialis	Bordetella_bronchialis	0.701	17	26	27	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.724	7	9	11	5081368
Bordetella_flabilis	Bordetella_flabilis	0.146	12	98	123	5835727
Bordetella_genomosp._13	Bordetella_genomosp._13	0.453	22	50	63	5380929
Bordetella_genomosp._6	Bordetella_genomosp._6	0.65	5	8	9	5163295
Bordetella_genomosp._8	Bordetella_genomosp._8	0.904	18	20	30	6167536
Bordetella_genomosp._9	Bordetella_genomosp._9	0.649	11	18	21	4587366
Bordetella_hinzii	Bordetella_hinzii	0.69	17	25	31	4912977
Bordetella_holmesii	Bordetella_holmesii	1	7	7	10	3698889
Bordetella_parapertussis	Bordetella_parapertussis	1	2	2	2	4775256
Bordetella_pertussis	Bordetella_pertussis	1	4	4	7	4108318
Bordetella_pertussis_137	Bordetella_pertussis	1	1	1	1	4386396
Bordetella_pertussis_18323	Bordetella_pertussis	1	1	1	1	4096524
Bordetella_petrii	Bordetella_petrii	0.625	19	31	42	5287950
Bordetella_pseudohinzii	Bordetella_pseudohinzii	0.542	14	25	36	4490371
Bordetella_sp._H567	Bordetella_sp._H567	0.586	13	24	37	5532470
Bordetella_sp._HZ20	NA	0	0	0	0	0
Bordetella_sp._N	Bordetella_sp._N	0.627	14	29	32	6989698
Bordetella_trematum	Bordetella_trematum	1	10	10	15	4518493
Borrelia	NA	0	0	0	0	0
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliaceae	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Brucella	Brucella	0.984	14	16	19	2865725
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_inopinata	Brucella_inopinata	1	2	2	2	2145953
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_pinnipedialis	NA	0	0	0	0	0
Brucella_sp._09RB8471	NA	0	0	0	0	0
Brucella_sp._09RB8910	NA	0	0	0	0	0
Brucella_sp._10RB9215	Brucella_sp._10RB9215	0	0	2	2	2256786
Brucella_sp._141012304	NA	0	0	0	0	0
Brucella_sp._BO2	Brucella_sp._BO2	1	1	1	1	1598747
Brucella_suis	NA	0	0	0	0	0
Brucella_vulpis	NA	0	0	0	0	0
Brucellaceae	Pseudochrobactrum	1	1	1	1	432748
Burkholderia_cepacia	Burkholderia_cepacia	0.578	155	298	380	3728457
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	0.547	235	488	642	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.548	247	507	632	3790084
Burkholderia_gladioli	Burkholderia_gladioli_BSR3	0.365	479	1624	2104	4413616
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	0.381	147	459	577	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.399	289	885	1140	4209407
Burkholderia_mallei	Burkholderia_mallei	0.581	9	17	22	3501048
Burkholderia_mallei_NCTC_10229	Burkholderia_mallei_NCTC_10229	1	4	4	4	3458208
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247	0.515	6	12	20	3495687
Burkholderia_multivorans	Burkholderia_multivorans	0.558	543	1122	1431	3350628
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0.503	413	947	1211	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	0.485	388	927	1179	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	0.293	66	278	359	4195298
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei_1106b	0.385	6	25	28	3976928
Burkholderia_pseudomallei_1710a	Burkholderia_pseudomallei_1710a	0.626	2	4	5	4118977
Burkholderia_pseudomallei_1710b	Burkholderia_pseudomallei_1710b	0.524	5	11	14	4126292
Burkholderia_pseudomallei_7894	Burkholderia_pseudomallei_7894	0.726	19	28	36	3260260
Burkholderia_pseudomallei_B03	Burkholderia_pseudomallei_B03	0.479	6	12	14	4008750
Burkholderia_pseudomallei_MSHR1153	Burkholderia_pseudomallei_MSHR1153	0.605	13	23	31	4032226
Burkholderia_pseudomallei_MSHR2543	Burkholderia_pseudomallei_MSHR2543	0.464	11	25	30	4240604
Burkholderia_pseudomallei_MSHR346	Burkholderia_pseudomallei_MSHR346	0.368	16	65	80	4098576
Burkholderia_pseudomallei_MSHR435	Burkholderia_pseudomallei_MSHR435	0.651	9	16	19	3837469
Burkholderia_pseudomallei_NCTC_13179	Burkholderia_pseudomallei_NCTC_13179	0.398	13	35	50	3997089
Burkholderia_pseudomallei_Pasteur_52237	Burkholderia_pseudomallei_Pasteur_52237	0.586	8	15	22	4140573
Burkholderia_sp._OLGA172	NA	0	0	0	0	0
Campylobacter_coli	NA	0	0	0	0	0
Campylobacter_gracilis	NA	0	0	0	0	0
Campylobacter_showae	Campylobacter_showae	1	1	1	1	2160580
Chlamydia_abortus	NA	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0
Chlamydia_pneumoniae_AR39	Chlamydia_pneumoniae_AR39	1	2	2	2	1229853
Chlamydia_psittaci	NA	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0
Clostridium	Clostridium	1	1	1	3	2688791
Clostridium_argentinense	Clostridium_argentinense	0	0	2	2	4662988
Clostridium_baratii	Clostridium_baratii	1	1	1	1	3091050
Clostridium_beijerinckii	Clostridium_beijerinckii	1	1	1	1	6383364
Clostridium_bornimense	Clostridium_bornimense	1	1	1	1	2917864
Clostridium_botulinum	Clostridium_botulinum	1	2	2	2	4090796
Clostridium_botulinum_A	Clostridium_botulinum_A2_str._Kyoto	1	1	1	1	4155278
Clostridium_botulinum_BKT015925	NA	0	0	0	0	0
Clostridium_botulinum_E3_str._Alaska_E43	NA	0	0	0	0	0
Clostridium_butyricum	Clostridium_butyricum	1	2	2	2	3861515
Clostridium_cadaveris	Clostridium_cadaveris	1	1	1	1	3619347
Clostridium_carboxidivorans_P7	Clostridium_carboxidivorans_P7	1	2	2	2	5732880
Clostridium_chauvoei	NA	0	0	0	0	0
Clostridium_cochlearium	NA	0	0	0	0	0
Clostridium_drakei	Clostridium_drakei	1	1	1	1	5695241
Clostridium_estertheticum	NA	0	0	0	0	0
Clostridium_estertheticum_subsp._estertheticum	Clostridium_estertheticum_subsp._estertheticum	1	1	1	1	4760574
Clostridium_isatidis	Clostridium_isatidis	0	0	2	2	2869927
Clostridium_kluyveri	Clostridium_kluyveri	1	1	1	1	4454353
Clostridium_ljungdahlii_DSM_13528	Clostridium_ljungdahlii_DSM_13528	1	1	1	1	4630065
Clostridium_novyi	NA	0	0	0	0	0
Clostridium_novyi_NT	Clostridium_novyi_NT	1	1	1	1	2547720
Clostridium_perfringens	Clostridium_perfringens	1	3	3	3	4006058
Clostridium_perfringens_ATCC_13124	Clostridium_perfringens_ATCC_13124	1	1	1	1	3256683
Clostridium_saccharobutylicum	Clostridium_saccharobutylicum	1	2	2	2	5108287
Clostridium_septicum	Clostridium_septicum	1	1	1	1	3399275
Clostridium_sp._BNL1100	NA	0	0	0	0	0
Clostridium_sp._C1	Clostridium_sp._C1	1	1	1	1	3035113
Clostridium_sp._C5S11	Clostridium_sp._C5S11	1	2	2	2	6041432
Clostridium_sp._JN-1	Clostridium_sp._JN-1	1	1	1	1	2795954
Clostridium_sp._JN-9	Clostridium_sp._JN-9	1	2	2	3	3223191
Clostridium_sporogenes	NA	0	0	0	0	0
Clostridium_tetani	Clostridium_tetani	0.573	6	10	13	2811348
Clostridium_tetani_12124569	Clostridium_tetani_12124569	1	1	1	1	2807481
Clostridium_tetani_E88	NA	0	0	0	0	0
Clostridium_tyrobutyricum	Clostridium_tyrobutyricum	1	1	1	1	3159003
Coccidioides_immitis	NA	0	0	0	0	0
Coccidioides_posadasii	NA	0	0	0	0	0
Corynebacterium_ammoniagenes	NA	0	0	0	0	0
Corynebacterium_crudilactis	Corynebacterium_crudilactis	1	1	1	1	3047373
Corynebacterium_diphtheriae	NA	0	0	0	0	0
Corynebacterium_glutamicum	Corynebacterium_glutamicum_SCgG2	1	4	4	4	3350619
