Taxon	Mean	GeometricMean	Median	StandardDev
African_swine_fever_virus	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
BK_virus_strain_AS	0	0	0	0
BK_virus_strain_GS	0	0	0	0
BK_virus_variant_RF	0	0	0	0
Bacillus_anthracis	101.0	101.00000000000003	101.0	0.0
Bacillus_cereus	60.0	59.999999999999986	60.0	0.0
Bacillus_cereus_AH1273	60.0	59.999999999999986	60.0	0.0
Bacillus_cereus_Rock3-28	60.0	59.999999999999986	60.0	0.0
Bacillus_cereus_Rock3-44	58.0	57.96550698475778	58.0	2.8284271247461903
Bacillus_cereus_group	58.375	57.21140279453001	60.0	11.904480949065636
Bacillus_cytotoxicus	55.333333333333336	55.13991922769704	52.0	5.773502691896258
Bacillus_luti	60.0	59.999999999999986	60.0	0.0
Bacillus_mycoides	60.7	58.97083365552859	60.0	16.673665197283743
Bacillus_nitratireducens	49.0	48.99999999999999	49.0	0.0
Bacillus_pseudomycoides	61.42857142857143	60.972499456886304	60.0	8.016466569738581
Bacillus_pseudomycoides_DSM_12442	65.0	63.27712081577155	60.0	15.456684343968822
Bacillus_sp._HBCD-sjtu	74.0	71.24605252222754	74.0	28.284271247461902
Bacillus_thuringiensis	73.5	68.55654600401041	73.5	37.476659402887016
Bacillus_thuringiensis_HD-771	60.0	59.999999999999986	60.0	0.0
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	66.0	65.72670690061993	66.0	8.48528137423857
Bacillus_wiedmannii	60.0	59.99999999999993	60.0	0.0
Bartonella_bacilliformis	60.0	59.999999999999986	60.0	0.0
Bartonella_henselae	60.0	59.999999999999986	60.0	0.0
Bartonella_quintana	0	0	0	0
Bartonella_quintana_RM-11	60.0	59.999999999999986	60.0	0.0
Blastomyces_dermatitidis	0	0	0	0
Bordetella	59.45061728395062	58.624440277231564	60.0	10.080532919844698
Bordetella_avium_197N	60.172413793103445	59.755479685924044	60.0	7.186639218106855
Bordetella_bronchialis	57.73880597014925	57.03378334802334	60.0	8.617109318075478
Bordetella_bronchiseptica	59.48148148148148	58.941428841971494	60.0	7.9030119438541
Bordetella_flabilis	60.272	59.738082688963935	60.0	8.220132641579522
Bordetella_genomosp._13	60.67796610169491	59.72681878814548	60.0	11.042954373459075
Bordetella_genomosp._6	59.80434782608695	59.307215693739636	60.0	7.773212851294753
Bordetella_genomosp._8	59.45794392523364	58.6677241918376	60.0	9.793413625986403
Bordetella_genomosp._9	59.623655913978496	58.48054006721945	60.0	11.928149004054504
Bordetella_hinzii	59.34444444444444	58.57644390062482	60.0	9.483488869722365
Bordetella_holmesii	61.291666666666664	59.95937758127366	60.0	13.703313362156223
Bordetella_parapertussis	62.44	61.93050986812277	60.0	9.372299611087985
Bordetella_pertussis	57.38	56.95865880487441	60.0	6.480394293874533
Bordetella_pertussis_137	61.0	59.8906944734024	60.0	12.750350135248388
Bordetella_pertussis_18323	69.625	68.05735307447667	60.0	16.343959128681153
Bordetella_petrii	59.0	58.05996911301073	60.0	10.355945830057616
Bordetella_pseudohinzii	61.52577319587629	61.083603247883644	60.0	7.66090288345249
Bordetella_sp._H567	58.916666666666664	58.266724424119246	60.0	8.99197408606012
Bordetella_sp._HZ20	0	0	0	0
Bordetella_sp._N	58.43103448275862	57.771824457198704	60.0	8.649930020255793
Bordetella_trematum	62.27272727272727	61.15108934184763	60.0	12.853486733650175
Borrelia	83.5	80.12490249604049	83.5	33.23401871576773
Borrelia_anserina_BA2	60.0	59.999999999999986	60.0	0.0
Borrelia_crocidurae	0	0	0	0
Borrelia_hermsii	60.0	59.999999999999986	60.0	0.0
Borrelia_miyamotoi	47.5	45.825756949558404	47.5	17.67766952966369
Borrelia_recurrentis	0	0	0	0
Borrelia_sp._HM	48.0	48.00000000000001	48.0	0.0
Borrelia_venezuelensis	90.0	90.0	90.0	0.0
Borreliaceae	58.25	57.469581726404726	60.0	10.181310863984603
Borreliella	56.5	56.143941158198786	60.0	7.0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	70.0	70.00000000000003	70.0	0.0
Borreliella_garinii	0	0	0	0
Borreliella_valaisiana	60.0	59.999999999999986	60.0	0.0
Borreliella_valaisiana_VS116	48.0	48.00000000000001	48.0	0.0
Brucella	59.196675900277015	58.01389622144491	60.0	12.147820564826546
Brucella_abortus	60.8	60.792139212855375	60.0	1.0954451150103321
Brucella_abortus_bv._6_str._870	52.666666666666664	51.882377138296796	46.0	11.547005383792515
Brucella_canis	60.0	59.999999999999986	60.0	0.0
Brucella_inopinata	67.375	66.17028455924442	60.0	13.958484363077737
Brucella_melitensis	60.0	59.999999999999986	60.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	58.22222222222222	57.87915639237322	60.0	6.11918658356194
Brucella_pinnipedialis	0	0	0	0
Brucella_sp._09RB8471	62.57142857142857	60.148105070373475	64.0	16.470753300493403
Brucella_sp._09RB8910	55.357142857142854	54.626559677108645	60.0	8.871797518473425
Brucella_sp._10RB9215	57.875	55.77383491748968	60.0	16.45285472407231
Brucella_sp._141012304	0	0	0	0
Brucella_sp._2280	61.666666666666664	58.024563515600754	60.0	25.540817005987364
Brucella_sp._BO2	59.81818181818182	59.8169294779125	60.0	0.4045199174779452
Brucella_suis	60.0	59.999999999999986	60.0	0.0
Brucella_vulpis	0	0	0	0
Brucellaceae	60.0	59.999999999999986	60.0	0.0
Burkholderia_cepacia	60.32951289398281	58.48675136456976	60.0	15.318374701569285
Burkholderia_cepacia_ATCC_25416	62.1078431372549	60.41502445134443	60.0	15.025988616917845
Burkholderia_cepacia_JBK9	64.41481481481482	62.4989285145477	60.0	16.056516408669367
Burkholderia_gladioli	61.34935897435897	59.81425367875267	60.0	14.014658672060653
Burkholderia_gladioli_BSR3	59.78030303030303	58.11799788530542	60.0	14.5682465499819
Burkholderia_gladioli_pv._gladioli	61.482	60.020401602748784	60.0	13.817362810249298
Burkholderia_mallei	57.46153846153846	57.105047692068055	60.0	6.0362154895180336
Burkholderia_mallei_NCTC_10229	60.0	59.999999999999986	60.0	0.0
Burkholderia_mallei_NCTC_10247	42.0	42.00000000000001	42.0	0.0
Burkholderia_multivorans	61.70219966159053	59.87111541340009	60.0	15.378258212871918
Burkholderia_multivorans_ATCC_17616	61.72916666666667	60.06263072909318	60.0	14.556962503992962
Burkholderia_multivorans_ATCC_BAA-247	62.48275862068966	60.409326752259766	60.0	16.46496513021169
Burkholderia_pseudomallei	62.48953974895397	60.516131089124364	60.0	16.27878495782919
Burkholderia_pseudomallei_1106b	60.666666666666664	60.65939345778795	60.0	1.1547005383792517
Burkholderia_pseudomallei_1710b	59.42857142857143	59.39426120615153	60.0	2.1491969707422394
Burkholderia_pseudomallei_7894	53.23529411764706	52.195601860472244	60.0	10.317033317315024
Burkholderia_pseudomallei_B03	52.35294117647059	51.36084614864583	60.0	10.197678513211892
Burkholderia_pseudomallei_MSHR1153	58.666666666666664	58.36283894972475	60.0	5.6300061897807625
Burkholderia_pseudomallei_MSHR2543	70.75	67.31162027536594	72.0	24.12985702402731
Burkholderia_pseudomallei_MSHR346	59.0	56.705635714474255	56.0	18.663690238892556
Burkholderia_pseudomallei_MSHR435	60.25	57.97413087951169	59.0	19.05037182489273
Burkholderia_pseudomallei_NCTC_13179	65.25	65.01799434705785	64.0	6.3966136874651625
Burkholderia_pseudomallei_Pasteur_52237	66.0	63.6365110321542	58.0	21.694853460363973
Burkholderia_sp._OLGA172	0	0	0	0
Campylobacter_coli	46.0	46.0	46.0	0.0
Campylobacter_gracilis	53.5	52.21624521353891	59.5	12.342339054382412
Campylobacter_showae	0	0	0	0
Candidatus_Borrelia_tachyglossi	60.0	59.999999999999986	60.0	0.0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	66.0	65.99999999999997	66.0	0.0
Chlamydia_trachomatis	0	0	0	0
Clostridium	63.21768707482993	62.02425380377406	60.0	12.625543257972744
Clostridium_aceticum	60.75	60.73633406574234	60.0	1.5
Clostridium_argentinense	57.714285714285715	57.44604195218749	60.0	5.6188458397991825
Clostridium_baratii	73.85714285714286	71.2057034127814	63.0	21.427619026454085
Clostridium_baratii_str._Sullivan	68.0	64.01840179093773	69.0	25.599479161368368
Clostridium_beijerinckii	83.0	81.44323176298934	83.0	22.627416997969522
Clostridium_beijerinckii_NRRL_B-598	49.5	48.37354648979129	49.5	14.849242404917497
Clostridium_bornimense	65.66666666666667	63.22111418776879	60.0	20.578305728768505
Clostridium_botulinum	55.6	51.6721581656915	44.5	23.94530805351599
Clostridium_botulinum_202F	73.0	70.68729331831508	61.0	20.14235055087379
Clostridium_botulinum_A	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum_BKT015925	82.0	82.00000000000001	82.0	0.0
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0
Clostridium_butyricum	58.588235294117645	56.768051028814654	60.0	14.798897017723194
Clostridium_cadaveris	63.0	62.85917243151874	60.0	4.69041575982343
Clostridium_cellulovorans_743B	60.0	59.999999999999986	60.0	0.0
Clostridium_chauvoei	68.2	66.05809996513852	60.0	18.426525502797947
Clostridium_cochlearium	56.0	53.92677957935694	60.0	16.01784718903975
Clostridium_drakei	53.5	53.103672189407	53.5	9.192388155425117
Clostridium_estertheticum	0	0	0	0
Clostridium_estertheticum_subsp._estertheticum	54.75	54.20868075316682	59.5	7.796519369931321
Clostridium_formicaceticum	69.0	68.41052550594827	69.0	12.727922061357855
Clostridium_gasigenes	69.33333333333333	67.09111586276511	62.5	17.98652694421998
Clostridium_intestinale	60.0	59.999999999999986	60.0	0.0
Clostridium_isatidis	51.875	51.19799513996772	54.5	8.822657519947473
Clostridium_novyi	0	0	0	0
Clostridium_novyi_NT	60.0	59.999999999999986	60.0	0.0
Clostridium_pasteurianum_BC1	67.0	66.0527583107704	66.5	12.987173159185437
Clostridium_perfringens	69.0	67.72479160038424	63.0	13.466734614466514
Clostridium_perfringens_ATCC_13124	62.5	62.449979983983965	62.5	3.5355339059327378
Clostridium_perfringens_str._13	60.0	59.999999999999986	60.0	0.0
Clostridium_saccharobutylicum	62.42857142857143	62.15032354798098	60.0	6.553806600166117
Clostridium_saccharoperbutylacetonicum	57.45454545454545	57.14817217040813	60.0	5.820028116145769
Clostridium_scatologenes	51.0	50.19960159204454	51.0	12.727922061357855
Clostridium_septicum	61.370370370370374	60.51862330522645	60.0	10.568997289416991
Clostridium_sp._AWRP	60.0	59.999999999999986	60.0	0.0
Clostridium_sp._BNL1100	0	0	0	0
Clostridium_sp._C1	46.0	44.49741603544476	44.0	13.095800853708795
Clostridium_sp._C5S11	61.125	60.62687879038051	60.0	8.288330867637256
Clostridium_sp._DL-VIII	69.33333333333333	66.7059213259836	60.0	24.378952670968726
Clostridium_sp._JN-1	51.5	50.79370039680118	51.5	12.020815280171307
Clostridium_sp._JN-9	58.285714285714285	58.11750515561988	60.0	4.535573676110726
Clostridium_sp._M62/1	50.2	49.35784727691568	53.0	9.731392500562292
Clostridium_sp._SY8519	60.857142857142854	56.87296891719759	60.0	25.03616431903106
Clostridium_sporogenes	60.0	59.999999999999986	60.0	0.0
Clostridium_taeniosporum	75.66666666666667	74.53796662000347	77.0	14.207978978963428
Clostridium_tetani	61.2	61.133056940275495	60.0	3.271085446759225
Clostridium_tetani_12124569	60.0	59.999999999999986	60.0	0.0
Clostridium_tetani_E88	60.0	59.999999999999986	60.0	0.0
Clostridium_tyrobutyricum	60.0	59.999999999999986	60.0	0.0
Coccidioides_immitis	0	0	0	0
Coccidioides_posadasii	0	0	0	0
Corynebacterium_ammoniagenes	47.5	47.2870804501588	50.0	5.0
Corynebacterium_crudilactis	60.0	59.999999999999986	60.0	0.0
Corynebacterium_diphtheriae	68.36363636363636	66.82591188222787	60.0	16.274352382031843
Corynebacterium_diphtheriae_NCTC_13129	63.666666666666664	63.46295398410752	60.0	6.3508529610858835
Corynebacterium_glutamicum	55.2	54.17905014017063	55.5	11.696153213770756
Corynebacterium_glutamicum_MB001	60.0	59.999999999999986	60.0	0.0
Corynebacterium_glutamicum_R	109.0	108.99999999999997	109.0	0.0
Corynebacterium_glutamicum_SCgG2	60.0	59.999999999999986	60.0	0.0
Corynebacterium_glutamicum_ZL-6	49.0	48.99999999999999	49.0	0.0
Corynebacterium_glyciniphilum	0	0	0	0
Corynebacterium_glyciniphilum_AJ_3170	59.298507462686565	58.29520946525625	60.0	10.972437818368974
Corynebacterium_jeikeium	61.78947368421053	58.79043807883303	60.0	20.61901234263599
Corynebacterium_jeikeium_K411	59.23255813953488	57.39577848736563	60.0	14.652867766287295
Corynebacterium_kroppenstedtii	59.91208791208791	58.91407784268575	60.0	11.004694303037084
Corynebacterium_kroppenstedtii_DSM_44385	62.65573770491803	61.35662738648004	60.0	13.218926133728868
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	61.53614457831325	59.77300511711075	60.0	15.150014127912227
Corynebacterium_matruchotii	60.31666666666667	58.94523788947313	60.0	13.169677121335432
Corynebacterium_segmentosum	63.075	61.80967015917685	60.0	12.868939947976108
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	61.10216718266254	59.91406514578318	60.0	12.558388906810318
Corynebacterium_stationis	64.83333333333333	62.86558838992736	60.0	17.107224873051234
Corynebacterium_urealyticum	59.77272727272727	58.549348733903386	60.0	12.305913942913854
Corynebacterium_ureicelerivorans	61.06741573033708	59.93889870188283	60.0	12.418642284895887
Corynebacterium_variabile	0	0	0	0
Corynebacterium_variabile_DSM_44702	58.60843373493976	57.65800213866395	60.0	10.649099604212115
Corynebacterium_xerosis	59.2972972972973	58.129995944785186	60.0	12.087807687356841
Cowpox-Vaccinia_virus	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	54.25	51.54675126815053	60.0	18.040988684860725
Coxiella_burnetii_Dugway_5J108-111	58.0	51.332251070842396	58.0	38.18376618407357
Coxiella_burnetii_str._Schperling	58.266666666666666	57.79876058889291	60.0	6.63827286774705
Cryptococcus_gattii_species_complex	0	0	0	0
Cryptococcus_neoformans	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterobius_vermicularis	67.64383561643835	65.8155479112388	60.0	16.666974882994833
Enterococcus_avium	68.0	68.00000000000001	68.0	0.0
Enterococcus_casseliflavus	50.333333333333336	49.65090161224806	51.0	10.016652800877813
Enterococcus_casseliflavus_EC20	60.0	59.999999999999986	60.0	0.0
Enterococcus_cecorum	74.80952380952381	72.69169396075756	68.0	18.203348723844872
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	95.0	94.47221813845596	95.0	14.142135623730951
Enterococcus_faecium	59.064516129032256	57.70077354874788	60.0	13.101998534246514
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	63.86666666666667	62.54076321643527	60.0	14.24713839270723
Enterococcus_faecium_Com15	55.666666666666664	55.30954930156264	60.0	7.505553499465135
Enterococcus_hirae	60.0	59.999999999999986	60.0	0.0
Enterococcus_hirae_ATCC_9790	88.0	88.00000000000003	88.0	0.0
Enterococcus_mundtii	62.333333333333336	62.24805238983286	60.0	4.041451884327381
Epstein-barr_virus_strain_ag876	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Escherichia_coli	54.28813559322034	52.48750040793254	59.0	13.800363372849166
Escherichia_coli_DH1	60.0	59.999999999999986	60.0	0.0
Escherichia_coli_NCCP15648	60.22222222222222	60.218997514894376	60.0	0.6666666666666667
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O169:H41	60.0	59.999999999999986	60.0	0.0
Escherichia_coli_O26	0	0	0	0
