Taxon	Mean	GeometricMean	Median	StandardDev
African_swine_fever_virus	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
BK_virus_strain_AS	0	0	0	0
BK_virus_strain_GS	0	0	0	0
BK_virus_variant_RF	0	0	0	0
Bacillus_anthracis	0	0	0	0
Bacillus_cereus_group	41.666666666666664	41.65611110392589	41.0	1.1547005383792517
Bacillus_mycoides	67.0	66.99999999999997	67.0	0.0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella	53.84615384615385	51.794770728770466	53.0	15.20332284867442
Bordetella_avium_197N	72.5	71.41428428542847	72.5	17.67766952966369
Bordetella_bronchialis	69.0	63.74179825280913	54.0	35.0
Bordetella_bronchiseptica	56.5	56.27236668865497	60.0	5.431390245600108
Bordetella_flabilis	58.0	57.79495571852233	55.0	6.082762530298219
Bordetella_genomosp._13	50.63636363636363	49.02482681793139	56.0	12.940422924098943
Bordetella_genomosp._6	55.75	55.20527170305448	60.0	8.5
Bordetella_genomosp._8	60.0	59.999999999999986	60.0	0.0
Bordetella_genomosp._9	56.0	55.004624589351565	60.0	10.700467279516348
Bordetella_hinzii	55.75	55.493160542631955	56.0	6.13052471924984
Bordetella_holmesii	73.0	71.44228439796699	73.0	21.213203435596427
Bordetella_parapertussis	48.0	48.00000000000001	48.0	0.0
Bordetella_pertussis	0	0	0	0
Bordetella_petrii	65.44444444444444	61.45544932877549	52.0	25.705598179730767
Bordetella_pseudohinzii	103.0	103.00000000000001	103.0	0.0
Bordetella_sp._H567	62.6	62.40014118839509	60.0	5.813776741499454
Bordetella_sp._HZ20	0	0	0	0
Bordetella_sp._N	43.5	41.594778252509336	39.0	13.959124000349838
Bordetella_trematum	88.0	88.00000000000003	88.0	0.0
Borrelia	0	0	0	0
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliaceae	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Brucella	54.38235294117647	52.011976198150165	60.0	15.403688471866875
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	72.0	72.0	72.0	0.0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_pinnipedialis	0	0	0	0
Brucella_sp._09RB8471	0	0	0	0
Brucella_sp._09RB8910	0	0	0	0
Brucella_sp._10RB9215	49.0	48.99999999999999	49.0	0.0
Brucella_sp._141012304	0	0	0	0
Brucella_suis	0	0	0	0
Brucella_vulpis	0	0	0	0
Brucellaceae	68.0	68.00000000000001	68.0	0.0
Burkholderia_cepacia	63.57342657342658	61.16679144198692	60.0	17.85784814316425
Burkholderia_cepacia_ATCC_25416	64.4	62.18262816783728	60.0	16.955824957813146
Burkholderia_cepacia_JBK9	64.66777408637873	62.49907979889885	61.0	16.680593146406192
Burkholderia_gladioli	60.561555075593944	58.392929331580916	60.0	16.508426005474828
Burkholderia_gladioli_BSR3	60.88392857142857	58.3659041602076	60.0	18.03387479947502
Burkholderia_gladioli_pv._gladioli	60.278169014084504	58.08362340894186	60.0	16.684033611641162
Burkholderia_mallei	64.38461538461539	62.40016887363206	60.0	16.56068870115039
Burkholderia_mallei_NCTC_10247	50.75	48.18713521262703	43.0	20.434855843223687
Burkholderia_multivorans	64.5312285518188	62.05892216870225	60.0	18.001484263877842
Burkholderia_multivorans_ATCC_17616	66.14038876889849	63.74942631468312	60.0	17.76926436780709
Burkholderia_multivorans_ATCC_BAA-247	66.15991471215352	63.73373774344524	60.0	17.92245876159356
Burkholderia_pseudomallei	63.070291777188324	60.76085984353166	60.0	17.141907306461892
Burkholderia_pseudomallei_1106b	68.6	65.93025288314357	61.0	21.21948789831335
Burkholderia_pseudomallei_1710a	83.0	83.00000000000003	83.0	0.0
Burkholderia_pseudomallei_1710b	42.0	42.00000000000001	42.0	0.0
Burkholderia_pseudomallei_7894	60.651162790697676	58.402700771588535	60.0	17.054372042341004
Burkholderia_pseudomallei_B03	71.2	69.66565394970073	68.0	16.84339633209407
Burkholderia_pseudomallei_MSHR1153	68.33333333333333	65.32267390755321	61.0	21.80214056769044
Burkholderia_pseudomallei_MSHR2543	76.625	74.51952706993045	67.0	19.827380058898353
Burkholderia_pseudomallei_MSHR346	68.95121951219512	66.60128584874221	65.0	18.31406559162737
Burkholderia_pseudomallei_MSHR435	59.77777777777778	58.11336100372041	56.0	15.360483209991946
Burkholderia_pseudomallei_NCTC_13179	65.125	61.698587317927995	62.0	22.5
Burkholderia_pseudomallei_Pasteur_52237	59.5	58.378078077305716	59.5	16.263455967290593
Burkholderia_sp._OLGA172	0	0	0	0
Campylobacter_coli	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Clostridium	57.666666666666664	57.40084677068845	60.0	5.766281297335398
Clostridium_bornimense	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum	50.0	49.99999999999999	50.0	0.0
Clostridium_botulinum_BKT015925	42.0	42.00000000000001	42.0	0.0
Clostridium_botulinum_B_str._Eklund_17B_(NRP)	60.0	59.999999999999986	60.0	0.0
Clostridium_botulinum_E3_str._Alaska_E43	0	0	0	0
Clostridium_butyricum	68.0	68.00000000000001	68.0	0.0
Clostridium_chauvoei	0	0	0	0
Clostridium_cochlearium	0	0	0	0
Clostridium_estertheticum	0	0	0	0
Clostridium_novyi	0	0	0	0
Clostridium_perfringens	0	0	0	0
Clostridium_septicum	0	0	0	0
Clostridium_sp._BNL1100	0	0	0	0
Clostridium_sp._C1	72.0	72.0	72.0	0.0
Clostridium_sp._C5S11	63.25	62.29047352054678	60.0	13.200378782444085
Clostridium_sp._M62/1	60.0	59.999999999999986	60.0	0.0
Clostridium_sporogenes	0	0	0	0
Clostridium_tetani	0	0	0	0
Clostridium_tetani_E88	0	0	0	0
Clostridium_tyrobutyricum	33.0	33.0	33.0	0.0
Coccidioides_immitis	0	0	0	0
Coccidioides_posadasii	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	0
Corynebacterium_glutamicum	0	0	0	0
Corynebacterium_glyciniphilum	0	0	0	0
Corynebacterium_jeikeium	55.0	54.51361778496418	60.0	8.660254037844387
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_maris	0	0	0	0
Corynebacterium_matruchotii	54.0	53.27424010455602	60.0	10.392304845413264
Corynebacterium_segmentosum	36.0	36.0	36.0	0.0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_stationis	0	0	0	0
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	42.333333333333336	42.17388229891737	42.0	4.509249752822894
Corynebacterium_variabile	0	0	0	0
Corynebacterium_xerosis	0	0	0	0
Cowpox-Vaccinia_virus	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Coxiella_burnetii_Dugway_5J108-111	45.0	44.99999999999999	45.0	0.0
Cryptococcus_gattii_species_complex	0	0	0	0
Cryptococcus_neoformans	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_A4	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_Si-IIA	0	0	0	0
Cynomolgus_Epstein-Barr_Virus_TsB-B6	0	0	0	0
Ehrlichia_canis	60.0	59.999999999999986	60.0	0.0
Enterobius_vermicularis	65.0	64.05699675113512	59.0	14.0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	58.083333333333336	54.99860572207469	55.0	19.416523905174788
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	60.0	59.999999999999986	60.0	0.0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Epstein-barr_virus_strain_ag876	0	0	0	0
Epstein-barr_virus_strain_p3hr-1	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Escherichia_coli	59.0	58.60891275671934	60.0	7.171371656006362
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O15	54.0	54.00000000000001	54.0	0.0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Francisella_tularensis_subsp._novicida_U112	40.0	40.0	40.0	0.0
Fusobacterium	0	0	0	0
Fusobacterium_necrophorum	39.0	38.99999999999999	39.0	0.0
Fusobacterium_nucleatum	0	0	0	0
Fusobacterium_varium	60.0	59.999999999999986	60.0	0.0
Haemophilus_influenzae	55.0	55.000000000000014	55.0	0.0
Haemophilus_influenzae_Rd_KW20	0	0	0	0
Haemophilus_influenzae_biotype_aegyptius	60.0	59.999999999999986	60.0	0.0
Haemophilus_parainfluenzae	60.0	59.999999999999986	60.0	0.0
Helicobacter_cinaedi	0	0	0	0
Helicobacter_pylori	0	0	0	0
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Herpes_simplex_virus_unknown_type	0	0	0	0
Histoplasma_capsulatum	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_11	0	0	0	0
Human_adenovirus_11+34	0	0	0	0
Human_adenovirus_11a	0	0	0	0
Human_adenovirus_11p	0	0	0	0
Human_adenovirus_12	0	0	0	0
Human_adenovirus_14	0	0	0	0
Human_adenovirus_14a	0	0	0	0
Human_adenovirus_14p	0	0	0	0
Human_adenovirus_14p1	0	0	0	0
Human_adenovirus_15	0	0	0	0
Human_adenovirus_15/H9	0	0	0	0
Human_adenovirus_16	0	0	0	0
Human_adenovirus_16p	0	0	0	0
Human_adenovirus_17	0	0	0	0
Human_adenovirus_18	0	0	0	0
Human_adenovirus_19	0	0	0	0
Human_adenovirus_19C	0	0	0	0
Human_adenovirus_19a	0	0	0	0
Human_adenovirus_19p	0	0	0	0
Human_adenovirus_1_strain_Adenoid_71	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_20	0	0	0	0
Human_adenovirus_21	0	0	0	0
Human_adenovirus_21a	0	0	0	0
Human_adenovirus_22	0	0	0	0
Human_adenovirus_22H8	0	0	0	0
Human_adenovirus_23	0	0	0	0
Human_adenovirus_24	0	0	0	0
Human_adenovirus_25	0	0	0	0
Human_adenovirus_26	0	0	0	0
Human_adenovirus_27	0	0	0	0
Human_adenovirus_28	0	0	0	0
Human_adenovirus_29	0	0	0	0
Human_adenovirus_3+11p	0	0	0	0
Human_adenovirus_3+7	0	0	0	0
Human_adenovirus_30	0	0	0	0
Human_adenovirus_31	0	0	0	0
Human_adenovirus_32	0	0	0	0
Human_adenovirus_33	0	0	0	0
Human_adenovirus_34	0	0	0	0
Human_adenovirus_34a	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_35+11	0	0	0	0
Human_adenovirus_36	0	0	0	0
Human_adenovirus_38	0	0	0	0
Human_adenovirus_38H44	0	0	0	0
Human_adenovirus_39	0	0	0	0
Human_adenovirus_3p	0	0	0	0
Human_adenovirus_40	0	0	0	0
Human_adenovirus_41	0	0	0	0
Human_adenovirus_41_Wisconsin	0	0	0	0
Human_adenovirus_42	0	0	0	0
Human_adenovirus_43	0	0	0	0
Human_adenovirus_44	0	0	0	0
Human_adenovirus_45	0	0	0	0
Human_adenovirus_46	0	0	0	0
Human_adenovirus_47	0	0	0	0
Human_adenovirus_48	0	0	0	0
Human_adenovirus_49	0	0	0	0
Human_adenovirus_4a	0	0	0	0
Human_adenovirus_4p	0	0	0	0
Human_adenovirus_5	0	0	0	0
Human_adenovirus_50	0	0	0	0
Human_adenovirus_50_prototype_strain_Wan	0	0	0	0
Human_adenovirus_51	0	0	0	0
Human_adenovirus_52	0	0	0	0
Human_adenovirus_53	0	0	0	0
Human_adenovirus_54	0	0	0	0
Human_adenovirus_55	0	0	0	0
Human_adenovirus_56	0	0	0	0
Human_adenovirus_57	0	0	0	0
Human_adenovirus_58	0	0	0	0
Human_adenovirus_59_MSJ-2011	0	0	0	0
Human_adenovirus_6	0	0	0	0
Human_adenovirus_60	0	0	0	0
Human_adenovirus_60a	0	0	0	0
Human_adenovirus_61	0	0	0	0
Human_adenovirus_62	0	0	0	0
Human_adenovirus_63	0	0	0	0
Human_adenovirus_64	0	0	0	0
Human_adenovirus_65	0	0	0	0
Human_adenovirus_66	0	0	0	0
Human_adenovirus_67	0	0	0	0
Human_adenovirus_68	0	0	0	0
Human_adenovirus_69	0	0	0	0
Human_adenovirus_7	0	0	0	0
Human_adenovirus_71	0	0	0	0
Human_adenovirus_7428	0	0	0	0
Human_adenovirus_76	0	0	0	0
Human_adenovirus_7620	0	0	0	0
Human_adenovirus_77	0	0	0	0
Human_adenovirus_78	0	0	0	0
Human_adenovirus_7961	0	0	0	0
Human_adenovirus_7a	0	0	0	0
Human_adenovirus_7d	0	0	0	0
Human_adenovirus_7d2	0	0	0	0
Human_adenovirus_7h	0	0	0	0
Human_adenovirus_7l	0	0	0	0
Human_adenovirus_7m	0	0	0	0
Human_adenovirus_7p	0	0	0	0
Human_adenovirus_81	0	0	0	0
Human_adenovirus_86	0	0	0	0
Human_adenovirus_8E	0	0	0	0
Human_adenovirus_9042	0	0	0	0
Human_adenovirus_9052	0	0	0	0
Human_adenovirus_9431	0	0	0	0
Human_adenovirus_A02-2B-2	0	0	0	0
Human_adenovirus_A03-2B-1	0	0	0	0
Human_adenovirus_ATCC_VR-1501	0	0	0	0
Human_adenovirus_ATCC_VR-1502	0	0	0	0
Human_adenovirus_AdV/Berlin	0	0	0	0
Human_adenovirus_AdV/Berlin003/02/DE	0	0	0	0
Human_adenovirus_AdV/Berlin004/02/DE	0	0	0	0
Human_adenovirus_AdV/Berlin131/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin524/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin604/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin619/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin643/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin682/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin718/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin749/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin769/01/DE	0	0	0	0
Human_adenovirus_AdV/Berlin859/01/DE	0	0	0	0
Human_adenovirus_B1	0	0	0	0
Human_adenovirus_B11/35	0	0	0	0
Human_adenovirus_B14/55	0	0	0	0
Human_adenovirus_B16	0	0	0	0
Human_adenovirus_B2	0	0	0	0
Human_adenovirus_B3	0	0	0	0
Human_adenovirus_B72	0	0	0	0
Human_adenovirus_B79	0	0	0	0
Human_adenovirus_Chiba_E086/2012	0	0	0	0
Human_adenovirus_D10	0	0	0	0
Human_adenovirus_D13	0	0	0	0
Human_adenovirus_D15H9	0	0	0	0
Human_adenovirus_D17H29	0	0	0	0
Human_adenovirus_D19H30	0	0	0	0
Human_adenovirus_D30H44	0	0	0	0
Human_adenovirus_D37	0	0	0	0
Human_adenovirus_D37H13	0	0	0	0
Human_adenovirus_D37H17	0	0	0	0
Human_adenovirus_D46H13	0	0	0	0
Human_adenovirus_D8	0	0	0	0
Human_adenovirus_D9	0	0	0	0
Human_adenovirus_E4	0	0	0	0
Human_adenovirus_H02-2B-2	0	0	0	0
Human_adenovirus_H02-2B-3	0	0	0	0
Human_adenovirus_H03-2B-1	0	0	0	0
Human_adenovirus_H08-2B-2	0	0	0	0
Human_adenovirus_I02-2B-2	0	0	0	0
Human_adenovirus_I05-2B-2	0	0	0	0
Human_adenovirus_LZY153B	0	0	0	0
Human_adenovirus_MKJ/Chennai/2010	0	0	0	0
Human_adenovirus_RKI-2797/04	0	0	0	0
Human_adenovirus_S02-2B-1	0	0	0	0
