Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	1.0	0.5	0	0.5	1.0	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.022727272727272728	0.022727272727272728	0.022727272727272728	0.045454545454545456	0.045454545454545456	0.022727272727272728	0.022727272727272728	0.0	0.022727272727272728	0.0	0.022727272727272728	0.0	0.045454545454545456	0.022727272727272728	0.0	0.0	0.022727272727272728	0.022727272727272728	0.022727272727272728	0.0	4
Actinobacillus_pleuropneumoniae	0.42857142857142855	0.45454545454545453	0.3333333333333333	0.42857142857142855	0.3333333333333333	0	0	0	0	0.058823529411764705	0	0	0	0	0	0	0	0.3333333333333333	0	0.7692307692307693	0.008522727272727272	0.02556818181818182	0.014204545454545454	0.022727272727272728	0.017045454545454544	0.005681818181818182	0.019886363636363636	0.011363636363636364	0.0	0.002840909090909091	0.014204545454545454	0.02556818181818182	0.008522727272727272	0.005681818181818182	0.022727272727272728	0.0	0.0	0.002840909090909091	0.02556818181818182	0.0625	32
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.045454545454545456	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.09090909090909091	0.045454545454545456	2
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0.2	0.2	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0	0.6666666666666666	0.25	0	0	0.02727272727272727	0.00909090909090909	0.0	0.03636363636363636	0.00909090909090909	0.01818181818181818	0.0	0.02727272727272727	0.00909090909090909	0.03636363636363636	0.01818181818181818	0.00909090909090909	0.01818181818181818	0.0	0.0	0.0	0.03636363636363636	0.02727272727272727	0.00909090909090909	0.01818181818181818	10
Bordetella_bronchiseptica	0.7	0.17391304347826086	0.09090909090909091	0.5333333333333333	0.4090909090909091	0.09090909090909091	0	0	0	0	0.14285714285714285	0	0	0	0.13333333333333333	0.5238095238095238	0.125	0.5789473684210527	0.1	0.058823529411764705	0.0171990171990172	0.009828009828009828	0.02457002457002457	0.02702702702702703	0.022113022113022116	0.02457002457002457	0.02457002457002457	0.01474201474201474	0.004914004914004914	0.004914004914004914	0.019656019656019656	0.022113022113022116	0.012285012285012284	0.002457002457002457	0.009828009828009828	0.02702702702702703	0.009828009828009828	0.02948402948402948	0.03194103194103194	0.012285012285012284	37
Bordetella_genomosp._13	0.125	0.4	0	0.3333333333333333	1.0	0	0	0	0	0	0	0	0.2	0	0	0.375	0.375	0	0.2222222222222222	0.125	0.012987012987012988	0.032467532467532464	0.006493506493506494	0.025974025974025976	0.012987012987012988	0.006493506493506494	0.006493506493506494	0.025974025974025976	0.025974025974025976	0.012987012987012988	0.006493506493506494	0.012987012987012988	0.006493506493506494	0.0	0.012987012987012988	0.01948051948051948	0.01948051948051948	0.006493506493506494	0.012987012987012988	0.012987012987012988	14
Bordetella_pertussis	0.8333333333333334	0	0	0.5454545454545454	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	1.0	0	0.028409090909090908	0.028409090909090908	0.028409090909090908	0.03409090909090909	0.0	0.0	0.03409090909090909	0.0	0.0	0.0	0.0	0.0	0.028409090909090908	0.0	0.0	0.03125	0.056818181818181816	0.03125	0.08522727272727272	0.0	32
Bordetella_pertussis_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_pertussis_18323	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0.0	0.0	0.0	0.008264462809917356	0.0	0.0	0.08264462809917356	0.08264462809917356	0.0	0.008264462809917356	0.0	0.0	0.008264462809917356	0.0	0.0	0.0	0.0	0.0	0.08264462809917356	0.0	11
Bordetella_petrii	0.3333333333333333	1.0	0.42857142857142855	0.25	0.16666666666666666	0	0	0	0	0	0.1111111111111111	0	0	0	0	0	0	0.2	1.0	0	0.03636363636363636	0.01818181818181818	0.03636363636363636	0.00909090909090909	0.01818181818181818	0.0	0.01818181818181818	0.0	0.00909090909090909	0.045454545454545456	0.00909090909090909	0.00909090909090909	0.0	0.01818181818181818	0.03636363636363636	0.00909090909090909	0.00909090909090909	0.01818181818181818	0.01818181818181818	0.01818181818181818	10
Bordetella_trematum	0	0	0.2	0.6666666666666666	1.0	0	0	0	1.0	0	0	0.6666666666666666	0	0	0	0	0	0	0	0	0.0	0.0	0.045454545454545456	0.01818181818181818	0.07272727272727272	0.00909090909090909	0.0	0.0	0.03636363636363636	0.00909090909090909	0.0	0.06363636363636363	0.0	0.01818181818181818	0.0	0.00909090909090909	0.0	0.01818181818181818	0.0	0.0	10
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_crocidurae_DOU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis_ATCC_25840	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis_bv._2	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0	0.045454545454545456	0.045454545454545456	0.0	0.045454545454545456	0.045454545454545456	2
