Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	23	4	4	4	Off	Off
Actinobacillus_pleuropneumoniae	43	9	23	23	Off	Off
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	6	0	0	0	On	Off
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	8	3	16	16	Off	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	11	3	9	9	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	2	0	0	0	On	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	0	0	0	0	na	na
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	113	11	11	11	Off	Off
Bordetella_bronchiseptica	152	39	41	41	Off	Off
Bordetella_genomosp._13	207	12	12	12	Off	Off
Bordetella_pertussis	25	2	11	11	Off	Off
Bordetella_pertussis_137	10	4	31	31	Off	Off
Bordetella_pertussis_18323	3	1	10	10	Off	Off
Bordetella_petrii	68	15	15	15	Off	Off
Bordetella_trematum	62	5	7	7	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	0	0	0	0	na	na
Brucella_melitensis	0	0	0	0	na	na
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	2	0	0	0	On	Off
Brucella_suis	0	0	0	0	na	na
Brucella_suis_019	1	0	0	0	On	Off
Burkholderia_cepacia	123	10	10	10	Off	Off
Burkholderia_cepacia_ATCC_25416	26	6	28	28	Off	Off
Burkholderia_cepacia_JBK9	77	13	14	14	Off	Off
Burkholderia_gladioli	344	26	62	62	Off	Off
Burkholderia_gladioli_BSR3	71	16	22	22	Off	Off
Burkholderia_gladioli_pv._gladioli	233	24	59	59	Off	Off
Burkholderia_mallei	7	2	2	2	Off	Off
Burkholderia_mallei_NCTC_10229	1	0	0	0	On	Off
Burkholderia_mallei_NCTC_10247	1	0	0	0	On	Off
Burkholderia_multivorans	252	39	103	103	Off	Off
Burkholderia_multivorans_ATCC_17616	61	7	28	28	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	78	13	34	34	Off	Off
Burkholderia_pseudomallei	128	9	38	38	Off	Off
Burkholderia_pseudomallei_1106b	1	1	1	1	Off	Off
Burkholderia_pseudomallei_1710a	3	0	0	0	On	Off
Burkholderia_pseudomallei_1710b	3	3	11	11	Off	Off
Burkholderia_pseudomallei_7894	3	0	0	0	On	Off
Burkholderia_pseudomallei_B03	2	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR1153	2	1	1	1	Off	Off
Burkholderia_pseudomallei_MSHR2543	7	2	2	2	Off	Off
Burkholderia_pseudomallei_MSHR346	2	0	0	0	On	Off
Burkholderia_pseudomallei_MSHR435	2	0	0	0	On	Off
Burkholderia_pseudomallei_NCTC_13179	4	1	2	2	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	1	1	1	1	Off	Off
Campylobacter_coli	0	0	0	0	na	na
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	2	2	4	4	Off	Off
Campylobacter_showae	2	0	0	0	On	Off
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_caviae_GPIC	1	0	0	0	On	Off
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	0	0	0	0	na	na
Chlamydia_suis	1	0	0	0	On	Off
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	0	0	0	0	na	na
Corynebacterium_amycolatum	12	2	4	4	Off	Off
Corynebacterium_bovis	87	9	9	9	Off	Off
Corynebacterium_crudilactis	2	0	0	0	On	Off
Corynebacterium_diphtheriae	4	0	0	0	On	Off
Corynebacterium_jeikeium	16	1	1	1	Off	Off
Corynebacterium_jeikeium_K411	7	2	4	4	Off	Off
Corynebacterium_kroppenstedtii	22	0	0	0	On	Off
Corynebacterium_kroppenstedtii_DSM_44385	14	1	2	2	Off	Off
Corynebacterium_maris	0	0	0	0	na	na
Corynebacterium_maris_DSM_45190	63	8	10	10	Off	Off
Corynebacterium_matruchotii	28	4	4	4	Off	Off
Corynebacterium_minutissimum	34	9	18	18	Off	Off
Corynebacterium_pseudotuberculosis	0	0	0	0	na	na
Corynebacterium_pseudotuberculosis_Cp162	2	0	0	0	On	Off
Corynebacterium_renale	12	0	0	0	On	Off
Corynebacterium_segmentosum	11	0	0	0	On	Off
Corynebacterium_sphenisci	0	0	0	0	na	na
Corynebacterium_sphenisci_DSM_44792	201	28	28	28	Off	Off
Corynebacterium_stationis	3	2	2	2	Off	Off
Corynebacterium_striatum	22	3	5	5	Off	Off
Corynebacterium_urealyticum	39	4	4	4	Off	Off
Corynebacterium_ureicelerivorans	33	2	2	2	Off	Off
Corynebacterium_xerosis	90	4	4	4	Off	Off
Cowpox_virus	0	0	0	0	na	na
Coxiella_burnetii	7	5	5	5	Off	Off
Coxiella_burnetii_Dugway_5J108-111	8	0	0	0	On	Off
Coxiella_burnetii_str._Schperling	7	0	0	0	On	Off
Cryptosporidium	0	0	0	0	na	na
Cryptosporidium_parvum	0	0	0	0	na	na
Deltaretrovirus	0	0	0	0	na	na
Ehrlichia_canis	0	0	0	0	na	na
Enterococcus_avium	1	1	1	1	Off	Off
Enterococcus_casseliflavus	2	0	0	0	On	Off
Enterococcus_cecorum	14	0	0	0	On	Off
Enterococcus_durans	0	0	0	0	na	na
Enterococcus_faecalis	1	0	0	0	On	Off
Enterococcus_faecium	1	1	10	10	Off	Off
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	2	0	0	0	On	Off
Enterococcus_hirae	1	0	0	0	On	Off
