Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	2
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	8
Bordetella_bronchiseptica	5
Bordetella_genomosp._13	6
Bordetella_pertussis	1
Bordetella_petrii	6
Bordetella_trematum	2
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_suis	0
Burkholderia_cepacia	16
Burkholderia_cepacia_ATCC_25416	5
Burkholderia_cepacia_JBK9	4
Burkholderia_gladioli	24
Burkholderia_gladioli_BSR3	10
Burkholderia_gladioli_pv._gladioli	17
Burkholderia_mallei	0
Burkholderia_multivorans	30
Burkholderia_multivorans_ATCC_17616	8
Burkholderia_multivorans_ATCC_BAA-247	4
Burkholderia_pseudomallei	14
Burkholderia_pseudomallei_1710a	1
Burkholderia_pseudomallei_MSHR346	1
Burkholderia_pseudomallei_NCTC_13179	2
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	1
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	1
Corynebacterium_amycolatum	1
Corynebacterium_bovis	10
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	0
Corynebacterium_jeikeium	4
Corynebacterium_jeikeium_K411	1
Corynebacterium_kroppenstedtii	1
Corynebacterium_kroppenstedtii_DSM_44385	1
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	6
Corynebacterium_matruchotii	1
Corynebacterium_minutissimum	0
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	0
Corynebacterium_segmentosum	3
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	17
Corynebacterium_stationis	1
Corynebacterium_striatum	10
Corynebacterium_urealyticum	0
Corynebacterium_ureicelerivorans	4
Corynebacterium_xerosis	13
Cowpox_virus	0
Coxiella_burnetii	1
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	0
Enterococcus_casseliflavus_EC20	1
Enterococcus_cecorum	4
Enterococcus_durans	0
Enterococcus_faecalis	2
Enterococcus_faecium	0
Enterococcus_faecium_ATCC_8459_=_NRRL_B-2354	2
Enterococcus_hirae	0
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	1
Erythroparvovirus	0
Escherichia_coli	10
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	3
Fusobacterium_gastrosuis	2
Fusobacterium_nucleatum	0
Fusobacterium_pseudoperiodonticum	4
Fusobacterium_ulcerans	1
Fusobacterium_varium	1
Goatpox_virus	0
Haemophilus_influenzae	3
Haemophilus_influenzae_KR494	1
