Node	NumberOfAssignedReads
Actinobacillus_equuli	1
Actinobacillus_pleuropneumoniae	0
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	0
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	11
Bordetella_bronchiseptica	3
Bordetella_genomosp._13	8
Bordetella_pertussis	2
Bordetella_petrii	2
Bordetella_trematum	6
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	0
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_suis	0
Burkholderia_cepacia	848
Burkholderia_cepacia_ATCC_25416	417
Burkholderia_cepacia_JBK9	394
Burkholderia_gladioli	354
Burkholderia_gladioli_BSR3	74
Burkholderia_gladioli_pv._gladioli	186
Burkholderia_mallei	11
Burkholderia_multivorans	2001
Burkholderia_multivorans_ATCC_17616	608
Burkholderia_multivorans_ATCC_BAA-247	626
Burkholderia_pseudomallei	524
Burkholderia_pseudomallei_1106b	11
Burkholderia_pseudomallei_1710a	2
Burkholderia_pseudomallei_1710b	1
Burkholderia_pseudomallei_7894	24
Burkholderia_pseudomallei_B03	6
Burkholderia_pseudomallei_MSHR1153	3
Burkholderia_pseudomallei_MSHR2543	9
Burkholderia_pseudomallei_MSHR346	49
Burkholderia_pseudomallei_MSHR435	4
Burkholderia_pseudomallei_NCTC_13179	15
Burkholderia_pseudomallei_Pasteur_52237	5
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	0
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	0
Corynebacterium_amycolatum	0
Corynebacterium_bovis	0
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	0
Corynebacterium_jeikeium	0
Corynebacterium_kroppenstedtii	0
Corynebacterium_maris	0
Corynebacterium_matruchotii	4
Corynebacterium_minutissimum	1
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	0
Corynebacterium_segmentosum	0
Corynebacterium_sphenisci	0
Corynebacterium_stationis	0
Corynebacterium_striatum	2
Corynebacterium_urealyticum	0
Corynebacterium_ureicelerivorans	4
Corynebacterium_xerosis	0
Cowpox_virus	0
Coxiella_burnetii	2
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	0
Enterococcus_casseliflavus	0
Enterococcus_cecorum	1
Enterococcus_durans	0
Enterococcus_faecalis	0
Enterococcus_faecium	2
Enterococcus_hirae	0
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erythroparvovirus	0
Escherichia_coli	3
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Francisella_tularensis	0
Fusobacterium	2
Fusobacterium_nucleatum	0
Fusobacterium_nucleatum_subsp._polymorphum	2
Goatpox_virus	0
Haemophilus_influenzae	0
Haemophilus_influenzae_R2866	1
Helicobacter_cinaedi	0
Helicobacter_pylori	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
Human_polyomavirus_6	1
JC_polyomavirus	0
Klebsiella_aerogenes	1
Klebsiella_michiganensis	0
Klebsiella_oxytoca	4
Klebsiella_pneumoniae	3
Klebsiella_pneumoniae_subsp._pneumoniae	1
Klebsiella_pneumoniae_subsp._rhinoscleromatis	0
Legionella_anisa	5
Legionella_lansingensis	0
Legionella_pneumophila	7
Legionella_pneumophila_subsp._fraseri	3
Leptospira_alexanderi	0
Leptospira_alstonii	0
Leptospira_biflexa	0
Leptospira_borgpetersenii	0
Leptospira_broomii	0
Leptospira_fainei	0
Leptospira_inadai	0
Leptospira_interrogans	0
Leptospira_kirschneri	0
Leptospira_kmetyi	0
Leptospira_licerasiae	0
Leptospira_noguchii	0
