Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	46.0	46.0	46.0	0.0
Actinobacillus_pleuropneumoniae	NaN	NaN	NaN	NaN
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	76.0	76.0	76.0	0.0
Bartonella_henselae	NaN	NaN	NaN	NaN
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	54.5	54.22176684690381	54.5	7.7781745930520225
Bordetella_bronchiseptica	51.5	50.79370039680118	51.5	12.020815280171307
Bordetella_genomosp._13	68.33333333333333	67.88919771446977	69.5	8.547904226573124
Bordetella_pertussis	NaN	NaN	NaN	NaN
Bordetella_pertussis_137	NaN	NaN	NaN	NaN
Bordetella_pertussis_18323	NaN	NaN	NaN	NaN
Bordetella_petrii	72.16666666666667	70.72653933739454	63.5	16.363577440971355
Bordetella_trematum	60.5	59.86985494639417	63.5	9.678154093971983
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	67.77124183006535	65.7379352467321	61.0	16.973652381680076
Burkholderia_cepacia_ATCC_25416	72.37735849056604	70.34750548760023	68.0	17.423822132869685
Burkholderia_cepacia_JBK9	67.3015873015873	65.15552910849362	61.0	17.252603208221
Burkholderia_gladioli	67.3445945945946	65.31555769925046	61.0	16.6718614420714
Burkholderia_gladioli_BSR3	64.69724770642202	62.214408993092874	60.0	18.054703186969174
Burkholderia_gladioli_pv._gladioli	65.9023569023569	64.04855165346456	61.0	15.752109291423402
Burkholderia_mallei	55.666666666666664	55.30954930156264	60.0	7.505553499465135
Burkholderia_mallei_NCTC_10229	NaN	NaN	NaN	NaN
Burkholderia_mallei_NCTC_10247	52.0	50.76044512828963	46.0	14.094916341243982
Burkholderia_multivorans	68.19755244755245	66.04130552493818	60.0	17.31760978628483
Burkholderia_multivorans_ATCC_17616	70.1875	68.39036774862124	62.5	16.316304290931992
Burkholderia_multivorans_ATCC_BAA-247	69.17391304347827	67.16518410418695	63.0	17.03675910574993
Burkholderia_pseudomallei	68.72020725388602	66.52506108761496	62.0	17.696941118645956
