Taxon	0	1	2	3	4	5	6	7	8	9	10	higher
Actinobacillus_equuli	0	0	0	2	0	2	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	1	1	1	4	2	0	0	2	0
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0	0	1	1	0	0	0	2	0	0	0	0
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	0	0	0	0	0	0	0	0	0	1	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	2	1	1	1	2	0	0	1	0	0
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	1	12	8	17	10	16	15	16	4	8	0	2
Bordetella_bronchiseptica	2	5	7	16	8	8	8	17	7	7	1	4
Bordetella_genomosp._13	5	18	18	22	16	17	24	27	10	7	3	1
Bordetella_pertussis	0	1	2	0	2	2	3	10	2	9	0	1
Bordetella_pertussis_137	0	0	0	1	2	0	0	2	1	1	0	0
Bordetella_pertussis_18323	0	0	0	1	4	0	0	0	1	0	0	0
Bordetella_petrii	0	9	7	13	7	11	6	11	11	1	2	2
Bordetella_trematum	2	2	6	4	7	3	11	5	9	6	1	6
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_abortus	0	0	0	0	2	0	0	0	0	0	0	0
Brucella_canis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_melitensis	0	0	0	0	0	0	0	1	0	0	0	0
Brucella_melitensis_bv._2_str._63/9	0	0	0	0	0	0	0	1	0	0	0	0
Brucella_microti	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_ovis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis	0	0	0	0	0	0	0	0	0	0	0	0
Brucella_suis_bv._2	0	0	1	0	0	0	0	0	0	0	0	0
Burkholderia_cepacia	2	5	8	14	19	13	9	12	15	13	1	0
Burkholderia_cepacia_ATCC_25416	1	0	1	2	6	4	2	5	4	0	0	3
Burkholderia_cepacia_JBK9	0	2	6	6	5	5	9	3	1	2	5	0
Burkholderia_gladioli	5	15	18	19	34	33	36	40	39	23	12	10
Burkholderia_gladioli_BSR3	0	5	4	9	5	6	11	3	2	3	3	0
Burkholderia_gladioli_pv._gladioli	5	8	7	17	18	39	30	19	27	26	3	1
