Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	0	0	0	0	na	na
Actinobacillus_pleuropneumoniae	4	4	18	18	Off	Off
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	1	1	2	2	Off	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	2	2	6	6	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	12	12	17	17	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	1	1	1	1	Off	Off
Bartonella_henselae	0	0	0	0	na	na
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	2	2	7	7	Off	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	101	101	101	101	Off	Off
Bordetella_bronchiseptica	89	89	128	128	Off	Off
Bordetella_genomosp._13	159	159	166	166	Off	Off
Bordetella_pertussis	41	41	575	575	Off	Off
Bordetella_pertussis_137	11	11	124	124	Off	Off
Bordetella_pertussis_18323	4	4	33	33	Off	Off
Bordetella_petrii	199	199	203	203	Off	Off
Bordetella_trematum	88	88	135	135	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_crocidurae_str._Achema	1	1	1	1	Off	Off
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	0	0	0	0	na	na
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	0	0	0	0	na	na
Brucella_canis	1	1	1	1	Off	Off
Brucella_melitensis	1	1	1	1	Off	Off
Brucella_melitensis_bv._2_str._63/9	4	4	4	4	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	1	1	1	1	Off	Off
Brucella_suis	3	3	5	5	Off	Off
Brucella_suis_019	1	1	1	1	Off	Off
Burkholderia_cepacia	269	269	481	481	Off	Off
Burkholderia_cepacia_ATCC_25416	121	121	545	545	Off	Off
Burkholderia_cepacia_JBK9	114	114	121	121	Off	Off
Burkholderia_gladioli	295	295	1106	1106	Off	Off
Burkholderia_gladioli_BSR3	62	62	102	102	Off	Off
Burkholderia_gladioli_pv._gladioli	251	251	686	686	Off	Off
Burkholderia_mallei	14	14	30	30	Off	Off
Burkholderia_mallei_NCTC_10247	4	4	5	5	Off	Off
Burkholderia_multivorans	631	631	1740	1740	Off	Off
Burkholderia_multivorans_ATCC_17616	171	171	648	648	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	194	194	552	552	Off	Off
Burkholderia_pseudomallei	265	265	1265	1265	Off	Off
Burkholderia_pseudomallei_1106b	8	8	22	22	Off	Off
Burkholderia_pseudomallei_1710a	6	6	16	16	Off	Off
Burkholderia_pseudomallei_1710b	1	1	2	2	Off	Off
Burkholderia_pseudomallei_7894	15	15	49	49	Off	Off
Burkholderia_pseudomallei_B03	7	7	7	7	Off	Off
Burkholderia_pseudomallei_MSHR1153	8	8	19	19	Off	Off
Burkholderia_pseudomallei_MSHR2543	12	12	34	34	Off	Off
Burkholderia_pseudomallei_MSHR346	11	11	23	23	Off	Off
Burkholderia_pseudomallei_MSHR435	10	10	12	12	Off	Off
