Node	NumberOfAssignedReads
Actinobacillus_equuli	0
Actinobacillus_pleuropneumoniae	0
African_swine_fever_virus	0
Aphthovirus	0
Arcanobacterium_haemolyticum	0
Aspergillus_fumigatus	0
Bartonella_bacilliformis	0
Bartonella_henselae	3
Bartonella_quintana	0
Blastomyces_dermatitidis	0
Bordetella_bronchialis	157
Bordetella_bronchiseptica	73
Bordetella_genomosp._13	177
Bordetella_pertussis	92
Bordetella_pertussis_137	14
Bordetella_pertussis_18323	7
Bordetella_petrii	193
Bordetella_trematum	204
Borrelia_crocidurae	0
Borrelia_recurrentis	0
Borreliella_afzelii	0
Borreliella_afzelii_PKo	1
Borreliella_burgdorferi	0
Borreliella_garinii	0
Bovine_rhinitis_A_virus	0
Brucella_abortus	0
Brucella_canis	1
Brucella_melitensis	0
Brucella_microti	0
Brucella_ovis	0
Brucella_ovis_ATCC_25840	1
Brucella_suis	0
Burkholderia_cepacia	284
Burkholderia_cepacia_ATCC_25416	67
Burkholderia_cepacia_JBK9	95
Burkholderia_gladioli	375
Burkholderia_gladioli_BSR3	47
Burkholderia_gladioli_pv._gladioli	248
Burkholderia_mallei	3
Burkholderia_mallei_NCTC_10247	2
Burkholderia_multivorans	564
Burkholderia_multivorans_ATCC_17616	97
Burkholderia_multivorans_ATCC_BAA-247	93
Burkholderia_pseudomallei	290
Burkholderia_pseudomallei_1106b	1
Burkholderia_pseudomallei_1710a	1
Burkholderia_pseudomallei_1710b	1
Burkholderia_pseudomallei_7894	3
Burkholderia_pseudomallei_B03	1
Burkholderia_pseudomallei_MSHR1153	1
Burkholderia_pseudomallei_MSHR2543	8
Burkholderia_pseudomallei_MSHR346	15
Burkholderia_pseudomallei_MSHR435	3
Burkholderia_pseudomallei_NCTC_13179	14
Campylobacter_coli	0
Campylobacter_fetus	0
Campylobacter_gracilis	0
Campylobacter_showae	1
Canine_morbillivirus	0
Chlamydia_abortus	0
Chlamydia_caviae	0
Chlamydia_felis	0
Chlamydia_muridarum	0
Chlamydia_pecorum	0
Chlamydia_pneumoniae	0
Chlamydia_psittaci	0
Chlamydia_suis	0
Chlamydia_trachomatis	0
Corynebacterium_ammoniagenes	0
Corynebacterium_amycolatum	0
Corynebacterium_bovis	14
Corynebacterium_crudilactis	0
Corynebacterium_diphtheriae	1
Corynebacterium_jeikeium	5
Corynebacterium_jeikeium_K411	9
Corynebacterium_kroppenstedtii	6
Corynebacterium_maris	0
Corynebacterium_maris_DSM_45190	10
Corynebacterium_matruchotii	4
Corynebacterium_minutissimum	3
Corynebacterium_pseudotuberculosis	0
Corynebacterium_renale	0
Corynebacterium_segmentosum	4
Corynebacterium_sphenisci	0
Corynebacterium_sphenisci_DSM_44792	73
Corynebacterium_stationis	1
Corynebacterium_striatum	8
Corynebacterium_urealyticum	6
Corynebacterium_ureicelerivorans	4
Corynebacterium_xerosis	28
Cowpox_virus	0
Coxiella_burnetii	6
Coxiella_burnetii_Dugway_5J108-111	3
Cryptosporidium	0
Cryptosporidium_parvum	0
Deltaretrovirus	0
Ehrlichia_canis	0
Enterococcus_avium	2
Enterococcus_casseliflavus	0
Enterococcus_cecorum	0
Enterococcus_durans	0
Enterococcus_faecalis	0
Enterococcus_faecium	0
Enterococcus_hirae	2
Enterococcus_mundtii	0
Enterovirus_B	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0
Equine_rhinitis_A_virus	0
Erysipelothrix_rhusiopathiae	0
Erythroparvovirus	0
Escherichia_coli	31
Escherichia_coli_O111	0
Escherichia_coli_O157:H7	0
Escherichia_coli_O26	0
Escherichia_coli_UMN026	1
Francisella_tularensis	1
Fusobacterium	4
Fusobacterium_mortiferum_ATCC_9817	1
Fusobacterium_nucleatum	0
Fusobacterium_pseudoperiodonticum	1
Fusobacterium_varium	2
Fusobacterium_varium_ATCC_27725	1
Goatpox_virus	0
Haemophilus_influenzae	7
Haemophilus_influenzae_R2846	1
Helicobacter_cinaedi	2
Helicobacter_pylori	8
Helicobacter_pylori_J99	1
Helicobacter_pylori_Shi112	1
Hepatitis_B_virus	0
Hepatitis_E_virus	0
Hepatitis_delta_virus	0
Human_adenovirus_1	0
Human_adenovirus_2	0
Human_adenovirus_35	0
Human_adenovirus_5	0
Human_adenovirus_54	0
Human_adenovirus_7	0
Human_alphaherpesvirus_1	0
Human_alphaherpesvirus_2	0
Human_alphaherpesvirus_3	0
Human_gammaherpesvirus_4	0
Human_herpesvirus_4_type_2	0
Human_mastadenovirus_C	0
JC_polyomavirus	0
Klebsiella_aerogenes	57
Klebsiella_aerogenes_EA1509E	21
