Node	NumberOfUnfilteredReads	NumberOfFilteredReads	NumberOfUnfilteredAlignments	numberOfAlignments	turnedOn?	downSampling?
Actinobacillus_equuli	26	26	26	26	Off	Off
Actinobacillus_pleuropneumoniae	48	48	150	150	Off	Off
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	7	7	14	14	Off	Off
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	9	9	26	26	Off	Off
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	9	9	24	24	Off	Off
African_swine_fever_virus	0	0	0	0	na	na
Aphthovirus	0	0	0	0	na	na
Arcanobacterium_haemolyticum	7	7	13	13	Off	Off
Aspergillus_fumigatus	0	0	0	0	na	na
Bartonella_bacilliformis	2	2	2	2	Off	Off
Bartonella_henselae	4	4	7	7	Off	Off
Bartonella_quintana	0	0	0	0	na	na
Bartonella_quintana_RM-11	1	1	2	2	Off	Off
Blastomyces_dermatitidis	0	0	0	0	na	na
Bordetella_bronchialis	135	135	137	137	Off	Off
Bordetella_bronchiseptica	108	108	148	148	Off	Off
Bordetella_genomosp._13	178	178	180	180	Off	Off
Bordetella_pertussis	50	50	553	553	Off	Off
Bordetella_pertussis_137	8	8	68	68	Off	Off
Bordetella_pertussis_18323	8	8	49	49	Off	Off
Bordetella_petrii	115	115	116	116	Off	Off
Bordetella_trematum	88	88	146	146	Off	Off
Borrelia_crocidurae	0	0	0	0	na	na
Borrelia_recurrentis	0	0	0	0	na	na
Borreliella_afzelii	0	0	0	0	na	na
Borreliella_burgdorferi	1	1	1	1	Off	Off
Borreliella_garinii	0	0	0	0	na	na
Bovine_rhinitis_A_virus	0	0	0	0	na	na
Brucella_abortus	5	5	8	8	Off	Off
Brucella_abortus_bv._6_str._870	3	3	7	7	Off	Off
Brucella_canis	1	1	1	1	Off	Off
Brucella_melitensis	1	1	1	1	Off	Off
Brucella_microti	0	0	0	0	na	na
Brucella_ovis	0	0	0	0	na	na
Brucella_ovis_ATCC_25840	9	9	9	9	Off	Off
Brucella_suis	2	2	2	2	Off	Off
Burkholderia_cepacia	349	349	546	546	Off	Off
Burkholderia_cepacia_ATCC_25416	102	102	420	420	Off	Off
Burkholderia_cepacia_JBK9	135	135	144	144	Off	Off
Burkholderia_gladioli	624	624	2334	2334	Off	Off
Burkholderia_gladioli_BSR3	132	132	234	234	Off	Off
Burkholderia_gladioli_pv._gladioli	500	500	1481	1481	Off	Off
Burkholderia_mallei	15	15	49	49	Off	Off
Burkholderia_mallei_NCTC_10229	2	2	4	4	Off	Off
Burkholderia_mallei_NCTC_10247	1	1	3	3	Off	Off
Burkholderia_multivorans	591	591	1692	1692	Off	Off
Burkholderia_multivorans_ATCC_17616	142	142	510	510	Off	Off
Burkholderia_multivorans_ATCC_BAA-247	174	174	499	499	Off	Off
Burkholderia_pseudomallei	238	238	1157	1157	Off	Off
Burkholderia_pseudomallei_1106b	3	3	7	7	Off	Off
Burkholderia_pseudomallei_1710b	5	5	12	12	Off	Off
Burkholderia_pseudomallei_7894	17	17	77	77	Off	Off
Burkholderia_pseudomallei_B03	17	17	28	28	Off	Off
Burkholderia_pseudomallei_MSHR1153	12	12	21	21	Off	Off
Burkholderia_pseudomallei_MSHR2543	4	4	5	5	Off	Off
Burkholderia_pseudomallei_MSHR346	8	8	19	19	Off	Off
Burkholderia_pseudomallei_MSHR435	3	3	3	3	Off	Off
Burkholderia_pseudomallei_NCTC_13179	4	4	9	9	Off	Off
Burkholderia_pseudomallei_Pasteur_52237	4	4	12	12	Off	Off
Campylobacter_coli	1	1	1	1	Off	Off
Campylobacter_fetus	0	0	0	0	na	na
Campylobacter_gracilis	4	4	6	6	Off	Off
Campylobacter_showae	0	0	0	0	na	na
Canine_morbillivirus	0	0	0	0	na	na
Chlamydia_abortus	0	0	0	0	na	na
Chlamydia_caviae	0	0	0	0	na	na
Chlamydia_felis	0	0	0	0	na	na
Chlamydia_muridarum	0	0	0	0	na	na
Chlamydia_pecorum	0	0	0	0	na	na
Chlamydia_pneumoniae	0	0	0	0	na	na
Chlamydia_psittaci	2	2	2	2	Off	Off
Chlamydia_suis	0	0	0	0	na	na
Chlamydia_trachomatis	0	0	0	0	na	na
Corynebacterium_ammoniagenes	4	4	4	4	Off	Off
Corynebacterium_amycolatum	9	9	10	10	Off	Off
