Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	43.0	43.0	43.0	0.0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	56.5	55.71178507950171	58.5	9.866248382382087
Bordetella_bronchiseptica	72.08333333333333	70.42305334725525	70.0	16.527983616407735
Bordetella_genomosp._13	62.68	61.234738416148325	60.0	14.317006204743597
Bordetella_pertussis	56.0	54.829403256905195	52.5	13.589211407093005
Bordetella_pertussis_137	42.0	42.00000000000001	42.0	0.0
Bordetella_petrii	57.19047619047619	55.847381014730175	60.0	11.952485296452144
Bordetella_trematum	54.25	52.17331946038807	56.0	15.347095273481994
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_ovis_ATCC_25840	60.0	59.999999999999986	60.0	0.0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	56.785714285714285	54.82304573101803	58.0	16.014708847522
Burkholderia_cepacia_ATCC_25416	73.0	70.65308245573509	73.0	18.973665961010276
Burkholderia_cepacia_JBK9	55.94444444444444	54.519387173208855	58.5	12.321536488519138
Burkholderia_gladioli	56.46153846153846	54.771646392938784	60.0	14.247753917876814
Burkholderia_gladioli_BSR3	59.083333333333336	57.229580915649784	60.0	16.059312412164946
Burkholderia_gladioli_pv._gladioli	62.666666666666664	60.296898197500774	60.5	17.763647424200943
Burkholderia_mallei	47.5	47.434164902525694	47.5	3.5355339059327378
Burkholderia_mallei_NCTC_10229	54.666666666666664	54.10678457990481	60.0	9.237604307034013
Burkholderia_multivorans	60.58888888888889	58.28491843534656	60.0	17.19412915512868
Burkholderia_multivorans_ATCC_17616	61.285714285714285	59.87618300487947	60.0	13.289915302194208
Burkholderia_multivorans_ATCC_BAA-247	66.94444444444444	66.22480034936524	65.0	10.35528976628809
Burkholderia_pseudomallei	57.648648648648646	55.687805582222104	60.0	15.167978361257232
Burkholderia_pseudomallei_1106b	61.0	60.97592977855375	60.0	2.0
Burkholderia_pseudomallei_1710a	60.0	59.999999999999986	60.0	0.0
Burkholderia_pseudomallei_7894	33.0	33.0	33.0	0.0
Burkholderia_pseudomallei_B03	63.0	62.681850475396615	60.0	7.3484692283495345
Burkholderia_pseudomallei_MSHR1153	41.0	41.00000000000001	41.0	0.0
Burkholderia_pseudomallei_MSHR2543	40.0	40.0	40.0	0.0
Burkholderia_pseudomallei_MSHR346	66.5	66.16914579921617	65.5	7.681145747868608
Burkholderia_pseudomallei_MSHR435	44.0	43.99999999999999	44.0	0.0
Burkholderia_pseudomallei_NCTC_13179	61.0	60.983781408891176	60.0	1.7320508075688772
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	44.0	43.99999999999999	44.0	0.0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_pneumoniae_AR39	43.0	43.0	43.0	0.0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	62.0	61.574437445380646	66.0	8.0
Corynebacterium_bovis	60.0	59.999999999999986	60.0	0.0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	55.0	53.88877434122992	55.0	15.556349186104045
Corynebacterium_jeikeium	58.2	55.97308430147839	52.0	17.894133116750865
Corynebacterium_jeikeium_K411	67.0	66.99999999999997	67.0	0.0
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_kroppenstedtii_DSM_44385	56.0	53.90931280644264	64.0	17.435595774162696
Corynebacterium_maris	0	0	0	0
Corynebacterium_maris_DSM_45190	60.0	59.999999999999986	60.0	0.0
Corynebacterium_matruchotii	61.333333333333336	61.2647775255231	60.0	3.265986323710904
Corynebacterium_minutissimum	94.2	93.89463365359441	100.0	8.318653737234168
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	60.0	59.999999999999986	60.0	0.0
Corynebacterium_segmentosum	49.0	47.339010632225616	52.5	13.92838827718412
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	47.666666666666664	46.194457462645985	49.0	12.168015699390185
Corynebacterium_stationis	67.0	66.99999999999997	67.0	0.0
Corynebacterium_striatum	46.2	45.999376414709864	43.0	4.868264577855235
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	56.8	55.50895093222567	60.0	13.026895255585652
Corynebacterium_xerosis	75.33333333333333	74.10673664487818	84.0	15.88500340992514
Cowpox_virus	0	0	0	0
Coxiella_burnetii	60.0	59.999999999999986	60.0	0.0
Coxiella_burnetii_Dugway_5J108-111	60.0	59.999999999999986	60.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Ehrlichia_canis_str._Jake	40.0	40.0	40.0	0.0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	63.0	62.99999999999999	63.0	0.0
Enterococcus_cecorum	0	0	0	0
Enterococcus_durans	65.0	64.99999999999999	65.0	0.0
Enterococcus_faecalis	79.0	79.0	79.0	0.0
Enterococcus_faecalis_R712	78.0	78.0	78.0	0.0
