Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	66.2	59.92366755329662	87.0	29.482198018465315
Bordetella_bronchiseptica	59.0	59.000000000000014	59.0	0.0
Bordetella_genomosp._13	44.0	43.99999999999999	44.0	0.0
Bordetella_pertussis	69.0	69.00000000000001	69.0	0.0
Bordetella_petrii	60.0	59.999999999999986	60.0	0.0
Bordetella_trematum	0	0	0	0
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	71.0	68.8139049771804	66.0	18.040848711250316
Burkholderia_cepacia_ATCC_25416	67.51219512195122	65.18974007459325	61.0	17.775153939163946
Burkholderia_cepacia_JBK9	70.8157894736842	68.26730490947065	67.5	18.984852088424223
Burkholderia_gladioli	67.58791208791209	65.69626697807334	60.0	16.600288456289192
Burkholderia_gladioli_BSR3	64.86486486486487	62.40949467295709	60.0	18.821031619739426
Burkholderia_gladioli_pv._gladioli	68.93684210526315	66.37530995732604	60.0	19.462353472475264
Burkholderia_mallei	74.5	74.2159012611179	74.5	9.192388155425117
Burkholderia_multivorans	71.10606060606061	68.76351335059361	63.5	18.565123779566434
Burkholderia_multivorans_ATCC_17616	68.6	66.28808356850566	60.0	17.643875116139423
Burkholderia_multivorans_ATCC_BAA-247	68.04	65.76533368244777	60.0	18.21896843432171
Burkholderia_pseudomallei	70.3768115942029	67.95074879138768	63.0	18.515574882081875
Burkholderia_pseudomallei_1106b	58.0	57.999999999999986	58.0	0.0
Burkholderia_pseudomallei_7894	65.75	65.07032275508212	60.0	11.5
Burkholderia_pseudomallei_B03	76.0	75.33923280734942	76.0	14.142135623730951
Burkholderia_pseudomallei_MSHR1153	87.0	87.0	87.0	0.0
Burkholderia_pseudomallei_MSHR2543	106.0	105.99999999999997	106.0	0.0
Burkholderia_pseudomallei_MSHR346	74.6	72.64988988406762	61.0	19.53970317072396
Burkholderia_pseudomallei_MSHR435	78.0	78.0	78.0	0.0
Burkholderia_pseudomallei_NCTC_13179	66.0	65.26543835623666	60.0	12.0
Burkholderia_pseudomallei_Pasteur_52237	33.0	33.0	33.0	0.0
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	0	0	0	0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	0
Corynebacterium_jeikeium	47.0	46.99999999999999	47.0	0.0
Corynebacterium_jeikeium_K411	35.0	34.99999999999999	35.0	0.0
Corynebacterium_kroppenstedtii	0	0	0	0
Corynebacterium_maris	0	0	0	0
Corynebacterium_matruchotii	0	0	0	0
Corynebacterium_minutissimum	0	0	0	0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_stationis	0	0	0	0
Corynebacterium_striatum	72.33333333333333	70.41925265450656	60.0	21.361959960016154
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	58.833333333333336	57.08452697786069	60.0	15.065543078007318
Corynebacterium_xerosis	0	0	0	0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	0	0	0	0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_casseliflavus_EC20	60.0	59.999999999999986	60.0	0.0
Enterococcus_cecorum	57.236363636363635	55.12789015704037	60.0	15.377910608406289
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	0	0	0	0
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	60.0	59.999999999999986	60.0	0.0
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
Escherichia_coli_O26	0	0	0	0
Francisella_tularensis	0	0	0	0
Francisella_tularensis_subsp._novicida	60.0	59.999999999999986	60.0	0.0
Fusobacterium	0	0	0	0
Fusobacterium_nucleatum	0	0	0	0
Goatpox_virus	0	0	0	0
Haemophilus_influenzae	0	0	0	0
Helicobacter_cinaedi	0	0	0	0
Helicobacter_pylori	0	0	0	0
Hepatitis_B_virus	0	0	0	0
Hepatitis_E_virus	0	0	0	0
Hepatitis_delta_virus	0	0	0	0
Human_adenovirus_1	0	0	0	0
Human_adenovirus_2	0	0	0	0
Human_adenovirus_35	0	0	0	0
Human_adenovirus_5	0	0	0	0
