Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	Actinobacillus_equuli	1	22	22	26	2451991
Actinobacillus_pleuropneumoniae	Actinobacillus_pleuropneumoniae	0.873	17	19	22	2409072
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	Actinobacillus_pleuropneumoniae_serovar_4_str._M62	1	5	5	7	2335268
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0.813	7	9	9	2409565
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	1	8	8	9	2324821
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	Arcanobacterium_haemolyticum	0.656	4	6	7	1988850
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	Bartonella_bacilliformis	0	0	2	2	1443410
Bartonella_henselae	Bartonella_henselae	0.289	1	4	4	1963796
Bartonella_quintana	NA	0	0	0	0	0
Bartonella_quintana_RM-11	Bartonella_quintana	1	1	1	1	1588683
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	0.554	56	113	131	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	0.648	32	50	58	5081368
Bordetella_genomosp._13	Bordetella_genomosp._13	0.637	86	145	175	5380929
Bordetella_pertussis	Bordetella_pertussis	0.514	11	21	27	4129017
Bordetella_pertussis_137	Bordetella_pertussis_137	0.724	5	7	8	4134593
Bordetella_pertussis_18323	Bordetella_pertussis_18323	1	6	6	7	4043846
Bordetella_petrii	Bordetella_petrii	0.637	60	94	109	5287950
Bordetella_trematum	Bordetella_trematum	0.546	34	66	79	4518493
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	Borreliella_burgdorferi	1	1	1	1	909921
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	Brucella_abortus	1	2	2	3	1163326
Brucella_abortus_bv._6_str._870	Brucella_abortus_bv._6_str._870	1	2	2	3	2124096
Brucella_canis	Brucella_canis	1	1	1	1	2105958
Brucella_melitensis	Brucella_melitensis	1	1	1	1	2125701
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_ovis_ATCC_25840	Brucella_ovis_ATCC_25840	0.161	1	7	9	1164220
Brucella_suis	NA	1	1	1	1	5158483
Burkholderia_cepacia	Burkholderia_cepacia	0.763	27	36	46	3808121
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	0.879	47	55	66	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.779	42	56	66	3790084
Burkholderia_gladioli	Burkholderia_gladioli_BSR3	0.724	145	210	246	4413616
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	0.792	50	68	85	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.619	93	153	188	4668350
Burkholderia_mallei	Burkholderia_mallei	0.198	1	5	8	3509051
Burkholderia_mallei_NCTC_10229	Burkholderia_mallei_NCTC_10229	1	2	2	2	2284095
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247	1	1	1	1	3495687
Burkholderia_multivorans	Burkholderia_multivorans	0.801	98	123	145	3432204
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0.866	73	86	100	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	0.915	100	109	124	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	0.864	22	26	29	3269674
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei_1106b	1	2	2	2	3117868
Burkholderia_pseudomallei_1710b	Burkholderia_pseudomallei_1710b	0.375	1	3	3	4126292
Burkholderia_pseudomallei_7894	Burkholderia_pseudomallei_7894	0.241	2	9	12	3260260
Burkholderia_pseudomallei_B03	Burkholderia_pseudomallei_B03	0.552	4	7	11	4008750
Burkholderia_pseudomallei_MSHR1153	Burkholderia_pseudomallei_MSHR1153	0.717	5	7	7	4032226
Burkholderia_pseudomallei_MSHR2543	Burkholderia_pseudomallei_MSHR2543	1	2	2	3	4240604
Burkholderia_pseudomallei_MSHR346	Burkholderia_pseudomallei_MSHR346	1	6	6	7	4098576
Burkholderia_pseudomallei_MSHR435	Burkholderia_pseudomallei_MSHR435	1	2	2	2	3837469
Burkholderia_pseudomallei_NCTC_13179	Burkholderia_pseudomallei_NCTC_13179	1	3	3	3	3997089
Burkholderia_pseudomallei_Pasteur_52237	Burkholderia_pseudomallei	0	0	2	2	3248554
Campylobacter_coli	Campylobacter_coli	1	1	1	1	1841551
Campylobacter_fetus	NA	0	0	0	0	0
Campylobacter_gracilis	Campylobacter_gracilis	1	3	3	3	2281730
Campylobacter_showae	NA	0	0	0	0	0
Canine_morbillivirus	NA	0	0	0	0	0
Chlamydia_abortus	NA	0	0	0	0	0
Chlamydia_caviae	NA	0	0	0	0	0
Chlamydia_felis	NA	0	0	0	0	0
Chlamydia_muridarum	NA	0	0	0	0	0
Chlamydia_pecorum	NA	0	0	0	0	0
Chlamydia_pneumoniae	NA	0	0	0	0	0
Chlamydia_psittaci	Chlamydia_psittaci	0	0	2	2	1166857
Chlamydia_suis	NA	0	0	0	0	0
Chlamydia_trachomatis	NA	0	0	0	0	0
Corynebacterium_ammoniagenes	Corynebacterium_ammoniagenes	1	2	2	4	2808265
Corynebacterium_amycolatum	Corynebacterium_amycolatum	1	5	5	5	2802624
Corynebacterium_bovis	Corynebacterium_bovis	0.284	47	187	232	2600540
Corynebacterium_crudilactis	Corynebacterium_crudilactis	1	1	1	1	3047373
Corynebacterium_diphtheriae	Corynebacterium_diphtheriae	0.026	0	4	6	2457803
Corynebacterium_diphtheriae_NCTC_13129	Corynebacterium_diphtheriae	1	2	2	3	2457803
Corynebacterium_jeikeium	Corynebacterium_jeikeium	0.652	16	28	31	2414649
Corynebacterium_jeikeium_K411	Corynebacterium_jeikeium_K411	0.858	29	34	43	2462499
Corynebacterium_kroppenstedtii	Corynebacterium_kroppenstedtii	0.882	38	42	51	2511877
Corynebacterium_kroppenstedtii_DSM_44385	Corynebacterium_kroppenstedtii_DSM_44385	0.982	96	104	122	2446804
Corynebacterium_maris	NA	0	0	0	0	0
Corynebacterium_maris_DSM_45190	Corynebacterium_maris_DSM_45190	0.848	99	125	162	2787574
Corynebacterium_matruchotii	Corynebacterium_matruchotii	0.76	25	34	45	2866540
Corynebacterium_minutissimum	Corynebacterium_minutissimum	0.852	19	23	29	2725312
Corynebacterium_pseudotuberculosis	Corynebacterium_pseudotuberculosis	1	1	1	1	2338300
Corynebacterium_pseudotuberculosis_Cp162	Corynebacterium_pseudotuberculosis_Cp162	0	0	2	2	2382103
Corynebacterium_renale	Corynebacterium_renale	0.567	5	9	12	2335089
Corynebacterium_segmentosum	Corynebacterium_segmentosum	0.995	33	35	40	2373440
Corynebacterium_sphenisci	NA	0	0	0	0	0
Corynebacterium_sphenisci_DSM_44792	Corynebacterium_sphenisci_DSM_44792	0.398	102	277	317	2594799
Corynebacterium_stationis	Corynebacterium_stationis	0.999	29	31	36	2853666
Corynebacterium_striatum	Corynebacterium_striatum	1	12	12	15	2665682
Corynebacterium_urealyticum	Corynebacterium_urealyticum	0.309	11	39	44	2377532
Corynebacterium_ureicelerivorans	Corynebacterium_ureicelerivorans	0.643	46	74	87	2279990
Corynebacterium_xerosis	Corynebacterium_xerosis	0.533	58	117	142	2738835
Cowpox_virus	NA	0	0	0	0	0
Coxiella_burnetii	Coxiella_burnetii_str._Schperling	1	7	7	8	2010932
Coxiella_burnetii_Dugway_5J108-111	Coxiella_burnetii	1	2	2	2	1999669
