Taxon	Mean	GeometricMean	Median	StandardDev
Actinobacillus_equuli	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0
African_swine_fever_virus	0	0	0	0
Aphthovirus	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0
Aspergillus_fumigatus	0	0	0	0
Bartonella_bacilliformis	0	0	0	0
Bartonella_henselae	0	0	0	0
Bartonella_quintana	0	0	0	0
Blastomyces_dermatitidis	0	0	0	0
Bordetella_bronchialis	68.75	67.40467939419496	60.5	16.839932699786342
Bordetella_bronchiseptica	63.8	61.746043804662314	53.0	18.525657883055057
Bordetella_genomosp._13	55.666666666666664	53.12063134562731	54.5	17.603030042202015
Bordetella_pertussis	41.333333333333336	39.05755254674106	31.0	17.8978583448784
Bordetella_pertussis_137	78.0	78.0	78.0	0.0
Bordetella_petrii	53.25	52.16251459889942	60.0	10.91198554670178
Bordetella_trematum	45.0	44.99259137293165	45.0	1.0
Borrelia_crocidurae	0	0	0	0
Borrelia_recurrentis	0	0	0	0
Borreliella_afzelii	0	0	0	0
Borreliella_burgdorferi	0	0	0	0
Borreliella_garinii	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0
Brucella_abortus	0	0	0	0
Brucella_canis	0	0	0	0
Brucella_melitensis	0	0	0	0
Brucella_microti	0	0	0	0
Brucella_ovis	0	0	0	0
Brucella_suis	0	0	0	0
Burkholderia_cepacia	64.83475298126065	62.40652564470665	60.0	17.727210724386595
Burkholderia_cepacia_ATCC_25416	65.4409594095941	63.07579778352943	60.0	17.710112335328606
Burkholderia_cepacia_JBK9	64.42077464788733	61.84498532690909	60.0	18.326282187045326
Burkholderia_gladioli	61.29466357308585	58.927504561764394	60.0	17.34396066232627
Burkholderia_gladioli_BSR3	63.642201834862384	61.43859493069755	60.0	17.080703285774373
Burkholderia_gladioli_pv._gladioli	59.79230769230769	57.78597621752465	60.0	15.964582495884267
Burkholderia_mallei	67.33333333333333	65.51329690341734	65.0	16.38920561241638
Burkholderia_mallei_NCTC_10229	57.333333333333336	57.205170119664615	60.0	4.618802153517007
Burkholderia_mallei_NCTC_10247	66.33333333333333	65.19758418790566	63.0	15.275252316519467
Burkholderia_multivorans	64.35492133186976	62.09444322123592	60.0	17.242985357432516
Burkholderia_multivorans_ATCC_17616	66.15519253208868	63.7701311503613	60.0	17.939030940016252
Burkholderia_multivorans_ATCC_BAA-247	65.5680751173709	63.04388577709206	61.0	18.10347109964521
Burkholderia_pseudomallei	64.40711462450592	61.986338512837335	61.0	17.67536341190135
Burkholderia_pseudomallei_1106b	58.333333333333336	56.13472453521783	60.0	18.49324200890693
Burkholderia_pseudomallei_1710a	52.0	51.94224356594908	52.0	3.0
Burkholderia_pseudomallei_1710b	46.0	46.0	46.0	0.0
Burkholderia_pseudomallei_7894	59.40909090909091	55.76581190719212	60.0	21.552875146052113
Burkholderia_pseudomallei_B03	62.375	59.46329828880354	59.5	21.5667568261897
Burkholderia_pseudomallei_MSHR1153	60.75	58.57167269904932	60.0	15.938090452520568
Burkholderia_pseudomallei_MSHR2543	75.25	67.3251764518025	91.0	33.62290885690886
Burkholderia_pseudomallei_MSHR346	66.49350649350649	63.693354586529146	60.0	19.450763330051284
Burkholderia_pseudomallei_MSHR435	76.0	73.9314557504192	75.0	19.390719429665317
Burkholderia_pseudomallei_NCTC_13179	64.39285714285714	62.837162616339064	60.5	14.614400016103563
Burkholderia_pseudomallei_Pasteur_52237	48.333333333333336	47.70654288372106	48.0	9.504384952922168
Campylobacter_coli	0	0	0	0
Campylobacter_fetus	0	0	0	0
Campylobacter_gracilis	0	0	0	0
Campylobacter_showae	0	0	0	0
Canine_morbillivirus	0	0	0	0
Chlamydia_abortus	0	0	0	0
Chlamydia_caviae	0	0	0	0
Chlamydia_felis	0	0	0	0
Chlamydia_muridarum	0	0	0	0
Chlamydia_pecorum	0	0	0	0
Chlamydia_pneumoniae	0	0	0	0
Chlamydia_psittaci	0	0	0	0
Chlamydia_suis	0	0	0	0
Chlamydia_trachomatis	0	0	0	0
Corynebacterium_ammoniagenes	0	0	0	0
Corynebacterium_amycolatum	0	0	0	0
Corynebacterium_bovis	0	0	0	0
Corynebacterium_crudilactis	0	0	0	0
Corynebacterium_diphtheriae	0	0	0	0
Corynebacterium_jeikeium	0	0	0	0
Corynebacterium_kroppenstedtii	60.0	59.999999999999986	60.0	0.0
Corynebacterium_maris	0	0	0	0
Corynebacterium_matruchotii	79.8	76.96896953445085	69.0	23.815961034566715
Corynebacterium_minutissimum	62.0	62.00000000000001	62.0	0.0
Corynebacterium_pseudotuberculosis	0	0	0	0
Corynebacterium_renale	0	0	0	0
Corynebacterium_segmentosum	0	0	0	0
Corynebacterium_sphenisci	0	0	0	0
Corynebacterium_stationis	47.0	46.95742752749559	47.0	2.8284271247461903
Corynebacterium_striatum	40.0	40.0	40.0	0.0
Corynebacterium_urealyticum	0	0	0	0
Corynebacterium_ureicelerivorans	0	0	0	0
Corynebacterium_xerosis	60.0	59.999999999999986	60.0	0.0
Cowpox_virus	0	0	0	0
Coxiella_burnetii	0	0	0	0
Coxiella_burnetii_Dugway_5J108-111	43.0	43.0	43.0	0.0
Cryptosporidium	0	0	0	0
Cryptosporidium_parvum	0	0	0	0
Deltaretrovirus	0	0	0	0
Ehrlichia_canis	0	0	0	0
Enterococcus_avium	38.0	37.99999999999999	38.0	0.0
Enterococcus_casseliflavus	0	0	0	0
Enterococcus_cecorum	60.5	58.20652884342101	60.5	23.33452377915607
Enterococcus_durans	0	0	0	0
Enterococcus_faecalis	52.5	48.332183894378296	52.5	28.991378028648448
Enterococcus_faecium	0	0	0	0
Enterococcus_hirae	0	0	0	0
Enterococcus_mundtii	0	0	0	0
Enterovirus_B	0	0	0	0
Epizootic_hemorrhagic_disease_virus_(serotype_1_/_strain_New_Jersey)	0	0	0	0
Equine_rhinitis_A_virus	0	0	0	0
Erysipelothrix_rhusiopathiae	0	0	0	0
Erythroparvovirus	0	0	0	0
Escherichia_coli	56.5	49.89989979949862	56.5	37.476659402887016
Escherichia_coli_O111	0	0	0	0
Escherichia_coli_O157:H7	0	0	0	0
