Sample	Passed Filter	Low Quality	Too Many N	Too Short	Too Long
EASI021_L1_polyg	1013254.0	0.0	0.0	798.0	0.0
EASI021_L2_polyg	945168.0	0.0	0.0	602.0	0.0
EASI021_L3_polyg	985676.0	0.0	0.0	748.0	0.0
EASI021_L4_polyg	946164.0	0.0	0.0	610.0	0.0
EASI022_L1_polyg	902908.0	0.0	0.0	904.0	0.0
EASI022_L2_polyg	844240.0	0.0	0.0	674.0	0.0
EASI022_L3_polyg	884390.0	0.0	0.0	918.0	0.0
EASI022_L4_polyg	851794.0	0.0	0.0	858.0	0.0
EASI023A_L1_polyg	956368.0	0.0	0.0	1052.0	0.0
EASI023A_L2_polyg	894704.0	0.0	0.0	718.0	0.0
EASI023A_L3_polyg	926358.0	0.0	0.0	878.0	0.0
EASI023A_L4_polyg	902546.0	0.0	0.0	896.0	0.0
EASI023B_L1_polyg	921896.0	0.0	0.0	1064.0	0.0
EASI023B_L2_polyg	872932.0	0.0	0.0	790.0	0.0
EASI023B_L3_polyg	898128.0	0.0	0.0	914.0	0.0
EASI023B_L4_polyg	876578.0	0.0	0.0	738.0	0.0
EASI023C_L1_polyg	1044454.0	0.0	0.0	644.0	0.0
EASI023C_L2_polyg	983312.0	0.0	0.0	502.0	0.0
EASI023C_L3_polyg	1018064.0	0.0	0.0	628.0	0.0
EASI023C_L4_polyg	986496.0	0.0	0.0	552.0	0.0
EASI031A_L1_polyg	1016440.0	0.0	0.0	830.0	0.0
EASI031A_L2_polyg	959574.0	0.0	0.0	560.0	0.0
EASI031A_L3_polyg	983502.0	0.0	0.0	766.0	0.0
EASI031A_L4_polyg	961798.0	0.0	0.0	620.0	0.0
EASI031B_L1_polyg	1042522.0	0.0	0.0	910.0	0.0
EASI031B_L2_polyg	973520.0	0.0	0.0	794.0	0.0
EASI031B_L3_polyg	1016504.0	0.0	0.0	766.0	0.0
EASI031B_L4_polyg	972008.0	0.0	0.0	778.0	0.0
EASI031C_L1_polyg	940226.0	0.0	0.0	960.0	0.0
EASI031C_L2_polyg	879508.0	0.0	0.0	720.0	0.0
EASI031C_L3_polyg	915630.0	0.0	0.0	744.0	0.0
EASI031C_L4_polyg	882280.0	0.0	0.0	708.0	0.0
EASI032_L1_polyg	868970.0	0.0	0.0	1310.0	0.0
EASI032_L2_polyg	815344.0	0.0	0.0	1128.0	0.0
EASI032_L3_polyg	831504.0	0.0	0.0	1210.0	0.0
EASI032_L4_polyg	804376.0	0.0	0.0	1286.0	0.0
EASI024_L1_polyg	869926.0	0.0	0.0	838.0	0.0
EASI024_L2_polyg	812472.0	0.0	0.0	630.0	0.0
EASI024_L3_polyg	846204.0	0.0	0.0	776.0	0.0
EASI024_L4_polyg	816732.0	0.0	0.0	630.0	0.0
EASI025_L1_polyg	979536.0	0.0	0.0	1390.0	0.0
EASI025_L2_polyg	917892.0	0.0	0.0	1026.0	0.0
EASI025_L3_polyg	951376.0	0.0	0.0	1238.0	0.0
EASI025_L4_polyg	921350.0	0.0	0.0	1146.0	0.0
EASI026A_L1_polyg	974928.0	0.0	0.0	1058.0	0.0
EASI026A_L2_polyg	910740.0	0.0	0.0	778.0	0.0
EASI026A_L3_polyg	954214.0	0.0	0.0	916.0	0.0
EASI026A_L4_polyg	918370.0	0.0	0.0	854.0	0.0
EASI026B_L1_polyg	932324.0	0.0	0.0	1142.0	0.0
EASI026B_L2_polyg	875168.0	0.0	0.0	758.0	0.0
EASI026B_L3_polyg	912384.0	0.0	0.0	948.0	0.0
EASI026B_L4_polyg	879160.0	0.0	0.0	832.0	0.0
EASI027_L1_polyg	691152.0	0.0	0.0	504.0	0.0
EASI027_L2_polyg	645048.0	0.0	0.0	442.0	0.0
EASI027_L3_polyg	672872.0	0.0	0.0	518.0	0.0
EASI027_L4_polyg	650634.0	0.0	0.0	460.0	0.0
EASI028A_L1_polyg	1024768.0	0.0	0.0	852.0	0.0
EASI028A_L2_polyg	963100.0	0.0	0.0	564.0	0.0
EASI028A_L3_polyg	992678.0	0.0	0.0	732.0	0.0
EASI028A_L4_polyg	963012.0	0.0	0.0	600.0	0.0
EASI028B_L1_polyg	1010040.0	0.0	0.0	532.0	0.0
EASI028B_L2_polyg	949454.0	0.0	0.0	356.0	0.0
EASI028B_L3_polyg	981326.0	0.0	0.0	544.0	0.0
EASI028B_L4_polyg	952192.0	0.0	0.0	398.0	0.0
EASI001_L1_polyg	865584.0	0.0	0.0	648.0	0.0
EASI001_L2_polyg	809826.0	0.0	0.0	448.0	0.0
EASI001_L3_polyg	841454.0	0.0	0.0	640.0	0.0
EASI001_L4_polyg	810232.0	0.0	0.0	508.0	0.0
EASI019A_L1_polyg	908492.0	0.0	0.0	792.0	0.0
EASI019A_L2_polyg	855224.0	0.0	0.0	562.0	0.0
EASI019A_L3_polyg	881238.0	0.0	0.0	712.0	0.0
EASI019A_L4_polyg	856114.0	0.0	0.0	640.0	0.0
EASI019B_L1_polyg	996758.0	0.0	0.0	1068.0	0.0
EASI019B_L2_polyg	929028.0	0.0	0.0	736.0	0.0
EASI019B_L3_polyg	969716.0	0.0	0.0	864.0	0.0
EASI019B_L4_polyg	936608.0	0.0	0.0	780.0	0.0
EASI020A_L1_polyg	1035976.0	0.0	0.0	1154.0	0.0
EASI020A_L2_polyg	967828.0	0.0	0.0	846.0	0.0
EASI020A_L3_polyg	1005988.0	0.0	0.0	984.0	0.0
EASI020A_L4_polyg	969384.0	0.0	0.0	880.0	0.0
EASI020B_L1_polyg	1084630.0	0.0	0.0	1262.0	0.0
EASI020B_L2_polyg	1021302.0	0.0	0.0	1040.0	0.0
EASI020B_L3_polyg	1050096.0	0.0	0.0	1176.0	0.0
EASI020B_L4_polyg	1019630.0	0.0	0.0	1110.0	0.0
EASI020C_L1_polyg	1031404.0	0.0	0.0	1284.0	0.0
EASI020C_L2_polyg	1006736.0	0.0	0.0	996.0	0.0
EASI020C_L3_polyg	1000654.0	0.0	0.0	1216.0	0.0
EASI020C_L4_polyg	974044.0	0.0	0.0	1084.0	0.0
EASI020D_L1_polyg	998746.0	0.0	0.0	900.0	0.0
EASI020D_L2_polyg	929994.0	0.0	0.0	632.0	0.0
EASI020D_L3_polyg	973768.0	0.0	0.0	826.0	0.0
EASI020D_L4_polyg	937756.0	0.0	0.0	686.0	0.0
EASI029_L1_polyg	810834.0	0.0	0.0	882.0	0.0
EASI029_L2_polyg	756712.0	0.0	0.0	686.0	0.0
EASI029_L3_polyg	785066.0	0.0	0.0	822.0	0.0
EASI029_L4_polyg	758300.0	0.0	0.0	678.0	0.0
EASI030_L1_polyg	987114.0	0.0	0.0	1244.0	0.0
EASI030_L2_polyg	932820.0	0.0	0.0	746.0	0.0
EASI030_L3_polyg	965372.0	0.0	0.0	1120.0	0.0
EASI030_L4_polyg	934560.0	0.0	0.0	908.0	0.0
EASI002_L1_polyg	1020100.0	0.0	0.0	850.0	0.0
EASI002_L2_polyg	959492.0	0.0	0.0	552.0	0.0
EASI002_L3_polyg	993168.0	0.0	0.0	780.0	0.0
EASI002_L4_polyg	959886.0	0.0	0.0	668.0	0.0
EASI003A_L1_polyg	928906.0	0.0	0.0	670.0	0.0
EASI003A_L2_polyg	868206.0	0.0	0.0	448.0	0.0
EASI003A_L3_polyg	905500.0	0.0	0.0	594.0	0.0
EASI003A_L4_polyg	872978.0	0.0	0.0	470.0	0.0
EASI003B_L1_polyg	866590.0	0.0	0.0	524.0	0.0
EASI003B_L2_polyg	804938.0	0.0	0.0	432.0	0.0
EASI003B_L3_polyg	839002.0	0.0	0.0	540.0	0.0
EASI003B_L4_polyg	803342.0	0.0	0.0	442.0	0.0
EASI003C_L1_polyg	660284.0	0.0	0.0	588.0	0.0
EASI003C_L2_polyg	615532.0	0.0	0.0	396.0	0.0
EASI003C_L3_polyg	639962.0	0.0	0.0	538.0	0.0
EASI003C_L4_polyg	618014.0	0.0	0.0	552.0	0.0
EASI004A_L1_polyg	935400.0	0.0	0.0	844.0	0.0
EASI004A_L2_polyg	876786.0	0.0	0.0	616.0	0.0
EASI004A_L3_polyg	908378.0	0.0	0.0	848.0	0.0
EASI004A_L4_polyg	877776.0	0.0	0.0	674.0	0.0
EASI004B_L1_polyg	951564.0	0.0	0.0	840.0	0.0
