tax_id	scientific_name	sample_alias	sample_title	sample_description	project name	collection date	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	broad-scale environmental context	local environmental context	environmental medium
410658	Unknown mammalian metagenome	EASI230	MD_06	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (M3)
410658	Unknown mammalian metagenome	EASI231	MD_11	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (M3)
410658	Unknown mammalian metagenome	EASI232	MD_12	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (M3)
410658	Unknown mammalian metagenome	EASI233	MD_13	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (M3)
410658	Unknown mammalian metagenome	EASI234	MD_67	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (M2)
410658	Unknown mammalian metagenome	EASI235	MD_71	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (pd4)
410658	Unknown mammalian metagenome	EASI236	MD_72	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (pd4)
410658	Unknown mammalian metagenome	EASI237	MD_73	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (pd4)
410658	Unknown mammalian metagenome	EASI238	MD_74	Metagenome from archaeological sample	PRJEB63473	18.04.23	Turkmenistan	36.848333	60.417778	anatomical entity environment	bone	Tooth (pd4)
410658	Serpentes metagenome	EASI239	BZNK-0024/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	45.67661	42.91509	anatomical entity environment	bone	Costa & Vertebrae
410658	Ovis/Capra metagenome	EASI240	BZNK-1076/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.97728	43.51637	anatomical entity environment	bone	Incisor
410658	Cattle metagenome	EASI241	BZNK-0273/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.92500	43.53000	anatomical entity environment	bone	Premolar (root)
410658	Rodent metagenome	EASI242	BZNK-0830/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.84157	42.30286	anatomical entity environment	bone	Tooth
410658	Spermophilus musicus metagenome	EASI243	BZNK-0855/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.84157	42.30286	anatomical entity environment	bone	Tooth + bone
410658	Spermophilus musicus metagenome	EASI244	BZNK-0889	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.84176	42.29742	anatomical entity environment	bone	Skulls
410658	C. familiaris metagenome	EASI245	BZNK-0262/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	45.72094	43.98044	anatomical entity environment	bone	Tooth
410658	Cattle metagenome	EASI246	BZNK-0669/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	45.72094	43.98044	anatomical entity environment	bone	Tooth
410658	Cattle metagenome	EASI247	BZNK-0891/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.80154	44.85261	anatomical entity environment	bone	Tooth (M1)
410658	Sus metagenome	EASI248	BZNK-1281/3	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	43.80154	44.85261	anatomical entity environment	bone	Tooth (m2)
410658	Vulpes vulpes metagenome	EASI249	BZNK-0783/1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Russia	44.04619	42.77540	anatomical entity environment	bone	Tooth
410658	C. familiaris metagenome	EASI250	CR_001	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	49.99200	15.77686	anatomical entity environment	bone	Caninus superior sinister
410658	Sus metagenome	EASI251	CR_002	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	49.99200	15.77686	anatomical entity environment	bone	Scapula dextra
410658	Cattle metagenome	EASI252	CR_003	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.07978	14.27706	anatomical entity environment	bone	Mandubula + dolars dextra
410658	Pig (domestic or wild)	EASI253	CR_004	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.07978	14.27706	anatomical entity environment	bone	Molar 3 superior dexter
410658	C. familiaris metagenome	EASI254	CR_005	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.40343	14.43944	anatomical entity environment	bone	Caninus inferior sinister
410658	C. familiaris metagenome	EASI255	CR_006	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.57479	13.68595	anatomical entity environment	bone	Caninus inferior dexter
410658	C. familiaris metagenome	EASI256	CR_007	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.17039	14.48964	anatomical entity environment	bone	Incicivus 3 superior dexter
410658	C. familiaris metagenome	EASI257	CR_008	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.17039	14.48964	anatomical entity environment	bone	Incicivus 3 superior dexter
410658	C. familiaris metagenome	EASI258	CR_009	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.44265	14.14778	anatomical entity environment	bone	Premolar 3 inferior sinister
410658	C. familiaris metagenome	EASI259	CR_010	Metagenome from archaeological sample	PRJEB63473	18.04.23	Czechia	50.13336	14.77475	anatomical entity environment	bone	Premolar 4 inferior dexter
410658	Cattle metagenome	EASI260	Pet_001	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth
410658	Cattle metagenome	EASI261	Pet_002	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth
410658	Sus metagenome	EASI262	Pet_003	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth in bone
410658	Sus metagenome	EASI263	Pet_004	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth in bone
410658	Ovis metagenome	EASI264	Pet_005	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth with bone
410658	Cattle metagenome	EASI265	Pet_006	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth with bone
410658	Cattle metagenome	EASI266	Pet_007	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth
410658	C. familiaris metagenome	EASI267	Pet_008	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth with bone (maxilla?)
410658	Ovis metagenome	EASI268	Pet_009	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Sus metagenome	EASI269	Pet_010	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Cattle metagenome	EASI270	Pet_011	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth
410658	Sus metagenome	EASI271	Pet_012	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth in bone
410658	Ovis/Capra metagenome	EASI272	Pet_013	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth with bone
410658	Ovis/Capra metagenome	EASI273	Pet_014	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Ovis/Capra metagenome	EASI274	Pet_015	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	C. familiaris metagenome	EASI275	Pet_016	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth with bone
410658	Sus metagenome	EASI276	Pet_017	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth in bone
410658	Sus metagenome	EASI277	Pet_018	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth with bone
410658	Sus metagenome	EASI278	Pet_019	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth in bone
410658	C. familiaris metagenome	EASI279	Pet_020	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	unknown bone
410658	Ovis/Capra metagenome	EASI280	Pet_021	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Cattle metagenome	EASI281	Pet_022	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Sus metagenome	EASI282	Pet_023	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	unknown bone
410658	Ovis metagenome	EASI283	Pet_024	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Cattle metagenome	EASI284	Pet_025	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Teeth in bone
410658	Ovis metagenome	EASI285	Pet_026	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Cattle metagenome	EASI286	Pet_027	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Tooth
410658	Ovis metagenome	EASI287	Pet_028	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Sus metagenome	EASI288	Pet_029	Metagenome from archaeological sample	PRJEB63473	18.04.23	Moldova	47.91704	27.87686		anatomical entity environment	bone	Mandible
410658	Cattle metagenome	EASI292	IG-UAM/KA/7.F1/336	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	54.37069	18.61298	anatomical entity environment	bone	Phalanx I
410658	Sus metagenome	EASI293	16616.F1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Cervical vertebra
410658	Sus metagenome	EASI294	6816.F21	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Calcaneus
410658	Cattle metagenome	EASI295	3916.F8	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Tarsals
410658	Sus metagenome	EASI296	3916.F25	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Scapula
410658	Sus metagenome	EASI297	3916.F31	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Tibia
410658	Cattle metagenome	EASI298	9716.F4	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Rib
410658	Cervus elaphus metagenome	EASI299	9716.F11	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Rib
410658	Cattle metagenome	EASI300	6916.F1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Pelvis
410658	Cattle metagenome	EASI301	6816.F8	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Phalanx I
410658	Ovis/Capra metagenome	EASI302	6816.F29	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Radius
410658	Cattle metagenome	EASI303	3716.F14	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Rib
410658	Sus metagenome	EASI304	3716.F48	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Humerus
410658	Ovis/Capra metagenome	EASI305	3716.F83	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Tibia
410658	Sus metagenome	EASI306	17816.F16	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.32083	17.37361	anatomical entity environment	bone	Humerus
410658	Cattle metagenome	EASI307	1/22.F1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	50.86582	21.49391	anatomical entity environment	bone	Femur
410658	Cattle metagenome	EASI308	IG-UAM/KA/6.F1	Metagenome from archaeological sample	PRJEB63473	18.04.23	Poland	52.43778	18.74722	anatomical entity environment	bone	unknown bone
410658	Blank control	EASI309	Control	Control from aDNA lab	PRJEB63473	19.04.23	aDNA lab	 MPIIB	52.5251432	13.3731493	anthropogenic entity environment	lab reagent	Water
410658	metagenome	EASI001	AUTAWE85-001	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Humerus
410658	metagenome	EASI002	AUTAWE85-002	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Scapula
410658	metagenome	EASI003A	AUTAWE85-003	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tooth
410658	metagenome	EASI003B	AUTAWE85-003	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tooth
410658	metagenome	EASI003C	AUTAWE85-003	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Mandible
410658	metagenome	EASI004A	AUTAWE85-004	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tooth
410658	metagenome	EASI004B	AUTAWE85-004	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Mandible
410658	metagenome	EASI005	AUTAWE85-005	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Humerus
410658	metagenome	EASI006A	AUTAWE85-007	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Mandible
410658	metagenome	EASI006B	AUTAWE85-007	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Mandible
410658	metagenome	EASI007A	AUTAWE85-011	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Metacarpal
410658	metagenome	EASI007B	AUTAWE85-011	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Metacarpal
410658	metagenome	EASI008	AUTAWE85-012	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tibia
410658	metagenome	EASI009	AUTAWE85-016	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tibia
410658	metagenome	EASI010	AUTAWE85-017	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Metatarsus
410658	metagenome	EASI011	AUTAWE85-018	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Mandible
410658	metagenome	EASI012A	AUTAWE85-020	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Vertebra lumbar
410658	metagenome	EASI012B	AUTAWE85-020	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Vertebra lumbar
410658	metagenome	EASI013	AUTAWE85-021	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Humerus
410658	metagenome	EASI014	AUTAWE85-022	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Humerus
410658	metagenome	EASI015A	AUTAWE85-023	Metagenome from archaeological sample	PRJEB63473	20.09.20	Germany	48.31966	10.89153	anatomical entity environment	bone	Tooth
