Lab ID,Seq ID
AZP_001,EASI230
AZP_002,EASI231
AZP_003,EASI232
AZP_004,EASI233
AZP_005,EASI234
AZP_006,EASI235
AZP_007,EASI236
AZP_008,EASI237
AZP_009,EASI238
AZP_010,EASI239
AZP_011,EASI240
AZP_012,EASI241
AZP_013,EASI242
AZP_014,EASI243
AZP_015,EASI244
AZP_016,EASI245
AZP_017,EASI246
AZP_018,EASI247
AZP_019,EASI248
AZP_020,EASI249
AZP_021,EASI250
AZP_022,EASI251
AZP_023,EASI252
AZP_024,EASI253
AZP_025,EASI254
AZP_026,EASI255
AZP_027,EASI256
AZP_028,EASI257
AZP_029,EASI258
AZP_030,EASI259
AZP_031,EASI260
AZP_032,EASI261
AZP_033,EASI262
AZP_034,EASI263
AZP_035,EASI264
AZP_036,EASI265
AZP_037,EASI266
AZP_038,EASI267
AZP_039,EASI268
AZP_040,EASI269
AZP_041,EASI270
AZP_042,EASI271
AZP_043,EASI272
AZP_044,EASI273
AZP_045,EASI274
AZP_046,EASI275
AZP_047,EASI276
AZP_048,EASI277
AZP_049,EASI278
AZP_050,EASI279
AZP_051,EASI280
AZP_052,EASI281
AZP_053,EASI282
AZP_054,EASI283
AZP_055,EASI284
AZP_056,EASI285
AZP_057,EASI286
AZP_058,EASI287
AZP_059,EASI288
AZP_060,EASI289
AZP_063,EASI292
AZP_064,EASI293
AZP_065,EASI294
AZP_066,EASI295
AZP_067,EASI296
AZP_068,EASI297
AZP_069,EASI298
AZP_070,EASI299
AZP_071,EASI300
AZP_072,EASI301
AZP_073,EASI302
AZP_074,EASI303
AZP_075,EASI304
AZP_076,EASI305
AZP_077,EASI306
AZP_078,EASI307
AZP_079,EASI308
AZP_080,AZP-80
AZP_081,AZP-81
AZP_082,AZP-82
AZP_083,AZP-83
AZP_084,AZP-84
AZP_085,AZP-85
AZP_086,AZP-86
AZP_087,AZP-87
AZP_088,AZP-88
AZP_089,AZP-89
AZP_090,AZP-90
AZP_091,AZP-91
AZP_092,AZP-92
AZP_093,AZP-93
AZP_094,AZP-94
AZP_095,AZP-95
AZP_096,AZP-96
AZP_097,AZP-97
AZP_098,AZP-98
AZP_099,AZP-99
AZP_100,AZP-100
AZP_101,AZP-101
AZP_102,AZP-102
AZP_103,AZP-103
AZP_104,AZP-104
AZP_105,AZP-105
AZP_106,AZP-106
AZP_107,AZP-107
AZP_108,AZP-108
AZP_109,AZP-109
AZP_110,AZP-110
AZP_111,AZP-111
AZP_112,AZP-112
AZP_113,AZP-113
AZP_114,AZP-114
AZP_115,AZP-115
AZP_116,AZP-116
AZP_117,AZP-117
AZP_118,AZP-118
AZP_119,AZP-119
AZP_120,AZP-120
AZP_121,AZP-121
AZP_122,AZP-122
AZP_123,AZP-123
AZP_124,AZP-124
AZP_125,AZP-125
AZP_126,AZP-126
AZP_127,AZP-127
AZP_128,AZP-128
AZP_129,AZP-129
AZP_130,AZP-130
AZP_131,AZP-131
AZP_132,AZP-132
AZP_133,AZP-133
AZP_134,AZP-134
AZP_135,AZP-135
AZP_136,AZP-136
AZP_137,AZP-137
AZP_138,AZP-138
AZP_139,AZP-139
AZP_140,AZP-140
AZP_141,AZP-141
AZP_142,AZP-142
AZP_143,AZP-143
AZP_144,AZP-144
AZP_145,AZP-145
AZP_146,AZP-146
AZP_147,AZP-147
AZP_148,AZP-148
AZP_149,AZP-149
AZP_150,AZP-150
AZP_151,AZP-151
AZP_152,AZP-152
