Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0	0	0	0.09090909090909091	0	0	0	0	0	0.07692307692307693	0	0	0.06666666666666667	0	0	0	0	0	0.14285714285714285	0	0.011363636363636364	0.004545454545454545	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.006818181818181818	0.00909090909090909	0.013636363636363636	0.006818181818181818	0.00909090909090909	0.0022727272727272726	0.004545454545454545	0.00909090909090909	0.013636363636363636	0.011363636363636364	0.013636363636363636	0.00909090909090909	0.00909090909090909	0.015909090909090907	0.011363636363636364	40
Bordetella_bronchiseptica	0	0	0.14285714285714285	0	0.23076923076923078	0	0	0	0.10526315789473684	0	0	0	0	0.2857142857142857	0	0	0	0	0	0.0625	0.004914004914004914	0.009828009828009828	0.012285012285012284	0.009828009828009828	0.009828009828009828	0.004914004914004914	0.009828009828009828	0.00737100737100737	0.0171990171990172	0.012285012285012284	0.00737100737100737	0.00737100737100737	0.009828009828009828	0.019656019656019656	0.0	0.019656019656019656	0.00737100737100737	0.002457002457002457	0.004914004914004914	0.012285012285012284	37
Bordetella_genomosp._13	0	0.1	0.07142857142857142	0.07692307692307693	0.25	0.06666666666666667	0	0	0.05263157894736842	0	0	0.1	0	0	0	0.16666666666666666	0.09090909090909091	0	0	0	0.01948051948051948	0.015151515151515152	0.012987012987012986	0.008658008658008658	0.008658008658008658	0.006493506493506493	0.008658008658008658	0.017316017316017316	0.012987012987012986	0.004329004329004329	0.008658008658008658	0.008658008658008658	0.015151515151515152	0.008658008658008658	0.017316017316017316	0.01948051948051948	0.021645021645021644	0.012987012987012986	0.012987012987012986	0.01948051948051948	42
Bordetella_pertussis	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.011730205278592375	0.014662756598240468	0.0	0.033235581622678395	0.01857282502443793	0.009775171065493646	0.0	0.002932551319648094	0.008797653958944282	0.0039100684261974585	0.021505376344086023	0.0	0.004887585532746823	0.0039100684261974585	0.008797653958944282	0.009775171065493646	0.007820136852394917	0.0	9.775171065493646E-4	93
Bordetella_pertussis_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9444444444444444	0.0	0.09090909090909091	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.005050505050505051	0.08585858585858586	0.0	0.0	0.0	0.0	0.08585858585858586	18
Bordetella_pertussis_18323	0.09090909090909091	0.75	0	0	0	0	0	0	0.5	0	0	0	0	0	0	0	0	0	1.0	0	0.007272727272727273	0.010909090909090908	0.0	0.0	0.010909090909090908	0.06909090909090909	0.0	0.0	0.07636363636363637	0.0	0.0	0.0	0.007272727272727273	0.007272727272727273	0.0036363636363636364	0.0	0.007272727272727273	0.0	0.0036363636363636364	0.007272727272727273	25
Bordetella_petrii	0.1111111111111111	0	0.14285714285714285	0	0	0	0	0	0	0	0	0	0.2222222222222222	0	0.1	0.1111111111111111	0	0	0.125	0	0.007905138339920948	0.007905138339920948	0.03557312252964427	0.003952569169960474	0.007905138339920948	0.015810276679841896	0.0	0.007905138339920948	0.003952569169960474	0.007905138339920948	0.0	0.015810276679841896	0.015810276679841896	0.007905138339920948	0.019762845849802372	0.011857707509881422	0.015810276679841896	0.019762845849802372	0.011857707509881422	0.007905138339920948	23
Bordetella_trematum	0	0.375	0	0	0	0	0	0	0	0.045454545454545456	0	0	0	0	0	0	0	0	0	0	0.002840909090909091	0.008522727272727272	0.011363636363636364	0.011363636363636364	0.011363636363636364	0.0	0.005681818181818182	0.014204545454545454	0.005681818181818182	0.005681818181818182	0.0	0.002840909090909091	0.002840909090909091	0.008522727272727272	0.017045454545454544	0.017045454545454544	0.0	0.017045454545454544	0.011363636363636364	0.008522727272727272	32
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
