Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	0	0	0	0	0	0	0.25	0	0.5	0	0	0	0	0	0	0.5	0	0	0	0	0.0	0.00909090909090909	0.03636363636363636	0.0	0.00909090909090909	0.00909090909090909	0.00909090909090909	0.0	0.02727272727272727	0.02727272727272727	0.0	0.00909090909090909	0.00909090909090909	0.0	0.00909090909090909	0.01818181818181818	0.00909090909090909	0.0	0.01818181818181818	0.0	10
Actinobacillus_pleuropneumoniae	0.35294117647058826	0	0.37037037037037035	0	0	0.75	0	0	0	0	0	0	0	0	0.21212121212121213	0.1111111111111111	0	0	0	0	0.00707070707070707	0.00606060606060606	0.01919191919191919	0.011111111111111112	0.0	0.04141414141414141	0.0202020202020202	0.00404040404040404	0.009090909090909092	0.013131313131313133	0.00606060606060606	0.01414141414141414	0.0	0.00202020202020202	0.03939393939393939	0.009090909090909092	0.01212121212121212	0.027272727272727275	0.0101010101010101	0.01414141414141414	90
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0	0	0	0.0	0.0	0.0	0.0	0.07272727272727272	0.01818181818181818	0.07272727272727272	0.0	0.0	0.0	0.06666666666666667	0.0	0.0	0.0	0.01818181818181818	0.0	0.006060606060606061	0.01818181818181818	0.0	0.06666666666666667	15
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	0	0	0	0	0	0.35714285714285715	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	0.005509641873278237	0.02203856749311295	0.005509641873278237	0.011019283746556474	0.03581267217630854	0.027548209366391185	0.03305785123966942	0.02203856749311295	0.0	0.0027548209366391185	0.024793388429752067	0.005509641873278237	0.005509641873278237	0.01652892561983471	0.0	0.005509641873278237	0.030303030303030304	0.030303030303030304	0.0027548209366391185	0.024793388429752067	33
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	0	0	0	0	0	0	0.3333333333333333	0	0	0	0	0	0	0	0	1.0	0	0	0	0	0.03636363636363636	0.0	0.01818181818181818	0.0	0.0	0.0	0.03636363636363636	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	0.0	0.0	0.01818181818181818	0.0	0.0	0.0	0.0	5
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.025974025974025976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03896103896103896	0.03896103896103896	0.05194805194805195	0.0	0.0	0.0	0.0	0.0	7
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
