TargetNode	01	02	03	04	05	06	07	08	09	10
Actinobacillus_equuli	Actinobacillus_equuli;_NZ_LR134310.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Actinobacillus_pleuropneumoniae	Actinobacillus_pleuropneumoniae;_NZ_CP026009.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae_serovar_4_str._M62;_NZ_CP031873.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261;_NZ_CP031865.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae_serovar_6_str._Femo;_NZ_CP069796.1;_TOPREFPERCREADS085	NA	NA	NA	NA	NA	NA
Actinobacillus_pleuropneumoniae_serovar_4_str._M62	Actinobacillus_pleuropneumoniae_serovar_4_str._M62;_NZ_CP031873.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae;_NZ_CP063424.1;_TOPREFPERCREADS083	Actinobacillus_pleuropneumoniae;_NZ_CP026009.1;_TOPREFPERCREADS083	Actinobacillus_pleuropneumoniae;_NZ_LS483358.1;_TOPREFPERCREADS066	Actinobacillus_pleuropneumoniae;_NZ_CP031869.1;_TOPREFPERCREADS050	Actinobacillus_pleuropneumoniae;_NZ_CP031858.1;_TOPREFPERCREADS033	Actinobacillus_pleuropneumoniae;_NZ_CP031874.1;_TOPREFPERCREADS016	NA	NA	NA
Actinobacillus_pleuropneumoniae_serovar_6_str._Femo	Actinobacillus_pleuropneumoniae_serovar_6_str._Femo;_NZ_CP069796.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae;_NZ_CP031869.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae;_NZ_LS483358.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae;_NZ_CP031858.1;_TOPREFPERCREADS066	Actinobacillus_pleuropneumoniae;_NZ_CP026009.1;_TOPREFPERCREADS033	Actinobacillus_pleuropneumoniae;_NZ_CP079921.1;_TOPREFPERCREADS033	NA	NA	NA	NA
Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261	Actinobacillus_pleuropneumoniae_serovar_9_str._CVJ13261;_NZ_CP031865.1;_TOPREFPERCREADS100	Actinobacillus_pleuropneumoniae;_NZ_LS483358.1;_TOPREFPERCREADS025	Actinobacillus_pleuropneumoniae;_NZ_CP063424.1;_TOPREFPERCREADS025	Actinobacillus_pleuropneumoniae;_NZ_CP031858.1;_TOPREFPERCREADS025	Actinobacillus_pleuropneumoniae;_NZ_CP031869.1;_TOPREFPERCREADS025	Actinobacillus_pleuropneumoniae;_NZ_CP026009.1;_TOPREFPERCREADS012	Actinobacillus_pleuropneumoniae;_NZ_CP031874.1;_TOPREFPERCREADS012	Actinobacillus_pleuropneumoniae;_NZ_CP079921.1;_TOPREFPERCREADS012	NA	NA
African_swine_fever_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aphthovirus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Arcanobacterium_haemolyticum	Arcanobacterium_haemolyticum;_NZ_CP034038.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Aspergillus_fumigatus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_bacilliformis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_henselae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bartonella_quintana	Bartonella_quintana;_NZ_CP091504.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blastomyces_dermatitidis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_bronchialis	Bordetella_bronchialis;_NZ_CP016170.1;_TOPREFPERCREADS100	NA;_NZ_CP053073.1;_TOPREFPERCREADS002	NA;_NZ_AP022853.1;_TOPREFPERCREADS002	NA;_NZ_CP064356.1;_TOPREFPERCREADS001	NA	NA	NA	NA	NA	NA
Bordetella_bronchiseptica	Bordetella_bronchiseptica;_NZ_CP025069.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bordetella_genomosp._13	Bordetella_genomosp._13;_NZ_CP021111.1;_TOPREFPERCREADS100	NA;_NZ_CP053073.1;_TOPREFPERCREADS000	NA;_NZ_AP014568.1;_TOPREFPERCREADS000	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis	Bordetella_pertussis;_NZ_CP085969.1;_TOPREFPERCREADS100	Bordetella_pertussis_137;_NZ_CP010323.1;_TOPREFPERCREADS081	Bordetella_pertussis_18323;_NC_018518.1;_TOPREFPERCREADS081	NA	NA	NA	NA	NA	NA	NA
Bordetella_pertussis_137	Bordetella_pertussis_137;_NZ_CP010323.1;_TOPREFPERCREADS100	Bordetella_pertussis;_NZ_CP054125.1;_TOPREFPERCREADS055	Bordetella_pertussis;_NZ_CP017885.1;_TOPREFPERCREADS055	Bordetella_pertussis;_NZ_LR590467.1;_TOPREFPERCREADS055	Bordetella_pertussis;_NZ_CP010961.1;_TOPREFPERCREADS044	Bordetella_pertussis;_NZ_CP013902.1;_TOPREFPERCREADS044	Bordetella_pertussis;_NZ_CP026910.1;_TOPREFPERCREADS044	Bordetella_pertussis;_NZ_CP054096.1;_TOPREFPERCREADS044	Bordetella_pertussis;_NZ_CP017405.1;_TOPREFPERCREADS044	Bordetella_pertussis;_NZ_AP024746.1;_TOPREFPERCREADS044
Bordetella_pertussis_18323	Bordetella_pertussis_18323;_NC_018518.1;_TOPREFPERCREADS100	Bordetella_pertussis;_NZ_CP054096.1;_TOPREFPERCREADS083	Bordetella_pertussis;_NZ_CP010266.1;_TOPREFPERCREADS083	Bordetella_pertussis;_NZ_CP011748.1;_TOPREFPERCREADS066	Bordetella_pertussis;_NZ_CP011732.1;_TOPREFPERCREADS066	Bordetella_pertussis;_NZ_CP015763.1;_TOPREFPERCREADS066	Bordetella_pertussis;_NZ_CP022361.1;_TOPREFPERCREADS050	Bordetella_pertussis;_NZ_CP010845.1;_TOPREFPERCREADS050	Bordetella_pertussis;_NZ_CP025366.1;_TOPREFPERCREADS033	Bordetella_pertussis;_NZ_CP013902.1;_TOPREFPERCREADS033
Bordetella_petrii	Bordetella_petrii;_NC_010170.1;_TOPREFPERCREADS100	NA;_NZ_CP058214.1;_TOPREFPERCREADS001	NA;_NZ_CP049056.1;_TOPREFPERCREADS001	NA;_NZ_CP053069.1;_TOPREFPERCREADS001	NA	NA	NA	NA	NA	NA
Bordetella_trematum	Bordetella_trematum;_NZ_CP036357.1;_TOPREFPERCREADS100	NA;_NZ_CP064655.1;_TOPREFPERCREADS006	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_crocidurae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borrelia_recurrentis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_afzelii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_burgdorferi	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Borreliella_garinii	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bovine_rhinitis_A_virus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus	Brucella_abortus;_NZ_CP007738.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_abortus_bv._6_str._870	Brucella_abortus_bv._6_str._870;_NZ_CP007710.1;_TOPREFPERCREADS100	Brucella;_NZ_CP061089.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_canis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_melitensis_bv._2_str._63/9	Brucella_melitensis;_NZ_CP058597.1;_TOPREFPERCREADS100	Brucella_melitensis_bv._2_str._63/9;_NZ_CP007789.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_microti	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_ovis_ATCC_25840	Brucella_ovis_ATCC_25840;_NC_009505.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis	Brucella_suis;_NZ_CP008756.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis_019	Brucella_suis_019;_NZ_CP013964.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brucella_suis_bv._2	Brucella_suis_bv._2;_NZ_CP007692.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_cepacia	Burkholderia_cepacia;_NZ_CP013376.1;_TOPREFPERCREADS100	Burkholderia_cepacia_ATCC_25416;_NZ_CP034554.1;_TOPREFPERCREADS023	Burkholderia_cepacia_JBK9;_NZ_CP013731.1;_TOPREFPERCREADS023	Burkholderia;_NZ_CP041778.1;_TOPREFPERCREADS023	Burkholderia;_NZ_CP045995.1;_TOPREFPERCREADS011	Burkholderia;_NZ_CP071053.1;_TOPREFPERCREADS011	NA;_NZ_CP058214.1;_TOPREFPERCREADS005	Burkholderia;_NZ_CP091647.1;_TOPREFPERCREADS005	Burkholderia;_NZ_CP091648.1;_TOPREFPERCREADS005	Burkholderia;_NZ_CP091646.1;_TOPREFPERCREADS005
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416;_NZ_CP034553.1;_TOPREFPERCREADS100	Burkholderia_cepacia;_NZ_CP023518.1;_TOPREFPERCREADS083	Burkholderia_cepacia;_NZ_CP022083.2;_TOPREFPERCREADS077	Burkholderia_cepacia;_NZ_CP095497.1;_TOPREFPERCREADS055	Burkholderia_cepacia;_NZ_CP023521.1;_TOPREFPERCREADS055	Burkholderia_cepacia;_NZ_CP022084.2;_TOPREFPERCREADS050	Burkholderia_cepacia;_NZ_CP013375.1;_TOPREFPERCREADS044	Burkholderia_cepacia;_NZ_CP095498.1;_TOPREFPERCREADS044	Burkholderia_cepacia;_NZ_CP090608.1;_TOPREFPERCREADS044	Burkholderia_cepacia;_NZ_CP023520.1;_TOPREFPERCREADS038
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9;_NZ_CP013730.1;_TOPREFPERCREADS100	Burkholderia_cepacia;_NZ_CP022083.2;_TOPREFPERCREADS016	Burkholderia_cepacia;_NZ_CP095498.1;_TOPREFPERCREADS016	Burkholderia_cepacia;_NZ_CP023518.1;_TOPREFPERCREADS016	Burkholderia_cepacia;_NZ_CP090609.1;_TOPREFPERCREADS012	Burkholderia_cepacia;_NZ_CP095497.1;_TOPREFPERCREADS008	Burkholderia_cepacia;_NZ_CP045236.1;_TOPREFPERCREADS008	NA;_NZ_AP022853.1;_TOPREFPERCREADS004	NA;_NZ_CP036264.1;_TOPREFPERCREADS004	Burkholderia_cepacia;_NZ_CP013376.1;_TOPREFPERCREADS004
Burkholderia_gladioli	Burkholderia_gladioli;_NZ_CP033430.1;_TOPREFPERCREADS100	Burkholderia_gladioli_BSR3;_NC_015376.1;_TOPREFPERCREADS100	Burkholderia_gladioli_BSR3;_NC_015381.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP023522.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP022213.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP022005.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP023523.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP022006.1;_TOPREFPERCREADS100	Burkholderia_gladioli_pv._gladioli;_NZ_CP022210.1;_TOPREFPERCREADS100	Burkholderia;_NZ_CP045094.1;_TOPREFPERCREADS006
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3;_NC_015376.1;_TOPREFPERCREADS100	Burkholderia_gladioli;_NZ_CP054469.1;_TOPREFPERCREADS075	Burkholderia_gladioli;_NZ_CP033430.1;_TOPREFPERCREADS050	Burkholderia_gladioli;_NZ_CP054468.1;_TOPREFPERCREADS037	Burkholderia_gladioli;_NZ_CP009323.1;_TOPREFPERCREADS037	Burkholderia_gladioli;_NZ_CP065596.1;_TOPREFPERCREADS037	Burkholderia_gladioli;_NZ_CP009322.1;_TOPREFPERCREADS025	Burkholderia_gladioli;_NZ_CP065595.1;_TOPREFPERCREADS020	Burkholderia_gladioli;_NZ_CP033431.1;_TOPREFPERCREADS020	Burkholderia;_NZ_CP045094.1;_TOPREFPERCREADS004
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli;_NZ_CP023522.1;_TOPREFPERCREADS100	Burkholderia_gladioli;_NZ_CP065595.1;_TOPREFPERCREADS100	Burkholderia_gladioli;_NZ_CP009323.1;_TOPREFPERCREADS100	Burkholderia_gladioli;_NZ_CP009322.1;_TOPREFPERCREADS096	Burkholderia_gladioli;_NZ_CP054468.1;_TOPREFPERCREADS094	Burkholderia_gladioli;_NZ_CP065596.1;_TOPREFPERCREADS093	Burkholderia_gladioli;_NZ_CP033431.1;_TOPREFPERCREADS063	Burkholderia_gladioli;_NZ_CP054469.1;_TOPREFPERCREADS062	Burkholderia_gladioli;_NZ_CP033430.1;_TOPREFPERCREADS062	Burkholderia;_NZ_CP045093.1;_TOPREFPERCREADS005
Burkholderia_mallei	Burkholderia_mallei;_NZ_CP008710.1;_TOPREFPERCREADS100	NA;_NZ_CP036273.1;_TOPREFPERCREADS050	Burkholderia_mallei_NCTC_10229;_NC_008836.1;_TOPREFPERCREADS050	Burkholderia_mallei_NCTC_10247;_NZ_CP007802.1;_TOPREFPERCREADS050	NA	NA	NA	NA	NA	NA
Burkholderia_mallei_NCTC_10247	Burkholderia_mallei_NCTC_10247;_NZ_CP007801.1;_TOPREFPERCREADS100	Burkholderia_mallei;_NZ_CP009147.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_multivorans	Burkholderia_multivorans;_NZ_CP033745.1;_TOPREFPERCREADS100	Burkholderia_multivorans_ATCC_BAA-247;_NZ_CP009832.1;_TOPREFPERCREADS064	Burkholderia_multivorans_ATCC_17616;_NC_010804.1;_TOPREFPERCREADS064	Burkholderia_multivorans_ATCC_BAA-247;_NZ_CP009831.1;_TOPREFPERCREADS021	Burkholderia_multivorans_ATCC_17616;_NC_010805.1;_TOPREFPERCREADS021	Burkholderia_multivorans_ATCC_BAA-247;_NZ_CP009830.1;_TOPREFPERCREADS016	Burkholderia_multivorans_ATCC_17616;_NC_010801.1;_TOPREFPERCREADS016	NA;_NZ_CP053073.1;_TOPREFPERCREADS004	NA;_NZ_CP048029.1;_TOPREFPERCREADS004	NA;_NZ_CP053069.1;_TOPREFPERCREADS004
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616;_NC_010804.1;_TOPREFPERCREADS100	Burkholderia_multivorans;_NZ_CP046346.1;_TOPREFPERCREADS097	Burkholderia_multivorans;_NZ_CP008730.1;_TOPREFPERCREADS085	Burkholderia_multivorans;_NZ_CP048445.1;_TOPREFPERCREADS073	Burkholderia_multivorans;_NZ_JAAEEE010000001.1;_TOPREFPERCREADS067	Burkholderia_multivorans;_NZ_CP033745.1;_TOPREFPERCREADS058	Burkholderia_multivorans;_NZ_CP046343.1;_TOPREFPERCREADS055	Burkholderia_multivorans;_NZ_CP046336.1;_TOPREFPERCREADS052	Burkholderia_multivorans;_NZ_CP044058.1;_TOPREFPERCREADS041	Burkholderia_multivorans;_NZ_CP046341.1;_TOPREFPERCREADS026
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247;_NZ_CP009832.1;_TOPREFPERCREADS100	Burkholderia_multivorans;_NZ_CP044058.1;_TOPREFPERCREADS100	Burkholderia_multivorans;_NZ_CP044056.1;_TOPREFPERCREADS074	Burkholderia_multivorans;_NZ_CP046343.1;_TOPREFPERCREADS064	Burkholderia_multivorans;_NZ_CP048445.1;_TOPREFPERCREADS061	Burkholderia_multivorans;_NZ_CP046346.1;_TOPREFPERCREADS054	Burkholderia_multivorans;_NZ_JAAEEE010000001.1;_TOPREFPERCREADS051	Burkholderia_multivorans;_NZ_CP046336.1;_TOPREFPERCREADS032	Burkholderia_multivorans;_NZ_CP008730.1;_TOPREFPERCREADS029	Burkholderia_multivorans;_NZ_CP033746.1;_TOPREFPERCREADS029
Burkholderia_pseudomallei	Burkholderia_pseudomallei;_NZ_CP009546.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR346;_NZ_ACOJ01000001.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_B03;_NZ_CP009150.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1106b;_NZ_CM000775.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_Pasteur_52237;_NZ_CP009898.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR435;_NZ_CM003020.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_MSHR1153;_NZ_CP009272.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_NCTC_13179;_NC_022658.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1710a;_NZ_CM000833.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei_1710b;_NC_007435.1;_TOPREFPERCREADS100
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei_1106b;_NZ_CM000774.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP010974.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP038223.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018390.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018409.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP071758.1;_TOPREFPERCREADS075	Burkholderia_pseudomallei;_NZ_CP018412.1;_TOPREFPERCREADS075	Burkholderia_pseudomallei;_NZ_CP071757.1;_TOPREFPERCREADS025	NA	NA
Burkholderia_pseudomallei_1710b	Burkholderia_pseudomallei_1710b;_NC_007434.1;_TOPREFPERCREADS100	NA	NA	NA	NA	NA	NA	NA	NA	NA
Burkholderia_pseudomallei_7894	Burkholderia_pseudomallei_7894;_NZ_CP009536.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP008754.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018409.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018417.1;_TOPREFPERCREADS080	Burkholderia_pseudomallei;_NZ_CP018381.1;_TOPREFPERCREADS080	Burkholderia_pseudomallei;_NZ_CP018390.1;_TOPREFPERCREADS080	Burkholderia_pseudomallei;_NZ_CP018398.1;_TOPREFPERCREADS040	Burkholderia_pseudomallei;_NZ_CP018415.1;_TOPREFPERCREADS040	Burkholderia_pseudomallei;_NZ_CP018386.1;_TOPREFPERCREADS040	Burkholderia_pseudomallei;_NZ_CP018397.1;_TOPREFPERCREADS020
Burkholderia_pseudomallei_B03	Burkholderia_pseudomallei_B03;_NZ_CP009151.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP071757.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP009157.1;_TOPREFPERCREADS066	Burkholderia_pseudomallei;_NZ_CP018384.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP010973.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP018399.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP018416.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP018413.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP018414.1;_TOPREFPERCREADS033	Burkholderia_pseudomallei;_NZ_CP018380.1;_TOPREFPERCREADS033
Burkholderia_pseudomallei_MSHR1153	Burkholderia_pseudomallei_MSHR1153;_NZ_CP009272.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018386.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP009546.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP008754.1;_TOPREFPERCREADS100	Burkholderia_pseudomallei;_NZ_CP018384.1;_TOPREFPERCREADS050	Burkholderia_pseudomallei;_NZ_CP010973.1;_TOPREFPERCREADS050	Burkholderia_pseudomallei;_NZ_CP018399.1;_TOPREFPERCREADS050	Burkholderia_pseudomallei;_NZ_CP018416.1;_TOPREFPERCREADS050	Burkholderia_pseudomallei;_NZ_CP009545.1;_TOPREFPERCREADS050	Burkholderia_pseudomallei;_NZ_CP018413.1;_TOPREFPERCREADS050
