Taxon	Reference	uniquePerReference	nonStacked	nonDuplicatesonReference	TotalAlignmentsOnReference	ReferenceLength
Actinobacillus_equuli	NA	0	0	0	0	0
Actinobacillus_pleuropneumoniae	NA	0	0	0	0	0
African_swine_fever_virus	NA	0	0	0	0	0
Aphthovirus	NA	0	0	0	0	0
Arcanobacterium_haemolyticum	NA	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0
Bartonella_bacilliformis	NA	0	0	0	0	0
Bartonella_henselae	NA	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	1	2	2	2	5878756
Bordetella_bronchiseptica	Bordetella_bronchiseptica	1	1	1	1	5205646
Bordetella_genomosp._13	Bordetella_genomosp._13	1	3	3	5	5380929
Bordetella_pertussis	NA	0	0	0	0	0
Bordetella_petrii	NA	0	0	0	0	0
Bordetella_trematum	NA	0	0	0	0	0
Borrelia_crocidurae	NA	0	0	0	0	0
Borrelia_recurrentis	NA	0	0	0	0	0
Borreliella_afzelii	NA	0	0	0	0	0
Borreliella_burgdorferi	NA	0	0	0	0	0
Borreliella_garinii	NA	0	0	0	0	0
Bovine_rhinitis_A_virus	NA	0	0	0	0	0
Brucella_abortus	NA	0	0	0	0	0
Brucella_canis	NA	0	0	0	0	0
Brucella_melitensis	NA	0	0	0	0	0
Brucella_microti	NA	0	0	0	0	0
Brucella_ovis	NA	0	0	0	0	0
Brucella_suis	NA	0	0	0	0	0
Burkholderia_cepacia	Burkholderia_cepacia	0.926	18	20	25	3739938
Burkholderia_cepacia_ATCC_25416	Burkholderia_cepacia_ATCC_25416	1	20	20	24	3781435
Burkholderia_cepacia_JBK9	Burkholderia_cepacia_JBK9	0.884	22	26	31	3790084
Burkholderia_gladioli	Burkholderia_gladioli	1	15	15	20	4171651
Burkholderia_gladioli_BSR3	Burkholderia_gladioli_BSR3	1	6	6	6	4413616
Burkholderia_gladioli_pv._gladioli	Burkholderia_gladioli_pv._gladioli	0.833	10	12	16	4668350
Burkholderia_mallei	NA	0	0	0	0	0
Burkholderia_multivorans	Burkholderia_multivorans	0.873	45	53	63	3432204
Burkholderia_multivorans_ATCC_17616	Burkholderia_multivorans_ATCC_17616	0.845	38	46	63	3448421
Burkholderia_multivorans_ATCC_BAA-247	Burkholderia_multivorans_ATCC_BAA-247	0.939	34	36	39	3428264
Burkholderia_pseudomallei	Burkholderia_pseudomallei	0.808	12	18	26	4104810
Burkholderia_pseudomallei_1106b	Burkholderia_pseudomallei	0	0	2	2	3386014
