Taxon	Reference	0	1	2	3	4	5	6	7	8	9	10	higher
African_swine_fever_virus	NA	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus_fumigatus	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_AS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_strain_GS	NA	0	0	0	0	0	0	0	0	0	0	0	0
BK_virus_variant_RF	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bacillus_anthracis	Bacillus_anthracis	5291682	101	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus	Bacillus_cereus_AH1272	5789420	120	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_AH1273	Bacillus_cereus_AH1273	5790381	0	120	0	0	0	0	0	0	0	0	0
Bacillus_cereus_Rock3-28	Bacillus_cereus_Rock3-28	6041437	60	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_Rock3-44	Bacillus_cereus_Rock3-44	4999688	116	0	0	0	0	0	0	0	0	0	0
Bacillus_cereus_group	Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	6488619	405	0	0	0	0	0	0	0	0	0	0
Bacillus_cytotoxicus	Bacillus_cytotoxicus	4219923	114	0	0	0	0	0	0	0	0	0	0
Bacillus_luti	Bacillus_luti	5202882	60	0	0	0	0	0	0	0	0	0	0
Bacillus_mycoides	Bacillus_mycoides	5462734	161	0	0	0	0	0	0	0	0	0	0
Bacillus_nitratireducens	Bacillus_nitratireducens	5056910	49	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides	Bacillus_pseudomycoides	5126026	440	0	0	0	0	0	0	0	0	0	0
Bacillus_pseudomycoides_DSM_12442	Bacillus_pseudomycoides_DSM_12442	5782030	234	76	174	0	0	0	0	0	0	0	0
Bacillus_sp._HBCD-sjtu	Bacillus_sp._HBCD-sjtu	5230353	148	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis	Bacillus_thuringiensis	5500569	46	0	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_HD-771	Bacillus_thuringiensis	5426985	0	120	0	0	0	0	0	0	0	0	0
Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	Bacillus_thuringiensis_serovar_monterrey_BGSC_4AJ1	6488893	131	0	0	0	0	0	0	0	0	0	0
Bacillus_wiedmannii	Bacillus_wiedmannii	5239130	3	6	36	12	20	282	0	0	0	0	0
Bartonella_bacilliformis	Bartonella_bacilliformis	1443290	0	120	0	0	0	0	0	0	0	0	0
Bartonella_henselae	Bartonella_henselae	1963568	66	12	150	0	0	0	0	0	0	0	0
Bartonella_quintana	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	Bartonella_quintana	1588622	61	0	0	0	0	0	0	0	0	0	0
Blastomyces_dermatitidis	NA	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella	Bordetella_bronchiseptica	5202886	4132	1676	1128	1376	450	0	0	0	0	0	0
Bordetella_avium_197N	Bordetella_avium_197N	3730988	992	104	171	0	0	0	0	0	0	0	0
Bordetella_bronchialis	Bordetella_bronchialis	5872188	3639	1692	597	640	0	0	0	0	0	0	0
Bordetella_bronchiseptica	Bordetella_bronchiseptica	5078399	1925	238	153	248	15	54	336	0	0	0	0
Bordetella_flabilis	Bordetella_flabilis	5829070	4595	988	282	28	10	96	658	0	0	0	0
Bordetella_genomosp._13	Bordetella_genomosp._13	5372297	5479	1250	921	248	320	414	0	0	0	0	0
Bordetella_genomosp._6	Bordetella_genomosp._6	5158751	2532	382	147	440	350	30	42	64	54	0	503
Bordetella_genomosp._8	Bordetella_genomosp._8	6162332	3372	1000	420	412	0	0	0	0	0	0	0
Bordetella_genomosp._9	Bordetella_genomosp._9	4582694	2885	1030	60	452	245	0	0	0	0	0	0
Bordetella_hinzii	Bordetella_hinzii	4879034	3407	1304	459	44	15	258	21	8	18	510	0
Bordetella_holmesii	Bordetella_holmesii	3695765	674	154	120	0	0	0	0	0	0	0	0
Bordetella_parapertussis	Bordetella_parapertussis	4773306	529	88	0	0	0	0	0	0	0	0	0
Bordetella_pertussis	Bordetella_pertussis	4127729	692	14	18	256	20	288	0	0	0	0	0
Bordetella_pertussis_137	Bordetella_pertussis_137	4134165	310	118	0	0	0	0	0	0	0	0	0
Bordetella_pertussis_18323	Bordetella_pertussis_18323	4043440	406	0	0	0	0	0	0	0	0	0	0
Bordetella_petrii	Bordetella_petrii	5282439	3509	700	525	264	345	168	0	0	0	0	0
Bordetella_pseudohinzii	Bordetella_pseudohinzii	4485598	1753	848	657	484	240	24	42	56	45	60	564
