Node	C>T_1	C>T_2	C>T_3	C>T_4	C>T_5	C>T_6	C>T_7	C>T_8	C>T_9	C>T_10	G>A_11	G>A_12	G>A_13	G>A_14	G>A_15	G>A_16	G>A_17	G>A_18	G>A_19	G>A_20	D>V(11Substitution)_1	D>V(11Substitution)_2	D>V(11Substitution)_3	D>V(11Substitution)_4	D>V(11Substitution)_5	D>V(11Substitution)_6	D>V(11Substitution)_7	D>V(11Substitution)_8	D>V(11Substitution)_9	D>V(11Substitution)_10	H>B(11Substitution)_11	H>B(11Substitution)_12	H>B(11Substitution)_13	H>B(11Substitution)_14	H>B(11Substitution)_15	H>B(11Substitution)_16	H>B(11Substitution)_17	H>B(11Substitution)_18	H>B(11Substitution)_19	H>B(11Substitution)_20	considered_Matches
Actinobacillus_equuli	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Actinobacillus_pleuropneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
African_swine_fever_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aphthovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Arcanobacterium_haemolyticum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.09090909090909091	1
Aspergillus_fumigatus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_bacilliformis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_henselae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bartonella_quintana_RM-11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1
Blastomyces_dermatitidis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bordetella_bronchialis	0.13333333333333333	0	0	0.08333333333333333	0	0	0	0	0.08333333333333333	0	0	0	0	0	0.16666666666666666	0	0	0	0.09090909090909091	0.09090909090909091	0.014204545454545454	0.0	0.0	0.017045454545454544	0.005681818181818182	0.008522727272727272	0.005681818181818182	0.008522727272727272	0.008522727272727272	0.008522727272727272	0.014204545454545454	0.002840909090909091	0.008522727272727272	0.005681818181818182	0.014204545454545454	0.005681818181818182	0.005681818181818182	0.022727272727272728	0.014204545454545454	0.005681818181818182	32
Bordetella_bronchiseptica	0.25	0	0	0	0	0.5	0	0	0	0.2	0	0	0.2	0	0	0	0	0	0	0.25	0.011363636363636364	0.011363636363636364	0.011363636363636364	0.03409090909090909	0.0	0.022727272727272728	0.0	0.0	0.011363636363636364	0.011363636363636364	0.022727272727272728	0.0	0.022727272727272728	0.011363636363636364	0.011363636363636364	0.0	0.0	0.03409090909090909	0.011363636363636364	0.011363636363636364	8
Bordetella_genomosp._13	0	0	0	0.1	0.16666666666666666	0.16666666666666666	0	0	0.16666666666666666	0	0	0	0	0.2	0	0.1111111111111111	0	0	0.16666666666666666	0	0.00974025974025974	0.00974025974025974	0.003246753246753247	0.012987012987012988	0.016233766233766232	0.00974025974025974	0.006493506493506494	0.006493506493506494	0.006493506493506494	0.00974025974025974	0.0	0.00974025974025974	0.00974025974025974	0.016233766233766232	0.016233766233766232	0.006493506493506494	0.006493506493506494	0.00974025974025974	0.012987012987012988	0.003246753246753247	28
Bordetella_pertussis	0.5	1.0	0.17391304347826086	0	0	0	0	0.36363636363636365	0	0	0	0	0.4782608695652174	0	0	0	0	0	0.11864406779661017	0	0.03616813294232649	0.010752688172043012	0.014662756598240468	0.007820136852394917	0.0	0.0	0.0039100684261974585	0.014662756598240468	0.0	0.014662756598240468	0.0	0.010752688172043012	0.021505376344086023	0.007820136852394917	0.010752688172043012	0.0	0.010752688172043012	9.775171065493646E-4	0.006842619745845552	0.0	93
Bordetella_pertussis_137	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.09090909090909091	0.09090909090909091	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.08727272727272727	0.0	0.0	0.08727272727272727	0.0	0.0	0.0036363636363636364	0.08727272727272727	0.0	25
Bordetella_pertussis_18323	0	0	0	0	1.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0861244019138756	0.0	0.0861244019138756	19
Bordetella_petrii	0.25	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15384615384615385	0.1	0.14285714285714285	0	0.1111111111111111	0.3333333333333333	0.01871657754010695	0.00802139037433155	0.005347593582887701	0.005347593582887701	0.0026737967914438505	0.0026737967914438505	0.0	0.00802139037433155	0.0026737967914438505	0.0026737967914438505	0.00802139037433155	0.013368983957219251	0.005347593582887701	0.0026737967914438505	0.010695187165775402	0.013368983957219251	0.0160427807486631	0.013368983957219251	0.013368983957219251	0.013368983957219251	34
Bordetella_trematum	0	0.2	0	0.08333333333333333	0	0	0.09090909090909091	0	0	0	0	0.2857142857142857	0.2222222222222222	0	0	0.2727272727272727	0	0	0	0.2857142857142857	0.01567398119122257	0.012539184952978056	0.006269592476489028	0.009404388714733541	0.003134796238244514	0.018808777429467082	0.01567398119122257	0.0	0.0219435736677116	0.006269592476489028	0.009404388714733541	0.006269592476489028	0.01567398119122257	0.006269592476489028	0.0219435736677116	0.01567398119122257	0.009404388714733541	0.012539184952978056	0.018808777429467082	0.012539184952978056	29
Borrelia_crocidurae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borrelia_recurrentis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_afzelii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_burgdorferi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Borreliella_garinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bovine_rhinitis_A_virus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
