# table produced by calculations.DamageProfiler
# using mapped file Pool-4-046-AZP-283_S47_rmdup.bam
# Sample ID: Pool-4-046-AZP-283_S47_rmdup.bam
pos	5pC>T
1	0.1430260047281324
2	0.07162534435261708
3	0.044416243654822336
4	0.044642857142857144
5	0.03964194373401535
6	0.03670886075949367
7	0.023316062176165803
8	0.017994858611825194
9	0.031725888324873094
10	0.027777777777777776
11	0.029336734693877552
12	0.02822085889570552
13	0.017094017094017096
14	0.024968789013732832
15	0.038882138517618466
